Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,54.323098,[134  32] ; [70 99],[101.08656716  64.91343284] ; [102.91343284  66.08656716],1
v1,1,0.0,28.710368,[124  41] ; [77 89],[100.19637462  64.80362538] ; [100.80362538  65.19637462],1
p7,1,0.007333,7.189531,[126  35] ; [107  58],[115.07055215  45.92944785] ; [117.92944785  47.07055215],0
s4,1,0.007705,7.100883,[ 23 144] ; [ 43 127],[ 32.70623145 134.29376855] ; [ 33.29376855 136.70623145],0
p3,1,0.008176,6.994506,[109  57] ; [88 83],[97.03857567 68.96142433] ; [99.96142433 71.03857567],0
r4,1,0.011962,6.316471,[158   9] ; [149  23],[151.2359882  15.7640118] ; [155.7640118  16.2359882],0
p10,1,0.015567,5.851185,[153  13] ; [142  28],[145.74404762  20.25595238] ; [149.25595238  20.74404762],0
s8,1,0.017247,5.671072,[127  37] ; [113  59],[117.14285714  46.85714286] ; [122.85714286  49.14285714],0
p1,1,0.032045,4.596113,[ 25 142] ; [ 13 158],[ 18.77514793 148.22485207] ; [ 19.22485207 151.77514793],0
n6,1,0.032887,4.551638,[160   6] ; [155  16],[155.16320475  10.83679525] ; [159.83679525  11.16320475],0
n4,1,0.038467,4.284253,[158   9] ; [151  20],[152.67159763  14.32840237] ; [156.32840237  14.67159763],0
d5,1,0.038563,4.280024,[142  23] ; [133  39],[134.64391691  30.35608309] ; [140.35608309  31.64391691],0
p5,1,0.058113,3.590425,[ 38 129] ; [ 25 145],[ 31.21958457 135.78041543] ; [ 31.78041543 138.21958457],0
p11,1,0.065964,3.380698,[143  24] ; [134  38],[136.45722714  30.54277286] ; [140.54277286  31.45722714],0
a1,1,0.066426,3.369201,[ 15 152] ; [  7 165],[ 10.83775811 156.16224189] ; [ 11.16224189 160.83775811],0
b3,1,0.079997,3.064957,[56 60] ; [46 78],[49.3 66.7] ; [52.7 71.3],0
b2,1,0.079997,3.064957,[56 60] ; [46 78],[49.3 66.7] ; [52.7 71.3],0
r3,1,0.090613,2.863454,[162   5] ; [159  12],[158.60059172   8.39940828] ; [162.39940828   8.60059172],0
d3,1,0.092639,2.827915,[123  43] ; [113  59],[115.90532544  50.09467456] ; [120.09467456  51.90532544],0
s5,1,0.110543,2.546442,[82 80] ; [69 96],[74.80733945 87.19266055] ; [76.19266055 88.80733945],0
a3,1,0.153671,2.035427,[142  23] ; [138  34],[137.09198813  27.90801187] ; [142.90801187  29.09198813],0
r1,1,0.157103,2.001894,[146  21] ; [140  31],[141.30769231  25.69230769] ; [144.69230769  26.30769231],0
d1,1,0.169874,1.884053,[112  55] ; [103  69],[105.91445428  61.08554572] ; [109.08554572  62.91445428],0
d4,1,0.187265,1.739004,[143  22] ; [140  32],[138.56083086  26.43916914] ; [144.43916914  27.56083086],0
p12,1,0.211974,1.557893,[ 24 142] ; [ 17 153],[ 20.25595238 145.74404762] ; [ 20.74404762 149.25595238],0
a4,1,0.276583,1.183805,[88 78] ; [81 91],[83. 83.] ; [86. 86.],0
p8,1,0.283887,1.148386,[102  61] ; [96 73],[97.21084337 65.78915663] ; [100.78915663  68.21084337],0
p6,1,0.303776,1.057543,[84 81] ; [77 93],[79.29850746 85.70149254] ; [81.70149254 88.29850746],0
p9,1,0.312951,1.018182,[152  13] ; [152  19],[149.28571429  15.71428571] ; [154.71428571  16.28571429],0
u4,1,0.332339,0.939762,[  7 160] ; [  4 168],[  5.41887906 161.58112094] ; [  5.58112094 166.41887906],0
b5,1,0.37201,0.79694,[92 75] ; [103  69],[96.0619469 70.9380531] ; [98.9380531 73.0619469],0
n3,1,0.444833,0.583785,[21  9] ; [27 17],[19.45945946 10.54054054] ; [28.54054054 15.45945946],0
u2,1,0.45323,0.562562,[13 12] ; [21 13],[14.40677966 10.59322034] ; [19.59322034 14.40677966],0
s1,1,0.456156,0.55531,[  6 159] ; [  9 160],[  7.41017964 157.58982036] ; [  7.58982036 161.41017964],0
s2,1,0.497232,0.460839,[126  40] ; [125  47],[123.27218935  42.72781065] ; [127.72781065  44.27218935],0
a5,1,0.497879,0.459455,[136  31] ; [135  37],[133.50147493  33.49852507] ; [137.49852507  34.50147493],0
b4,1,0.534529,0.385774,[93 74] ; [90 82],[90.15044248 76.84955752] ; [92.84955752 79.15044248],0
u3,1,0.54437,0.3675,[15 10] ; [23 11],[16.10169492  8.89830508] ; [21.89830508 12.10169492],0
p4,1,0.590157,0.290099,[119  47] ; [118  53],[116.74183976  49.25816024] ; [120.25816024  50.74183976],0
a2,1,0.594516,0.283347,[ 49 118] ; [ 46 126],[ 46.79941003 120.20058997] ; [ 48.20058997 123.79941003],0
a6,1,0.605703,0.266479,[109  56] ; [109  63],[106.73590504  58.26409496] ; [111.26409496  60.73590504],0
a7,1,0.673214,0.177866,[110  57] ; [117  55],[111.8259587  55.1740413] ; [115.1740413  56.8259587],0
u1,1,0.683632,0.166066,[ 43 124] ; [ 41 131],[ 41.38053097 125.61946903] ; [ 42.61946903 129.38053097],0
s3,1,0.685161,0.164374,[122  41] ; [132  40],[123.5880597  39.4119403] ; [130.4119403  41.5880597],0
b1,1,0.750513,0.101101,[69 98] ; [74 98],[70.44542773 96.55457227] ; [72.55457227 99.44542773],0
n1,1,0.769117,0.08616,[15 15] ; [23 20],[15.61643836 14.38356164] ; [22.38356164 20.61643836],0
p2,1,0.805436,0.060673,[145  22] ; [150  21],[145.75443787  21.24556213] ; [149.24556213  21.75443787],0
n2,1,0.866458,0.028278,[25  5] ; [36  8],[24.72972973  5.27027027] ; [36.27027027  7.72972973],0
s6,1,0.871878,0.026009,[138  25] ; [145  25],[138.52552553  24.47447447] ; [144.47447447  25.52552553],0
a8,1,0.92038,0.009991,[ 26 121] ; [ 29 131],[ 26.33550489 120.66449511] ; [ 28.66449511 131.33550489],0
v4,1,0.969694,0.001443,[162   5] ; [166   5],[162.0591716   4.9408284] ; [165.9408284   5.0591716],0
d2,1,0.972108,0.001223,[92 74] ; [95 77],[91.84023669 74.15976331] ; [95.15976331 76.84023669],0
r2,1,0.974796,0.000998,[160   6] ; [163   6],[160.05373134   5.94626866] ; [162.94626866   6.05373134],0
