Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,45.733356,[ 1 10] ; [115  14],[9.11428571 1.88571429] ; [106.88571429  22.11428571],1
r2,1,0.0,31.648226,[5 6] ; [121   6],[10.04347826  0.95652174] ; [115.95652174  11.04347826],1
r3,1,1e-06,23.308825,[6 5] ; [123   6],[10.13571429  0.86428571] ; [118.86428571  10.13571429],1
s1,1,0.000102,15.104835,[3 8] ; [  3 124],[ 0.47826087 10.52173913] ; [  5.52173913 121.47826087],1
p11,1,0.003922,8.319555,[5 6] ; [106  23],[8.72142857 2.27857143] ; [102.27857143  26.72142857],0
p9,1,0.005623,7.667332,[6 5] ; [109  17],[9.23357664 1.76642336] ; [105.76642336  20.23357664],0
r1,1,0.00701,7.270404,[5 6] ; [104  25],[8.56428571 2.43571429] ; [100.43571429  28.56428571],0
d5,1,0.012343,6.260862,[5 6] ; [101  27],[8.38848921 2.61151079] ; [97.61151079 30.38848921],0
s5,1,0.017888,5.607079,[ 1 10] ; [57 67],[4.72592593 6.27407407] ; [53.27407407 70.72592593],0
d1,1,0.031588,4.620715,[2 9] ; [67 62],[5.42142857 5.57857143] ; [63.57857143 65.42142857],0
p2,1,0.050942,3.810177,[6 5] ; [100  25],[8.57352941 2.42647059] ; [97.42647059 27.57352941],0
s8,1,0.072089,3.234805,[3 8] ; [71 57],[5.85611511 5.14388489] ; [68.14388489 59.85611511],0
s6,1,0.10506,2.627003,[5 6] ; [86 38],[7.41481481 3.58518519] ; [83.58518519 40.41481481],0
p10,1,0.133344,2.253134,[7 4] ; [102  22],[8.88148148 2.11851852] ; [100.11851852  23.88148148],0
p8,1,0.134531,2.239425,[3 8] ; [63 61],[5.37777778 5.62222222] ; [60.62222222 63.37777778],0
b4,1,0.178302,1.811723,[4 7] ; [74 55],[6.12857143 4.87142857] ; [71.87142857 57.12857143],0
v2,1,0.209589,1.574263,[5 6] ; [80 44],[6.92592593 4.07407407] ; [78.07407407 45.92592593],0
n2,1,0.210743,1.566312,[3 2] ; [26  5],[4.02777778 0.97222222] ; [24.97222222  6.02777778],0
b3,1,0.224801,1.473456,[3 6] ; [48 40],[4.73195876 4.26804124] ; [46.26804124 41.73195876],0
b2,1,0.224801,1.473456,[3 6] ; [48 40],[4.73195876 4.26804124] ; [46.26804124 41.73195876],0
a5,1,0.296525,1.089756,[6 5] ; [90 39],[7.54285714 3.45714286] ; [88.45714286 40.54285714],0
s3,1,0.304959,1.052384,[5 6] ; [79 50],[6.6 4.4] ; [77.4 51.6],0
s4,1,0.311926,1.022504,[3 8] ; [ 20 109],[1.80714286 9.19285714] ; [ 21.19285714 107.80714286],0
v3,1,0.372009,0.796942,[4 7] ; [63 62],[5.41911765 5.58088235] ; [61.58088235 63.41911765],0
a4,1,0.441583,0.592166,[4 7] ; [62 66],[5.22302158 5.77697842] ; [60.77697842 67.22302158],0
n6,1,0.519919,0.414055,[7 3] ; [100  27],[7.81021898 2.18978102] ; [99.18978102 27.81021898],0
p4,1,0.537058,0.381021,[5 6] ; [70 57],[5.97826087 5.02173913] ; [69.02173913 57.97826087],0
p12,1,0.542137,0.371593,[ 1 10] ; [  6 118],[ 0.57037037 10.42962963] ; [  6.42962963 117.57037037],0
n5,1,0.548303,0.360366,[8 3] ; [102  25],[8.76811594 2.23188406] ; [101.23188406  25.76811594],0
d3,1,0.548637,0.359764,[4 7] ; [59 70],[4.95 6.05] ; [58.05 70.95],0
p6,1,0.559021,0.341403,[3 8] ; [44 78],[3.88721805 7.11278195] ; [43.11278195 78.88721805],0
n4,1,0.632632,0.228509,[8 3] ; [101  27],[8.62589928 2.37410072] ; [100.37410072  27.62589928],0
u3,1,0.658332,0.195556,[2 1] ; [16 14],[1.63636364 1.36363636] ; [16.36363636 13.63636364],0
p5,1,0.674316,0.176595,[2 9] ; [ 17 108],[1.53676471 9.46323529] ; [ 17.46323529 107.53676471],0
b1,1,0.716232,0.132132,[6 5] ; [63 66],[5.42142857 5.57857143] ; [63.57857143 65.42142857],0
p3,1,0.73412,0.115362,[6 5] ; [62 64],[5.45985401 5.54014599] ; [62.54014599 63.45985401],0
a3,1,0.763186,0.090782,[8 3] ; [99 30],[8.40714286 2.59285714] ; [98.59285714 30.40714286],0
p7,1,0.78069,0.077518,[7 4] ; [84 40],[7.41481481 3.58518519] ; [83.58518519 40.41481481],0
n3,1,0.780826,0.077419,[4 1] ; [23  8],[3.75 1.25] ; [23.25  7.75],0
d2,1,0.791186,0.070104,[5 6] ; [64 65],[5.42142857 5.57857143] ; [63.57857143 65.42142857],0
b5,1,0.791186,0.070104,[6 5] ; [65 64],[5.57857143 5.42142857] ; [65.42142857 63.57857143],0
s2,1,0.816751,0.053697,[6 5] ; [75 54],[6.36428571 4.63571429] ; [74.63571429 54.36428571],0
s7,1,0.8262,0.048214,[5 5] ; [67 58],[5.33333333 4.66666667] ; [66.66666667 58.33333333],0
a1,1,0.874119,0.0251,[ 1 10] ; [ 10 119],[ 0.86428571 10.13571429] ; [ 10.13571429 118.86428571],0
n1,1,0.935075,0.006636,[3 2] ; [18 13],[2.91666667 2.08333333] ; [18.08333333 12.91666667],0
a6,1,0.955565,0.003105,[4 7] ; [48 81],[4.08571429 6.91428571] ; [47.91428571 81.08571429],0
a2,1,0.981498,0.000538,[ 1 10] ; [ 12 117],[1.02142857 9.97857143] ; [ 11.97857143 117.02142857],0
d4,1,0.985913,0.000312,[9 2] ; [105  23],[9.02158273 1.97841727] ; [104.97841727  23.02158273],0
