Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,6e-06,20.600286,[115  42] ; [16 28],[102.32338308  54.67661692] ; [28.67661692 15.32338308],1
r4,1,1.4e-05,18.910503,[140  17] ; [27 17],[130.44278607  26.55721393] ; [36.55721393  7.44278607],1
r3,1,7.5e-05,15.686106,[151   5] ; [35  9],[145.08  10.92] ; [40.92  3.08],1
n5,1,0.000895,11.032962,[118  39] ; [21 22],[109.115  47.885] ; [29.885 13.115],1
p11,1,0.0016,9.959966,[131  26] ; [27 17],[123.41293532  33.58706468] ; [34.58706468  9.41293532],0
v3,1,0.018559,5.542626,[54 97] ; [ 7 35],[ 47.7253886 103.2746114] ; [13.2746114 28.7253886],0
p10,1,0.026339,4.933593,[137  18] ; [33 11],[132.4120603  22.5879397] ; [37.5879397  6.4120603],0
p3,1,0.027952,4.831009,[68 89] ; [11 33],[61.70646766 95.29353234] ; [17.29353234 26.70646766],0
p4,1,0.036622,4.367903,[83 74] ; [15 28],[76.93 80.07] ; [21.07 21.93],0
v4,1,0.048032,3.908863,[150   6] ; [38  5],[147.37688442   8.62311558] ; [40.62311558  2.37688442],0
d2,1,0.050328,3.830485,[ 35 122] ; [ 4 40],[ 30.46268657 126.53731343] ; [ 8.53731343 35.46268657],0
p2,1,0.053392,3.731622,[133  23] ; [32 12],[128.7  27.3] ; [36.3  7.7],0
p8,1,0.087437,2.920939,[81 75] ; [16 27],[76.04020101 79.95979899] ; [20.95979899 22.04020101],0
a1,1,0.090922,2.857967,[  3 154] ; [ 3 41],[  4.68656716 152.31343284] ; [ 1.31343284 42.68656716],0
a8,1,0.098971,2.72205,[ 20 124] ; [ 2 41],[ 16.94117647 127.05882353] ; [ 5.05882353 37.94117647],0
p7,1,0.114578,2.489919,[95 60] ; [19 21],[90.61538462 64.38461538] ; [23.38461538 16.61538462],0
p5,1,0.1161,2.469156,[ 20 134] ; [ 2 42],[ 17.11111111 136.88888889] ; [ 4.88888889 39.11111111],0
v2,1,0.123542,2.371828,[71 78] ; [14 27],[66.65789474 82.34210526] ; [18.34210526 22.65789474],0
s8,1,0.140329,2.174346,[58 99] ; [11 33],[ 53.89552239 103.10447761] ; [15.10447761 28.89552239],0
s6,1,0.141334,2.163378,[96 58] ; [22 22],[91.77777778 62.22222222] ; [26.22222222 17.77777778],0
a4,1,0.174515,1.843726,[ 36 120] ; [ 6 38],[ 32.76 123.24] ; [ 9.24 34.76],0
b1,1,0.196956,1.664801,[ 48 109] ; [18 26],[ 51.55223881 105.44776119] ; [14.44776119 29.55223881],0
