Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,3e-06,22.101725,[32  6] ; [ 2 12],[24.84615385 13.15384615] ; [9.15384615 4.84615385],1
p11,1,0.000493,12.140341,[33  6] ; [5 9],[27.96226415 11.03773585] ; [10.03773585  3.96226415],1
n5,1,0.007699,7.102229,[28  9] ; [5 9],[23.94117647 13.05882353] ; [9.05882353 4.94117647],0
p2,1,0.008693,6.884927,[34  4] ; [8 6],[30.69230769  7.30769231] ; [11.30769231  2.69230769],0
n4,1,0.013623,6.086404,[26 13] ; [ 4 10],[22.0754717 16.9245283] ; [7.9245283 6.0754717],0
a4,1,0.015956,5.807665,[20 19] ; [ 2 12],[16.18867925 22.81132075] ; [5.81132075 8.18867925],0
s8,1,0.06143,3.498354,[16 22] ; [ 2 12],[13.15384615 24.84615385] ; [4.84615385 9.15384615],0
p6,1,0.090844,2.85936,[18 20] ; [ 3 11],[15.34615385 22.65384615] ; [5.65384615 8.34615385],0
s1,1,0.103508,2.650647,[ 1 38] ; [ 2 12],[ 2.20754717 36.79245283] ; [ 0.79245283 13.20754717],0
v1,1,0.125419,2.348308,[17 21] ; [ 3 11],[14.61538462 23.38461538] ; [5.38461538 8.61538462],0
a7,1,0.134775,2.236622,[16 23] ; [9 5],[18.39622642 20.60377358] ; [6.60377358 7.39622642],0
d2,1,0.189647,1.720356,[16 23] ; [ 3 11],[13.98113208 25.01886792] ; [5.01886792 8.98113208],0
u2,1,0.191719,1.704359,[8 7] ; [2 6],[6.52173913 8.47826087] ; [3.47826087 4.52173913],0
b2,1,0.216484,1.527528,[ 9 19] ; [1 8],[ 7.56756757 20.43243243] ; [2.43243243 6.56756757],0
b3,1,0.216484,1.527528,[ 9 19] ; [1 8],[ 7.56756757 20.43243243] ; [2.43243243 6.56756757],0
a3,1,0.226352,1.463641,[24 15] ; [6 8],[22.0754717 16.9245283] ; [7.9245283 6.0754717],0
v3,1,0.239579,1.38307,[ 8 30] ; [ 1 13],[ 6.57692308 31.42307692] ; [ 2.42307692 11.57692308],0
p5,1,0.289978,1.119724,[ 8 31] ; [ 1 12],[ 6.75 32.25] ; [ 2.25 10.75],0
n6,1,0.30274,1.062085,[29  9] ; [8 5],[27.56862745 10.43137255] ; [9.43137255 3.56862745],0
d3,1,0.324363,0.971274,[22 17] ; [10  4],[23.54716981 15.45283019] ; [8.45283019 5.54716981],0
n2,1,0.357197,0.847724,[10  3] ; [4 3],[9.1 3.9] ; [4.9 2.1],0
b4,1,0.401758,0.703057,[19 20] ; [5 9],[17.66037736 21.33962264] ; [6.33962264 7.66037736],0
a5,1,0.412645,0.671167,[27 12] ; [8 6],[25.75471698 13.24528302] ; [9.24528302 4.75471698],0
s7,1,0.413686,0.668182,[17 18] ; [5 9],[15.71428571 19.28571429] ; [6.28571429 7.71428571],0
s4,1,0.42663,0.631979,[ 7 31] ; [ 4 10],[ 8.03846154 29.96153846] ; [ 2.96153846 11.03846154],0
d5,1,0.472918,0.51515,[29 10] ; [9 5],[27.96226415 11.03773585] ; [10.03773585  3.96226415],0
s5,1,0.476343,0.507223,[ 9 27] ; [ 2 11],[ 8.08163265 27.91836735] ; [ 2.91836735 10.08163265],0
r3,1,0.486919,0.483327,[25 12] ; [8 6],[23.94117647 13.05882353] ; [9.05882353 4.94117647],0
a2,1,0.565192,0.330794,[ 5 34] ; [ 1 13],[ 4.41509434 34.58490566] ; [ 1.58490566 12.41509434],0
u1,1,0.565192,0.330794,[ 5 34] ; [ 1 13],[ 4.41509434 34.58490566] ; [ 1.58490566 12.41509434],0
u3,1,0.571107,0.320833,[7 7] ; [3 5],[6.36363636 7.63636364] ; [3.63636364 4.36363636],0
v4,1,0.624065,0.240196,[25 10] ; [9 5],[24.28571429 10.71428571] ; [9.71428571 4.28571429],0
v2,1,0.625872,0.2377,[16 21] ; [5 9],[15.23529412 21.76470588] ; [5.76470588 8.23529412],0
n1,1,0.639207,0.21978,[7 6] ; [3 4],[6.5 6.5] ; [3.5 3.5],0
n3,1,0.639207,0.21978,[6 7] ; [4 3],[6.5 6.5] ; [3.5 3.5],0
b1,1,0.644911,0.212377,[25 14] ; [8 6],[24.28301887 14.71698113] ; [8.71698113 5.28301887],0
s3,1,0.645823,0.211207,[15 20] ; [5 9],[14.28571429 20.71428571] ; [5.71428571 8.28571429],0
p3,1,0.679359,0.170848,[22 17] ; [7 7],[21.33962264 17.66037736] ; [7.66037736 6.33962264],0
a6,1,0.706302,0.141999,[20 19] ; [8 6],[20.60377358 18.39622642] ; [7.39622642 6.60377358],0
r2,1,0.785959,0.073746,[19 16] ; [7 7],[18.57142857 16.42857143] ; [7.42857143 6.57142857],0
s2,1,0.795749,0.067005,[17 20] ; [7 7],[17.41176471 19.58823529] ; [6.58823529 7.41176471],0
r1,1,0.827768,0.047334,[ 9 28] ; [ 3 11],[ 8.70588235 28.29411765] ; [ 3.29411765 10.70588235],0
d4,1,0.877877,0.023612,[27 12] ; [10  4],[27.22641509 11.77358491] ; [9.77358491 4.22641509],0
d1,1,0.905036,0.014233,[16 23] ; [6 8],[16.18867925 22.81132075] ; [5.81132075 8.18867925],0
b5,1,0.905036,0.014233,[23 16] ; [8 6],[22.81132075 16.18867925] ; [8.18867925 5.81132075],0
p7,1,0.919469,0.010222,[25 13] ; [9 5],[24.84615385 13.15384615] ; [9.15384615 4.84615385],0
s6,1,1.0,0.0,[18 18] ; [7 7],[18. 18.] ; [7. 7.],0
p8,1,1.0,0.0,[21 18] ; [7 6],[21. 18.] ; [7. 6.],0
