Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,3e-06,21.654826,[235  64] ; [31 31],[220.31578947  78.68421053] ; [45.68421053 16.31578947],1
v2,1,8.8e-05,15.385561,[176 112] ; [21 41],[162.10285714 125.89714286] ; [34.89714286 27.10285714],1
v1,1,0.00064,11.655168,[166 130] ; [20 42],[153.7877095 142.2122905] ; [32.2122905 29.7877095],1
d1,1,0.004297,8.153696,[175 124] ; [24 38],[164.82271468 134.17728532] ; [34.17728532 27.82271468],0
r2,1,0.009775,6.675459,[289   8] ; [56  6],[285.4178273  11.5821727] ; [59.5821727  2.4178273],0
a2,1,0.012149,6.289061,[ 72 227] ; [ 6 56],[ 64.60387812 234.39612188] ; [13.39612188 48.60387812],0
n4,1,0.017656,5.629977,[227  72] ; [38 24],[219.48753463  79.51246537] ; [45.51246537 16.48753463],0
s2,1,0.018076,5.588796,[ 37 258] ; [15 47],[ 42.96918768 252.03081232] ; [ 9.03081232 52.96918768],0
u1,1,0.030354,4.689131,[ 52 247] ; [ 4 58],[ 46.38227147 252.61772853] ; [ 9.61772853 52.38227147],0
d2,1,0.03539,4.426279,[142 157] ; [20 41],[134.55 164.45] ; [27.45 33.55],0
a6,1,0.051169,3.802724,[220  79] ; [38 24],[213.68975069  85.31024931] ; [44.31024931 17.68975069],0
d3,1,0.05648,3.637859,[209  90] ; [35 26],[202.65555556  96.34444444] ; [41.34444444 19.65555556],0
s8,1,0.066355,3.370966,[ 86 209] ; [11 51],[ 80.15406162 214.84593838] ; [16.84593838 45.15406162],0
s4,1,0.105517,2.62011,[ 27 266] ; [10 52],[ 30.53802817 262.46197183] ; [ 6.46197183 55.53802817],0
u3,1,0.111299,2.535685,[55 37] ; [10 14],[51.55172414 40.44827586] ; [13.44827586 10.55172414],0
n6,1,0.118813,2.432893,[246  53] ; [56  6],[250.13296399  48.86703601] ; [51.86703601 10.13296399],0
d4,1,0.140829,2.168882,[246  53] ; [46 16],[241.85041551  57.14958449] ; [50.14958449 11.85041551],0
n5,1,0.144491,2.129462,[210  87] ; [38 24],[205.16991643  91.83008357] ; [42.83008357 19.16991643],0
v3,1,0.148388,2.088747,[111 175] ; [18 44],[106.01724138 179.98275862] ; [22.98275862 39.01724138],0
a7,1,0.17338,1.853469,[226  73] ; [41 20],[221.75833333  77.24166667] ; [45.24166667 15.75833333],0
p5,1,0.195818,1.673294,[ 27 270] ; [ 9 53],[ 29.78272981 267.21727019] ; [ 6.21727019 55.78272981],0
p7,1,0.197157,1.663308,[183 112] ; [33 29],[178.48739496 116.51260504] ; [37.51260504 24.48739496],0
p2,1,0.209011,1.578264,[242  56] ; [46 16],[238.4  59.6] ; [49.6 12.4],0
a3,1,0.209218,1.576829,[207  91] ; [38 24],[202.80555556  95.19444444] ; [42.19444444 19.80555556],0
d5,1,0.218918,1.511447,[250  49] ; [47 14],[246.675  52.325] ; [50.325 10.675],0
n2,1,0.224819,1.473342,[42 22] ; [16  4],[44.19047619 19.80952381] ; [13.80952381  6.19047619],0
p8,1,0.235828,1.40536,[155 135] ; [28 34],[150.76704545 139.23295455] ; [32.23295455 29.76704545],0
a1,1,0.248816,1.329939,[ 10 289] ; [ 4 58],[ 11.59556787 287.40443213] ; [ 2.40443213 59.59556787],0
a4,1,0.317887,0.997619,[136 162] ; [24 38],[132.44444444 165.55555556] ; [27.55555556 34.44444444],0
p6,1,0.323315,0.975491,[ 96 197] ; [24 37],[ 99.3220339 193.6779661] ; [20.6779661 40.3220339],0
p3,1,0.334865,0.929993,[145 153] ; [26 36],[141.55 156.45] ; [29.45 32.55],0
a8,1,0.338365,0.916618,[ 36 228] ; [ 5 51],[ 33.825 230.175] ; [ 7.175 48.825],0
p4,1,0.344124,0.895006,[168 129] ; [31 31],[164.63231198 132.36768802] ; [34.36768802 27.63231198],0
b5,1,0.384009,0.757829,[185 114] ; [42 20],[188.01385042 110.98614958] ; [38.98614958 23.01385042],0
p1,1,0.411727,0.673808,[ 20 278] ; [ 6 56],[ 21.52222222 276.47777778] ; [ 4.47777778 57.52222222],0
n1,1,0.413092,0.669883,[19 44] ; [ 8 12],[20.4939759 42.5060241] ; [ 6.5060241 13.4939759],0
u4,1,0.456166,0.555285,[  2 297] ; [ 1 61],[  2.48476454 296.51523546] ; [ 0.51523546 61.48476454],0
p12,1,0.535236,0.384441,[ 15 281] ; [ 2 60],[ 14.05586592 281.94413408] ; [ 2.94413408 59.05586592],0
v4,1,0.541826,0.372166,[290   9] ; [61  1],[290.71745152   8.28254848] ; [60.28254848  1.71745152],0
