Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,1e-06,23.552854,[82 18] ; [13 21],[70.89552239 29.10447761] ; [24.10447761  9.89552239],1
r4,1,2.9e-05,17.512336,[96  4] ; [24 10],[89.55223881 10.44776119] ; [30.44776119  3.55223881],1
n4,1,0.00023,13.571833,[86 14] ; [19 15],[78.35820896 21.64179104] ; [26.64179104  7.35820896],1
v1,1,0.000334,12.869827,[70 30] ; [12 22],[61.19402985 38.80597015] ; [20.80597015 13.19402985],1
a2,1,0.002175,9.395454,[28 72] ; [ 1 33],[21.64179104 78.35820896] ; [ 7.35820896 26.64179104],0
d1,1,0.009318,6.760768,[61 39] ; [12 22],[54.47761194 45.52238806] ; [18.52238806 15.47761194],0
p3,1,0.021745,5.266093,[69 31] ; [16 18],[63.43283582 36.56716418] ; [21.56716418 12.43283582],0
u1,1,0.026873,4.898976,[23 77] ; [ 2 32],[18.65671642 81.34328358] ; [ 6.34328358 27.65671642],0
r2,1,0.028305,4.809395,[95  4] ; [28  5],[92.25  6.75] ; [30.75  2.25],0
a3,1,0.044692,4.030222,[71 28] ; [18 16],[66.2481203 32.7518797] ; [22.7518797 11.2481203],0
r3,1,0.047237,3.936921,[97  3] ; [30  4],[94.7761194  5.2238806] ; [32.2238806  1.7761194],0
s8,1,0.049708,3.851267,[42 57] ; [ 8 26],[37.21804511 61.78195489] ; [12.78195489 21.21804511],0
v2,1,0.05996,3.538504,[64 36] ; [15 18],[59.39849624 40.60150376] ; [19.60150376 13.39849624],0
v3,1,0.070944,3.26105,[44 56] ; [ 9 25],[39.55223881 60.44776119] ; [13.44776119 20.55223881],0
p9,1,0.075407,3.161212,[90  9] ; [27  7],[87.09022556 11.90977444] ; [29.90977444  4.09022556],0
d5,1,0.080435,3.056085,[86 14] ; [24  9],[82.70676692 17.29323308] ; [27.29323308  5.70676692],0
p10,1,0.085027,2.966095,[85 14] ; [24  9],[81.75 17.25] ; [27.25  5.75],0
a6,1,0.090055,2.873387,[69 31] ; [18 16],[64.92537313 35.07462687] ; [22.07462687 11.92537313],0
n6,1,0.109045,2.568006,[90 10] ; [27  7],[87.31343284 12.68656716] ; [29.68656716  4.31343284],0
d2,1,0.110439,2.547932,[45 55] ; [10 24],[41.04477612 58.95522388] ; [13.95522388 20.04477612],0
p7,1,0.117942,2.444444,[84 15] ; [24  9],[81. 18.] ; [27.  6.],0
a7,1,0.130615,2.285182,[77 23] ; [21 12],[73.68421053 26.31578947] ; [24.31578947  8.68421053],0
n1,1,0.149154,2.080883,[ 5 17] ; [6 7],[ 6.91428571 15.08571429] ; [4.08571429 8.91428571],0
p2,1,0.156678,2.005998,[89 11] ; [27  7],[86.56716418 13.43283582] ; [29.43283582  4.56716418],0
p4,1,0.157397,1.999058,[82 18] ; [24 10],[79.10447761 20.89552239] ; [26.89552239  7.10447761],0
a4,1,0.16564,1.921963,[49 51] ; [12 22],[45.52238806 54.47761194] ; [15.47761194 18.52238806],0
n5,1,0.175734,1.833333,[75 24] ; [21 12],[72. 27.] ; [24.  9.],0
s6,1,0.221075,1.497381,[56 41] ; [15 18],[52.97692308 44.02307692] ; [18.02307692 14.97692308],0
u3,1,0.228005,1.453267,[19 10] ; [7 8],[17.13636364 11.86363636] ; [8.86363636 6.13636364],0
d4,1,0.255401,1.293514,[80 20] ; [24 10],[77.6119403 22.3880597] ; [26.3880597  7.6119403],0
p8,1,0.260197,1.267707,[68 30] ; [20 14],[65.33333333 32.66666667] ; [22.66666667 11.33333333],0
a1,1,0.274852,1.192372,[ 4 96] ; [ 3 31],[ 5.2238806 94.7761194] ; [ 1.7761194 32.2238806],0
s2,1,0.329235,0.951905,[21 78] ; [10 24],[23.07518797 75.92481203] ; [ 7.92481203 26.07518797],0
b1,1,0.342305,0.901779,[35 65] ; [15 19],[37.31343284 62.68656716] ; [12.68656716 21.31343284],0
s7,1,0.368894,0.807387,[42 52] ; [11 20],[39.856 54.144] ; [13.144 17.856],0
p12,1,0.382258,0.763426,[ 7 92] ; [ 1 33],[ 5.95488722 93.04511278] ; [ 2.04511278 31.95488722],0
d3,1,0.494681,0.466329,[69 31] ; [20 12],[67.42424242 32.57575758] ; [21.57575758 10.42424242],0
s5,1,0.541524,0.372723,[32 65] ; [ 9 24],[30.59230769 66.40769231] ; [10.40769231 22.59230769],0
b5,1,0.70026,0.148201,[64 36] ; [23 11],[64.92537313 35.07462687] ; [22.07462687 11.92537313],0
p1,1,0.72003,0.128464,[11 89] ; [ 3 31],[10.44776119 89.55223881] ; [ 3.55223881 30.44776119],0
p5,1,0.741258,0.109024,[14 86] ; [ 4 30],[13.43283582 86.56716418] ; [ 4.56716418 29.43283582],0
v4,1,0.748624,0.102691,[98  2] ; [33  1],[97.76119403  2.23880597] ; [33.23880597  0.76119403],0
a8,1,0.752486,0.099454,[10 75] ; [ 3 28],[ 9.52586207 75.47413793] ; [ 3.47413793 27.52586207],0
n3,1,0.777659,0.079733,[17  4] ; [10  3],[16.67647059  4.32352941] ; [10.32352941  2.67647059],0
