Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,35.997552,[134  14] ; [13 16],[122.91525424  25.08474576] ; [24.08474576  4.91525424],1
d2,1,1.1e-05,19.403604,[85 63] ; [ 4 26],[74. 74.] ; [15. 15.],1
d3,1,1.6e-05,18.634838,[112  37] ; [10 19],[102.12359551  46.87640449] ; [19.87640449  9.12359551],1
a4,1,0.000306,13.034651,[69 80] ; [ 3 26],[60.26966292 88.73033708] ; [11.73033708 17.26966292],1
a5,1,0.00256,9.09748,[117  32] ; [15 14],[110.49438202  38.50561798] ; [21.50561798  7.49438202],0
a2,1,0.004348,8.132556,[ 41 108] ; [ 1 29],[ 34.96089385 114.03910615] ; [ 7.03910615 22.96089385],0
a3,1,0.013898,6.051006,[115  34] ; [16 13],[109.65730337  39.34269663] ; [21.34269663  7.65730337],0
u1,1,0.026506,4.922684,[ 30 119] ; [ 1 29],[ 25.80446927 123.19553073] ; [ 5.19553073 24.80446927],0
b5,1,0.030033,4.707409,[82 67] ; [10 20],[76.58100559 72.41899441] ; [15.41899441 14.58100559],0
s8,1,0.033679,4.510916,[60 88] ; [ 6 24],[54.87640449 93.12359551] ; [11.12359551 18.87640449],0
n4,1,0.067958,3.33167,[112  37] ; [17 12],[107.98314607  41.01685393] ; [21.01685393  7.98314607],0
p11,1,0.089361,2.88584,[107  42] ; [26  4],[110.70949721  38.29050279] ; [22.29050279  7.70949721],0
p6,1,0.113701,2.502011,[ 35 112] ; [11 18],[ 38.42045455 108.57954545] ; [ 7.57954545 21.42045455],0
p4,1,0.141753,2.158828,[80 67] ; [11 17],[76.44 70.56] ; [14.56 13.44],0
a6,1,0.157423,1.998803,[107  42] ; [17 12],[103.79775281  45.20224719] ; [20.20224719  8.79775281],0
s7,1,0.174904,1.840401,[67 74] ; [ 9 18],[63.78571429 77.21428571] ; [12.21428571 14.78571429],0
p10,1,0.188144,1.732091,[118  31] ; [19  9],[115.32768362  33.67231638] ; [21.67231638  6.32768362],0
s6,1,0.243399,1.360802,[93 54] ; [15 14],[90.20454545 56.79545455] ; [17.79545455 11.20454545],0
v4,1,0.267215,1.230988,[133  14] ; [29  1],[134.54237288  12.45762712] ; [27.45762712  2.54237288],0
b3,1,0.268353,1.225145,[31 59] ; [ 3 12],[29.14285714 60.85714286] ; [ 4.85714286 10.14285714],0
b2,1,0.268353,1.225145,[31 59] ; [ 3 12],[29.14285714 60.85714286] ; [ 4.85714286 10.14285714],0
u3,1,0.277515,1.179218,[18 16] ; [5 9],[16.29166667 17.70833333] ; [6.70833333 7.29166667],0
p8,1,0.307955,1.039427,[65 80] ; [16 13],[67.5 77.5] ; [13.5 15.5],0
p3,1,0.314532,1.011548,[62 87] ; [15 14],[64.45505618 84.54494382] ; [12.54494382 16.45505618],0
p9,1,0.32759,0.958401,[118  30] ; [20  8],[116.04545455  31.95454545] ; [21.95454545  6.04545455],0
s3,1,0.34322,0.898367,[82 64] ; [13 15],[79.71264368 66.28735632] ; [15.28735632 12.71264368],0
r2,1,0.346013,0.888027,[139   8] ; [27  3],[137.86440678   9.13559322] ; [28.13559322  1.86440678],0
p12,1,0.366715,0.814766,[  9 140] ; [ 3 25],[ 10.10169492 138.89830508] ; [ 1.89830508 26.10169492],0
p7,1,0.389381,0.740874,[87 60] ; [19  9],[89.04 57.96] ; [16.96 11.04],0
v3,1,0.456997,0.553239,[67 79] ; [16 14],[68.85227273 77.14772727] ; [14.14772727 15.85227273],0
p2,1,0.536441,0.382175,[111  38] ; [20  9],[109.65730337  39.34269663] ; [21.34269663  7.65730337],0
a7,1,0.537013,0.381103,[115  33] ; [21  8],[113.71751412  34.28248588] ; [22.28248588  6.71751412],0
a1,1,0.555862,0.34692,[  9 140] ; [ 1 29],[  8.32402235 140.67597765] ; [ 1.67597765 28.32402235],0
p1,1,0.579167,0.307583,[  9 140] ; [ 1 28],[  8.37078652 140.62921348] ; [ 1.62921348 27.37078652],0
r3,1,0.626942,0.23623,[138   8] ; [29  1],[138.53409091   7.46590909] ; [28.46590909  1.53409091],0
s2,1,0.642522,0.215459,[71 77] ; [13 17],[69.84269663 78.15730337] ; [14.15730337 15.84269663],0
s4,1,0.677619,0.172818,[ 26 123] ; [ 6 23],[ 26.78651685 122.21348315] ; [ 5.21348315 23.78651685],0
u2,1,0.69537,0.153333,[14 18] ; [7 7],[14.60869565 17.39130435] ; [6.39130435 7.60869565],0
b4,1,0.703395,0.144965,[90 59] ; [17 13],[89.06703911 59.93296089] ; [17.93296089 12.06703911],0
n6,1,0.709894,0.138383,[119  29] ; [25  5],[119.73033708  28.26966292] ; [24.26966292  5.73033708],0
b1,1,0.803546,0.061882,[56 93] ; [12 18],[56.60335196 92.39664804] ; [11.39664804 18.60335196],0
n5,1,0.847746,0.036862,[94 53] ; [18 11],[93.54545455 53.45454545] ; [18.45454545 10.54545455],0
r1,1,0.905559,0.014076,[122  26] ; [25  5],[122.2247191  25.7752809] ; [24.7752809  5.2247191],0
n2,1,0.909429,0.012941,[31  9] ; [3 1],[30.90909091  9.09090909] ; [3.09090909 0.90909091],0
r4,1,0.912684,0.012024,[128  21] ; [26  4],[128.18994413  20.81005587] ; [25.81005587  4.18994413],0
a8,1,0.931415,0.007407,[ 15 118] ; [ 3 25],[ 14.86956522 118.13043478] ; [ 3.13043478 24.86956522],0
s5,1,0.941386,0.005406,[46 94] ; [ 9 19],[45.83333333 94.16666667] ; [ 9.16666667 18.83333333],0
p5,1,0.970979,0.001324,[ 10 139] ; [ 2 27],[ 10.04494382 138.95505618] ; [ 1.95505618 27.04494382],0
