Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000406,12.506541,[61  8] ; [21 15],[53.88571429 15.11428571] ; [28.11428571  7.88571429],1
n2,1,0.003835,8.360289,[20  6] ; [ 6 12],[15.36363636 10.63636364] ; [10.63636364  7.36363636],0
n5,1,0.007368,7.181017,[42 27] ; [12 24],[35.48571429 33.51428571] ; [18.51428571 17.48571429],0
p10,1,0.014632,5.960234,[17 51] ; [ 2 34],[12.42307692 55.57692308] ; [ 6.57692308 29.42307692],0
r3,1,0.017312,5.664488,[56 12] ; [22 14],[51. 17.] ; [27.  9.],0
p11,1,0.024112,5.086554,[35 34] ; [10 26],[29.57142857 39.42857143] ; [15.42857143 20.57142857],0
r4,1,0.025233,5.007839,[48 21] ; [17 19],[42.71428571 26.28571429] ; [22.28571429 13.71428571],0
s8,1,0.03965,4.232813,[11 56] ; [ 1 35],[ 7.80582524 59.19417476] ; [ 4.19417476 31.80582524],0
v3,1,0.041396,4.159749,[23 45] ; [ 5 29],[18.66666667 49.33333333] ; [ 9.33333333 24.66666667],0
s7,1,0.050094,3.838319,[14 51] ; [ 2 31],[10.6122449 54.3877551] ; [ 5.3877551 27.6122449],0
r2,1,0.057345,3.612544,[59  9] ; [25 10],[55.45631068 12.54368932] ; [28.54368932  6.45631068],0
u1,1,0.062802,3.461809,[10 59] ; [ 1 35],[ 7.22857143 61.77142857] ; [ 3.77142857 32.22857143],0
d4,1,0.068627,3.315562,[53 15] ; [22 14],[49.03846154 18.96153846] ; [25.96153846 10.03846154],0
s2,1,0.081061,3.043508,[12 55] ; [ 2 34],[ 9.10679612 57.89320388] ; [ 4.89320388 31.10679612],0
s6,1,0.149628,2.076038,[22 45] ; [ 7 29],[18.86407767 48.13592233] ; [10.13592233 25.86407767],0
p3,1,0.165088,1.926993,[20 49] ; [ 6 30],[17.08571429 51.91428571] ; [ 8.91428571 27.08571429],0
p4,1,0.201525,1.631291,[23 44] ; [ 8 28],[20.16504854 46.83495146] ; [10.83495146 25.16504854],0
p7,1,0.226739,1.461205,[27 41] ; [10 26],[24.19230769 43.80769231] ; [12.80769231 23.19230769],0
a2,1,0.26188,1.258792,[11 58] ; [ 9 27],[13.14285714 55.85714286] ; [ 6.85714286 29.14285714],0
n4,1,0.275205,1.19062,[44 25] ; [19 17],[41.4 27.6] ; [21.6 14.4],0
v2,1,0.297718,1.084387,[31 38] ; [12 23],[28.52884615 40.47115385] ; [14.47115385 20.52884615],0
a3,1,0.36994,0.803865,[35 34] ; [21 14],[37.15384615 31.84615385] ; [18.84615385 16.15384615],0
d1,1,0.382011,0.764219,[33 36] ; [14 22],[30.88571429 38.11428571] ; [16.11428571 19.88571429],0
a6,1,0.38479,0.755342,[38 31] ; [23 13],[40.08571429 28.91428571] ; [20.91428571 15.08571429],0
d5,1,0.462926,0.538811,[47 22] ; [27  9],[48.62857143 20.37142857] ; [25.37142857 10.62857143],0
s5,1,0.466591,0.530037,[11 56] ; [ 4 32],[ 9.75728155 57.24271845] ; [ 5.24271845 30.75728155],0
s1,1,0.490448,0.475543,[ 4 65] ; [ 1 35],[ 3.28571429 65.71428571] ; [ 1.71428571 34.28571429],0
p8,1,0.554269,0.349725,[19 50] ; [ 8 28],[17.74285714 51.25714286] ; [ 9.25714286 26.74285714],0
n3,1,0.576347,0.312177,[16 10] ; [9 8],[15.11627907 10.88372093] ; [9.88372093 7.11627907],0
b2,1,0.577941,0.309576,[11 30] ; [ 8 16],[11.98461538 29.01538462] ; [ 7.01538462 16.98461538],0
b3,1,0.577941,0.309576,[11 30] ; [ 8 16],[11.98461538 29.01538462] ; [ 7.01538462 16.98461538],0
s4,1,0.588288,0.293025,[ 8 60] ; [ 3 33],[ 7.19230769 60.80769231] ; [ 3.80769231 32.19230769],0
a7,1,0.624951,0.238971,[43 25] ; [21 15],[41.84615385 26.15384615] ; [22.15384615 13.84615385],0
a4,1,0.624951,0.238971,[25 43] ; [15 21],[26.15384615 41.84615385] ; [13.84615385 22.15384615],0
n1,1,0.632101,0.229223,[ 9 17] ; [ 5 13],[ 8.27272727 17.72727273] ; [ 5.72727273 12.27272727],0
