Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000523,12.030999,[86  9] ; [25 13],[79.28571429 15.71428571] ; [31.71428571  6.28571429],1
p5,1,0.002529,9.119342,[24 73] ; [ 1 38],[17.83088235 79.16911765] ; [ 7.16911765 31.83088235],0
b2,1,0.002612,9.06033,[23 40] ; [18  7],[29.35227273 33.64772727] ; [11.64772727 13.35227273],0
b3,1,0.002612,9.06033,[23 40] ; [18  7],[29.35227273 33.64772727] ; [11.64772727 13.35227273],0
p4,1,0.003442,8.556851,[82 15] ; [24 15],[75.60294118 21.39705882] ; [30.39705882  8.60294118],0
p3,1,0.005232,7.797617,[65 32] ; [16 23],[57.77205882 39.22794118] ; [23.22794118 15.77205882],0
p10,1,0.024934,5.028474,[82 14] ; [26 12],[77.37313433 18.62686567] ; [30.62686567  7.37313433],0
v1,1,0.029961,4.711538,[44 52] ; [10 29],[38.4 57.6] ; [15.6 23.4],0
s8,1,0.049104,3.871807,[54 43] ; [14 24],[48.85925926 48.14074074] ; [19.14074074 18.85925926],0
d1,1,0.061936,3.484777,[64 33] ; [19 20],[59.19852941 37.80147059] ; [23.80147059 15.19852941],0
a4,1,0.062893,3.459413,[44 53] ; [24 14],[48.85925926 48.14074074] ; [19.14074074 18.85925926],0
p2,1,0.087169,2.925891,[91  6] ; [33  6],[88.44117647  8.55882353] ; [35.55882353  3.44117647],0
a2,1,0.08814,2.908012,[17 80] ; [12 27],[20.68382353 76.31617647] ; [ 8.31617647 30.68382353],0
n5,1,0.093557,2.812073,[77 19] ; [26 13],[73.24444444 22.75555556] ; [29.75555556  9.24444444],0
d3,1,0.094896,2.7893,[72 25] ; [22 15],[68.04477612 28.95522388] ; [25.95522388 11.04477612],0
s6,1,0.101286,2.685174,[71 21] ; [24 14],[67.23076923 24.76923077] ; [27.76923077 10.23076923],0
u2,1,0.113436,2.505682,[16 17] ; [9 3],[18.33333333 14.66666667] ; [6.66666667 5.33333333],0
