Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,24.254205,[47 17] ; [ 61 103],[30.31578947 33.68421053] ; [77.68421053 86.31578947],1
p7,1,1e-06,23.663302,[49 14] ; [68 95],[32.61504425 30.38495575] ; [84.38495575 78.61504425],1
s7,1,2e-06,22.628904,[27 35] ; [ 21 132],[13.84186047 48.15813953] ; [ 34.15813953 118.84186047],1
p2,1,5e-06,20.991322,[62  2] ; [111  52],[48.7753304 15.2246696] ; [124.2246696  38.7753304],1
p3,1,0.000366,12.697954,[39 25] ; [ 57 106],[27.0660793 36.9339207] ; [68.9339207 94.0660793],1
b3,1,0.001191,10.503966,[23 17] ; [25 65],[14.76923077 25.23076923] ; [33.23076923 56.76923077],0
b2,1,0.001191,10.503966,[23 17] ; [25 65],[14.76923077 25.23076923] ; [33.23076923 56.76923077],0
p8,1,0.002375,9.234529,[40 24] ; [65 97],[29.73451327 34.26548673] ; [75.26548673 86.73451327],0
s8,1,0.004281,8.160814,[20 44] ; [ 24 140],[12.35087719 51.64912281] ; [ 31.64912281 132.35087719],0
v1,1,0.008033,7.026161,[36 28] ; [ 59 101],[27.14285714 36.85714286] ; [67.85714286 92.14285714],0
p12,1,0.01012,6.613632,[ 5 59] ; [  2 160],[ 1.98230088 62.01769912] ; [  5.01769912 156.98230088],0
v4,1,0.028359,4.806134,[62  2] ; [142  21],[57.5154185  6.4845815] ; [146.4845815  16.5154185],0
u2,1,0.051057,3.806391,[12  6] ; [23 34],[8.4 9.6] ; [26.6 30.4],0
p1,1,0.054137,3.708481,[ 9 55] ; [ 10 152],[ 5.38053097 58.61946903] ; [ 13.61946903 148.38053097],0
n6,1,0.058087,3.591187,[53 11] ; [115  48],[47.36563877 16.63436123] ; [120.63436123  42.36563877],0
u1,1,0.064562,3.416137,[13 51] ; [ 18 146],[ 8.70175439 55.29824561] ; [ 22.29824561 141.70175439],0
s5,1,0.099178,2.71872,[10 51] ; [ 14 147],[ 6.59459459 54.40540541] ; [ 17.40540541 143.59459459],0
d5,1,0.101765,2.677668,[46 18] ; [134  30],[50.52631579 13.47368421] ; [129.47368421  34.52631579],0
s4,1,0.107193,2.595122,[ 8 56] ; [ 10 154],[ 5.05263158 58.94736842] ; [ 12.94736842 151.05263158],0
v3,1,0.140005,2.177903,[26 36] ; [ 49 107],[21.33027523 40.66972477] ; [ 53.66972477 102.33027523],0
p9,1,0.145589,2.11787,[52 12] ; [115  45],[47.71428571 16.28571429] ; [119.28571429  40.71428571],0
n4,1,0.187868,1.734259,[49 15] ; [111  53],[44.9122807 19.0877193] ; [115.0877193  48.9122807],0
s3,1,0.189613,1.72062,[20 44] ; [ 37 125],[16.14159292 47.85840708] ; [ 40.85840708 121.14159292],0
d3,1,0.191722,1.704339,[51 12] ; [119  45],[47.18061674 15.81938326] ; [122.81938326  41.18061674],0
n5,1,0.205914,1.599925,[45 19] ; [100  63],[40.88105727 23.11894273] ; [104.11894273  58.88105727],0
