Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,0.0,27.77142,[ 11 148] ; [16 26],[ 21.35820896 137.64179104] ; [ 5.64179104 36.35820896],1
p8,1,0.001109,10.635774,[107  51] ; [39  3],[115.34  42.66] ; [30.66 11.34],0
p1,1,0.001217,10.464015,[ 15 144] ; [12 30],[ 21.35820896 137.64179104] ; [ 5.64179104 36.35820896],0
s5,1,0.001841,9.701674,[66 88] ; [27 11],[74.59375 79.40625] ; [18.40625 19.59375],0
a1,1,0.005247,7.792132,[  7 153] ; [ 7 35],[ 11.08910891 148.91089109] ; [ 2.91089109 39.08910891],0
p4,1,0.005583,7.680292,[127  33] ; [40  1],[132.93532338  27.06467662] ; [34.06467662  6.93532338],0
v3,1,0.005668,7.652924,[72 83] ; [29 12],[79.87244898 75.12755102] ; [21.12755102 19.87244898],0
s7,1,0.012869,6.18705,[93 60] ; [32  7],[99.609375 53.390625] ; [25.390625 13.609375],0
s8,1,0.029991,4.709809,[95 64] ; [32  9],[100.965  58.035] ; [26.035 14.965],0
p3,1,0.035364,4.427515,[101  59] ; [33  8],[106.66666667  53.33333333] ; [27.33333333 13.66666667],0
b5,1,0.035634,4.414527,[108  52] ; [21 21],[102.17821782  57.82178218] ; [26.82178218 15.17821782],0
u4,1,0.037779,4.314936,[  4 156] ; [ 4 38],[  6.33663366 153.66336634] ; [ 1.66336634 40.33663366],0
d5,1,0.040142,4.211864,[143  16] ; [32  9],[139.125  19.875] ; [35.875  5.125],0
s2,1,0.059246,3.558354,[92 67] ; [31 11],[97.29850746 61.70149254] ; [25.70149254 16.29850746],0
p7,1,0.060625,3.520202,[132  25] ; [40  2],[135.69849246  21.30150754] ; [36.30150754  5.69849246],0
r3,1,0.073495,3.20318,[157   3] ; [39  3],[155.24752475   4.75247525] ; [40.75247525  1.24752475],0
s3,1,0.086717,2.934292,[89 70] ; [29 12],[93.81 65.19] ; [24.19 16.81],0
