Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.002959,8.832666,[ 1 25] ; [5 7],[ 4.10526316 21.89473684] ; [ 1.89473684 10.10526316],0
a3,1,0.012481,6.241203,[11 18] ; [11  3],[14.8372093 14.1627907] ; [7.1627907 6.8372093],0
d4,1,0.042479,4.116004,[14 15] ; [12  3],[17.13636364 11.86363636] ; [8.86363636 6.13636364],0
a2,1,0.070247,3.277241,[ 1 28] ; [ 3 12],[ 2.63636364 26.36363636] ; [ 1.36363636 13.63636364],0
p10,1,0.079479,3.075515,[10 18] ; [9 5],[12.66666667 15.33333333] ; [6.33333333 7.66666667],0
p4,1,0.092393,2.832184,[ 8 21] ; [8 7],[10.54545455 18.45454545] ; [5.45454545 9.54545455],0
p2,1,0.111699,2.530013,[14 15] ; [11  4],[16.47727273 12.52272727] ; [8.52272727 6.47727273],0
r4,1,0.160586,1.968704,[ 3 26] ; [ 4 11],[ 4.61363636 24.38636364] ; [ 2.38636364 12.61363636],0
a5,1,0.163444,1.942069,[11 18] ; [9 6],[13.18181818 15.81818182] ; [6.81818182 8.18181818],0
s8,1,0.194221,1.685305,[ 2 27] ; [ 3 12],[ 3.29545455 25.70454545] ; [ 1.70454545 13.29545455],0
v3,1,0.194221,1.685305,[ 2 27] ; [ 3 12],[ 3.29545455 25.70454545] ; [ 1.70454545 13.29545455],0
a4,1,0.205637,1.601881,[ 8 21] ; [7 8],[ 9.88636364 19.11363636] ; [5.11363636 9.88636364],0
a1,1,0.217539,1.520531,[ 1 28] ; [ 2 13],[ 1.97727273 27.02272727] ; [ 1.02272727 13.97727273],0
u3,1,0.221099,1.497222,[ 1 17] ; [1 3],[ 1.63636364 16.36363636] ; [0.36363636 3.63636364],0
a7,1,0.241126,1.373999,[12 17] ; [9 6],[13.84090909 15.15909091] ; [7.15909091 7.84090909],0
s3,1,0.241567,1.371429,[ 6 22] ; [ 1 13],[ 4.66666667 23.33333333] ; [ 2.33333333 11.66666667],0
n2,1,0.251268,1.316239,[7 7] ; [6 2],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
d3,1,0.306891,1.044007,[ 9 20] ; [7 8],[10.54545455 18.45454545] ; [5.45454545 9.54545455],0
p8,1,0.307375,1.041923,[ 7 21] ; [6 9],[ 8.46511628 19.53488372] ; [ 4.53488372 10.46511628],0
d5,1,0.340023,0.910345,[13 16] ; [9 6],[14.5 14.5] ; [7.5 7.5],0
b4,1,0.342863,0.899698,[15 14] ; [10  5],[16.47727273 12.52272727] ; [8.52272727 6.47727273],0
p7,1,0.431413,0.619017,[10 19] ; [7 8],[11.20454545 17.79545455] ; [5.79545455 9.20454545],0
n5,1,0.431413,0.619017,[19 10] ; [8 7],[17.79545455 11.20454545] ; [9.20454545 5.79545455],0
d2,1,0.435959,0.606897,[ 9 20] ; [ 3 12],[ 7.90909091 21.09090909] ; [ 4.09090909 10.90909091],0
n4,1,0.460492,0.544699,[15 14] ; [6 9],[13.84090909 15.15909091] ; [7.15909091 7.84090909],0
v4,1,0.460492,0.544699,[14 15] ; [9 6],[15.15909091 13.84090909] ; [7.84090909 7.15909091],0
