Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,23.587324,[25 13] ; [ 6 38],[14.36585366 23.63414634] ; [16.63414634 27.36585366],1
p6,1,8.4e-05,15.468331,[17 21] ; [ 3 40],[ 9.38271605 28.61728395] ; [10.61728395 32.38271605],1
p7,1,0.000918,10.985419,[20 17] ; [ 8 35],[12.95 24.05] ; [15.05 27.95],1
p2,1,0.00425,8.173778,[33  5] ; [25 18],[27.20987654 10.79012346] ; [30.79012346 12.20987654],0
p8,1,0.008182,6.993224,[19 19] ; [10 35],[13.27710843 24.72289157] ; [15.72289157 29.27710843],0
s8,1,0.021427,5.291738,[14 23] ; [ 7 38],[ 9.47560976 27.52439024] ; [11.52439024 33.47560976],0
a5,1,0.024999,5.023944,[27 11] ; [21 24],[21.97590361 16.02409639] ; [26.02409639 18.97590361],0
p9,1,0.027219,4.876869,[29  8] ; [23 19],[24.35443038 12.64556962] ; [27.64556962 14.35443038],0
b4,1,0.028565,4.79361,[19 19] ; [33 12],[23.80722892 14.19277108] ; [28.19277108 16.80722892],0
b1,1,0.041831,4.142024,[22 16] ; [16 29],[17.39759036 20.60240964] ; [20.60240964 24.39759036],0
s2,1,0.045949,3.98345,[16 19] ; [11 34],[11.8125 23.1875] ; [15.1875 29.8125],0
n2,1,0.064008,3.43036,[11  2] ; [13 11],[8.43243243 4.56756757] ; [15.56756757  8.43243243],0
s7,1,0.082774,3.009576,[16 18] ; [12 31],[12.36363636 21.63636364] ; [15.63636364 27.36363636],0
a4,1,0.099059,2.72063,[17 21] ; [12 32],[13.43902439 24.56097561] ; [15.56097561 28.43902439],0
p10,1,0.148032,2.092412,[25 11] ; [23 20],[21.87341772 14.12658228] ; [26.12658228 16.87341772],0
p11,1,0.188947,1.72581,[28 10] ; [27 18],[25.18072289 12.81927711] ; [29.81927711 15.18072289],0
d3,1,0.192568,1.697861,[24 14] ; [22 23],[21.06024096 16.93975904] ; [24.93975904 20.06024096],0
p5,1,0.207857,1.586291,[ 6 32] ; [ 3 40],[ 4.22222222 33.77777778] ; [ 4.77777778 38.22222222],0
a1,1,0.232598,1.424902,[ 1 37] ; [ 4 41],[ 2.28915663 35.71084337] ; [ 2.71084337 42.28915663],0
r2,1,0.254327,1.299375,[18 17] ; [27 15],[20.45454545 14.54545455] ; [24.54545455 17.45454545],0
d5,1,0.266781,1.233225,[28 10] ; [28 17],[25.63855422 12.36144578] ; [30.36144578 14.63855422],0
n1,1,0.301468,1.067688,[6 7] ; [ 7 17],[4.56756757 8.43243243] ; [ 8.43243243 15.56756757],0
b5,1,0.378039,0.77707,[20 18] ; [28 17],[21.97590361 16.02409639] ; [26.02409639 18.97590361],0
d1,1,0.378039,0.77707,[18 20] ; [17 28],[16.02409639 21.97590361] ; [18.97590361 26.02409639],0
s1,1,0.392463,0.731296,[ 1 37] ; [ 3 42],[ 1.8313253 36.1686747] ; [ 2.1686747 42.8313253],0
v3,1,0.417581,0.657112,[ 8 29] ; [13 31],[ 9.59259259 27.40740741] ; [11.40740741 32.59259259],0
v1,1,0.422729,0.642716,[14 23] ; [12 29],[12.33333333 24.66666667] ; [13.66666667 27.33333333],0
p12,1,0.471982,0.517332,[ 2 36] ; [ 1 43],[ 1.3902439 36.6097561] ; [ 1.6097561 42.3902439],0
s4,1,0.479548,0.499892,[ 8 29] ; [ 7 38],[ 6.76829268 30.23170732] ; [ 8.23170732 36.76829268],0
