Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,9e-06,19.77139,[15 19] ; [67 12],[24.67256637  9.32743363] ; [57.32743363 21.67256637],1
n6,1,1.4e-05,18.805714,[12 21] ; [63 17],[21.90265487 11.09734513] ; [53.09734513 26.90265487],1
p11,1,9.6e-05,15.219327,[ 9 25] ; [53 27],[18.49122807 15.50877193] ; [43.50877193 36.49122807],1
n2,1,0.000149,14.382551,[ 4 11] ; [23  4],[9.64285714 5.35714286] ; [17.35714286  9.64285714],1
p9,1,0.000801,11.239609,[13 18] ; [59 19],[20.47706422 10.52293578] ; [51.52293578 26.47706422],1
p10,1,0.003445,8.555556,[11 22] ; [49 28],[18. 15.] ; [42. 35.],0
p2,1,0.005924,7.57327,[13 21] ; [51 26],[19.6036036 14.3963964] ; [44.3963964 32.6036036],0
n3,1,0.006285,7.466667,[6 9] ; [22  5],[10.  5.] ; [18.  9.],0
a7,1,0.012851,6.189528,[12 22] ; [48 31],[18.05309735 15.94690265] ; [41.94690265 37.05309735],0
a1,1,0.01301,6.1678,[ 5 29] ; [ 2 78],[ 2.0877193 31.9122807] ; [ 4.9122807 75.0877193],0
b5,1,0.055134,3.678031,[16 18] ; [53 27],[20.57894737 13.42105263] ; [48.42105263 31.57894737],0
v2,1,0.055477,3.667687,[ 5 28] ; [26 53],[ 9.13392857 23.86607143] ; [21.86607143 57.13392857],0
d4,1,0.069712,3.289777,[15 19] ; [50 30],[19.38596491 14.61403509] ; [45.61403509 34.38596491],0
b1,1,0.085242,2.962007,[20 14] ; [33 47],[15.80701754 18.19298246] ; [37.19298246 42.80701754],0
a8,1,0.129045,2.303961,[ 1 33] ; [ 9 66],[ 3.11926606 30.88073394] ; [ 6.88073394 68.11926606],0
s8,1,0.134096,2.244439,[ 2 32] ; [13 67],[ 4.47368421 29.52631579] ; [10.52631579 69.47368421],0
n5,1,0.1345,2.239785,[25  9] ; [47 33],[21.47368421 12.52631579] ; [50.52631579 29.47368421],0
d5,1,0.153493,2.037192,[18 16] ; [53 26],[21.36283186 12.63716814] ; [49.63716814 29.36283186],0
r2,1,0.16892,1.892498,[21 11] ; [61 17],[23.85454545  8.14545455] ; [58.14545455 19.85454545],0
