Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.012969,6.173341,[ 6 10] ; [8 1],[8.96 7.04] ; [5.04 3.96],0
p3,1,0.013616,6.087273,[24 16] ; [ 6 16],[19.35483871 20.64516129] ; [10.64516129 11.35483871],0
b5,1,0.017988,5.597297,[27 13] ; [ 8 14],[22.58064516 17.41935484] ; [12.41935484  9.58064516],0
p7,1,0.024627,5.049932,[32  8] ; [11 10],[28.19672131 11.80327869] ; [14.80327869  6.19672131],0
b1,1,0.10215,2.671648,[15 25] ; [13  9],[18.06451613 21.93548387] ; [ 9.93548387 12.06451613],0
p6,1,0.12031,2.413278,[19 21] ; [ 6 16],[16.12903226 23.87096774] ; [ 8.87096774 13.12903226],0
p2,1,0.145156,2.122427,[35  5] ; [16  6],[32.90322581  7.09677419] ; [18.09677419  3.90322581],0
p8,1,0.152931,2.042773,[29 11] ; [12 10],[26.4516129 13.5483871] ; [14.5483871  7.4516129],0
n5,1,0.158867,1.98498,[32  8] ; [14  8],[29.67741935 10.32258065] ; [16.32258065  5.67741935],0
v2,1,0.171916,1.866152,[16 21] ; [13  8],[18.5 18.5] ; [10.5 10.5],0
s2,1,0.175876,1.832127,[27 13] ; [11 11],[24.51612903 15.48387097] ; [13.48387097  8.51612903],0
a4,1,0.186043,1.748679,[ 9 31] ; [ 2 20],[ 7.09677419 32.90322581] ; [ 3.90322581 18.09677419],0
v3,1,0.196412,1.668857,[11 27] ; [10 12],[13.3 24.7] ; [ 7.7 14.3],0
b4,1,0.211024,1.564384,[23 17] ; [ 9 13],[20.64516129 19.35483871] ; [11.35483871 10.64516129],0
r1,1,0.22659,1.462139,[27 13] ; [18  4],[29.03225806 10.96774194] ; [15.96774194  6.03225806],0
a7,1,0.339905,0.910791,[25 15] ; [11 11],[23.22580645 16.77419355] ; [12.77419355  9.22580645],0
p12,1,0.368468,0.808824,[ 7 33] ; [ 2 20],[ 5.80645161 34.19354839] ; [ 3.19354839 18.80645161],0
d3,1,0.39745,0.716027,[19 21] ; [ 8 14],[17.41935484 22.58064516] ; [ 9.58064516 12.41935484],0
n1,1,0.428537,0.626786,[3 5] ; [3 2],[3.69230769 4.30769231] ; [2.30769231 2.69230769],0
s4,1,0.446032,0.580716,[ 6 34] ; [ 5 17],[ 7.09677419 32.90322581] ; [ 3.90322581 18.09677419],0
d4,1,0.471764,0.517841,[22 18] ; [10 12],[20.64516129 19.35483871] ; [11.35483871 10.64516129],0
n4,1,0.533439,0.387835,[26 14] ; [16  6],[27.09677419 12.90322581] ; [14.90322581  7.09677419],0
d2,1,0.539089,0.377231,[12 28] ; [ 5 17],[10.96774194 29.03225806] ; [ 6.03225806 15.96774194],0
n6,1,0.543409,0.369259,[35  5] ; [18  4],[34.19354839  5.80645161] ; [18.80645161  3.19354839],0
v1,1,0.583378,0.300806,[22 18] ; [10 11],[20.98360656 19.01639344] ; [11.01639344  9.98360656],0
s5,1,0.612668,0.256307,[12 26] ; [ 8 13],[12.88135593 25.11864407] ; [ 7.11864407 13.88135593],0
u1,1,0.650484,0.20529,[ 3 37] ; [ 1 21],[ 2.58064516 37.41935484] ; [ 1.41935484 20.58064516],0
p9,1,0.665097,0.187391,[36  4] ; [19  3],[35.48387097  4.51612903] ; [19.51612903  2.48387097],0
a6,1,0.677084,0.173427,[24 16] ; [12 10],[23.22580645 16.77419355] ; [12.77419355  9.22580645],0
a8,1,0.685213,0.164316,[ 7 31] ; [ 3 18],[ 6.44067797 31.55932203] ; [ 3.55932203 17.44067797],0
p11,1,0.692282,0.156626,[33  7] ; [19  3],[33.5483871  6.4516129] ; [18.4516129  3.5483871],0
s3,1,0.82092,0.05124,[28 12] ; [16  6],[28.38709677 11.61290323] ; [15.61290323  6.38709677],0
r3,1,0.825777,0.048453,[37  3] ; [20  2],[36.77419355  3.22580645] ; [20.22580645  1.77419355],0
u2,1,0.834969,0.043403,[10  6] ; [6 3],[10.24  5.76] ; [5.76 3.24],0
p1,1,0.862353,0.030061,[ 8 32] ; [ 4 18],[ 7.74193548 32.25806452] ; [ 4.25806452 17.74193548],0
s7,1,0.879398,0.023023,[30  8] ; [17  5],[29.76666667  8.23333333] ; [17.23333333  4.76666667],0
r4,1,0.884048,0.021269,[34  6] ; [19  3],[34.19354839  5.80645161] ; [18.80645161  3.19354839],0
p10,1,0.884048,0.021269,[34  6] ; [19  3],[34.19354839  5.80645161] ; [18.80645161  3.19354839],0
a5,1,0.903324,0.014753,[23 17] ; [13  9],[23.22580645 16.77419355] ; [12.77419355  9.22580645],0
b2,1,0.906523,0.013789,[13 14] ; [8 8],[13.18604651 13.81395349] ; [7.81395349 8.18604651],0
b3,1,0.906523,0.013789,[13 14] ; [8 8],[13.18604651 13.81395349] ; [7.81395349 8.18604651],0
v4,1,0.919496,0.010215,[37  2] ; [21  1],[37.08196721  1.91803279] ; [20.91803279  1.08196721],0
r2,1,0.927776,0.008216,[34  5] ; [19  3],[33.8852459  5.1147541] ; [19.1147541  2.8852459],0
s1,1,0.936393,0.006369,[ 2 38] ; [ 1 21],[ 1.93548387 38.06451613] ; [ 1.06451613 20.93548387],0
a3,1,0.944338,0.004875,[24 16] ; [13  9],[23.87096774 16.12903226] ; [13.12903226  8.87096774],0
s6,1,0.984687,0.000368,[29 11] ; [16  6],[29.03225806 10.96774194] ; [15.96774194  6.03225806],0
