Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,0.000717,11.445503,[ 7 17] ; [29 11],[13.5 10.5] ; [22.5 17.5],1
d4,1,0.002869,8.888889,[13 11] ; [35  5],[18.  6.] ; [30. 10.],0
s3,1,0.003659,8.445748,[ 6 18] ; [25 15],[11.625 12.375] ; [19.375 20.625],0
s2,1,0.005486,7.711698,[ 7 17] ; [26 14],[12.375 11.625] ; [20.625 19.375],0
d1,1,0.009823,6.666667,[ 7 17] ; [25 15],[12. 12.] ; [20. 20.],0
s5,1,0.011531,6.38153,[ 4 18] ; [19 18],[ 8.57627119 13.42372881] ; [14.42372881 22.57627119],0
p11,1,0.020596,5.360684,[16  8] ; [36  4],[19.5  4.5] ; [32.5  7.5],0
b2,1,0.025963,4.958493,[9 4] ; [ 9 19],[5.70731707 7.29268293] ; [12.29268293 15.70731707],0
b3,1,0.025963,4.958493,[9 4] ; [ 9 19],[5.70731707 7.29268293] ; [12.29268293 15.70731707],0
v2,1,0.031497,4.625661,[ 8 15] ; [24 14],[12.06557377 10.93442623] ; [19.93442623 18.06557377],0
s8,1,0.038867,4.266667,[ 8 16] ; [24 16],[12. 12.] ; [20. 20.],0
v1,1,0.03962,4.234088,[ 6 18] ; [20 19],[ 9.9047619 14.0952381] ; [16.0952381 22.9047619],0
s7,1,0.044987,4.019139,[ 8 14] ; [24 14],[11.73333333 10.26666667] ; [20.26666667 17.73333333],0
v3,1,0.055355,3.671362,[ 5 19] ; [17 21],[ 8.51612903 15.48387097] ; [13.48387097 24.51612903],0
p3,1,0.068504,3.318519,[10 14] ; [26 14],[13.5 10.5] ; [22.5 17.5],0
p10,1,0.083397,2.99743,[15  9] ; [32  7],[17.9047619  6.0952381] ; [29.0952381  9.9047619],0
n6,1,0.085872,2.950095,[16  8] ; [34  6],[18.75  5.25] ; [31.25  8.75],0
p9,1,0.098169,2.735043,[17  7] ; [35  5],[19.5  4.5] ; [32.5  7.5],0
p2,1,0.098169,2.735043,[22  2] ; [30 10],[19.5  4.5] ; [32.5  7.5],0
p4,1,0.104214,2.639844,[14 10] ; [31  9],[16.875  7.125] ; [28.125 11.875],0
p5,1,0.11842,2.438095,[ 1 23] ; [ 7 33],[ 3. 21.] ; [ 5. 35.],0
r3,1,0.11842,2.438095,[19  5] ; [37  3],[21.  3.] ; [35.  5.],0
d5,1,0.120991,2.404443,[15  8] ; [33  7],[17.52380952  5.47619048] ; [30.47619048  9.52380952],0
p8,1,0.132812,2.259326,[11 13] ; [26 14],[13.875 10.125] ; [23.125 16.875],0
d3,1,0.175876,1.832127,[11 11] ; [27 13],[13.48387097  8.51612903] ; [24.51612903 15.48387097],0
b5,1,0.208795,1.579761,[17  7] ; [22 18],[14.625  9.375] ; [24.375 15.625],0
d2,1,0.208795,1.579761,[ 7 17] ; [18 22],[ 9.375 14.625] ; [15.625 24.375],0
r4,1,0.242583,1.365522,[14 10] ; [29 11],[16.125  7.875] ; [26.875 13.125],0
p7,1,0.265732,1.238648,[14  9] ; [29 10],[15.9516129  7.0483871] ; [27.0483871 11.9516129],0
v4,1,0.268176,1.226054,[23  1] ; [35  5],[21.75  2.25] ; [36.25  3.75],0
u1,1,0.279088,1.171525,[ 3 21] ; [ 2 38],[ 1.875 22.125] ; [ 3.125 36.875],0
a2,1,0.279088,1.171525,[ 3 21] ; [ 2 38],[ 1.875 22.125] ; [ 3.125 36.875],0
a8,1,0.283006,1.152599,[ 3 20] ; [ 2 36],[ 1.8852459 21.1147541] ; [ 3.1147541 34.8852459],0
b4,1,0.286122,1.137778,[13 11] ; [27 13],[15.  9.] ; [25. 15.],0
n1,1,0.338352,0.916667,[4 2] ; [7 9],[3. 3.] ; [8. 8.],0
a4,1,0.341431,0.905051,[10 14] ; [12 28],[ 8.25 15.75] ; [13.75 26.25],0
a7,1,0.342404,0.901411,[16  7] ; [23 17],[14.23809524  8.76190476] ; [24.76190476 15.23809524],0
r2,1,0.418205,0.655353,[19  4] ; [35  4],[20.03225806  2.96774194] ; [33.96774194  5.03225806],0
a3,1,0.511083,0.431849,[13 11] ; [25 15],[14.25  9.75] ; [23.75 16.25],0
n4,1,0.536149,0.382724,[15  9] ; [28 12],[16.125  7.875] ; [26.875 13.125],0
u3,1,0.561471,0.337163,[5 6] ; [8 6],[5.72 5.28] ; [7.28 6.72],0
b1,1,0.697974,0.150588,[12 12] ; [18 22],[11.25 12.75] ; [18.75 21.25],0
p1,1,0.78061,0.077576,[ 3 21] ; [ 6 34],[ 3.375 20.625] ; [ 5.625 34.375],0
s4,1,0.819202,0.052245,[ 6 18] ; [ 9 31],[ 5.625 18.375] ; [ 9.375 30.625],0
a6,1,0.842689,0.039385,[15  9] ; [24 16],[14.625  9.375] ; [24.375 15.625],0
u2,1,0.872518,0.025748,[7 4] ; [10  5],[7.19230769 3.80769231] ; [9.80769231 5.19230769],0
n2,1,0.897785,0.016502,[5 2] ; [11  5],[4.86956522 2.13043478] ; [11.13043478  4.86956522],0
s1,1,0.906838,0.013696,[ 1 22] ; [ 2 38],[ 1.0952381 21.9047619] ; [ 1.9047619 38.0952381],0
n5,1,0.934614,0.006731,[17  7] ; [28 11],[17.14285714  6.85714286] ; [27.85714286 11.14285714],0
