Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,1e-06,24.51126,[15 19] ; [76 11],[25.57024793  8.42975207] ; [65.42975207 21.57024793],1
a4,1,3e-06,21.949254,[ 5 29] ; [54 33],[16.5785124 17.4214876] ; [42.4214876 44.5785124],1
d2,1,9.3e-05,15.272184,[13 21] ; [66 21],[22.19834711 11.80165289] ; [56.80165289 30.19834711],1
n4,1,0.000151,14.354551,[19 15] ; [76 11],[26.69421488  7.30578512] ; [68.30578512 18.69421488],1
p11,1,0.000849,11.132005,[15 19] ; [66 21],[22.76033058 11.23966942] ; [58.23966942 28.76033058],1
d1,1,0.001394,10.214345,[15 19] ; [65 22],[22.47933884 11.52066116] ; [57.52066116 29.47933884],0
r2,1,0.00243,9.192886,[28  6] ; [84  2],[31.73333333  2.26666667] ; [80.26666667  5.73333333],0
u1,1,0.003577,8.486864,[ 2 32] ; [27 60],[ 8.14876033 25.85123967] ; [20.85123967 66.14876033],0
n5,1,0.004013,8.278084,[19 15] ; [70 16],[25.21666667  8.78333333] ; [63.78333333 22.21666667],0
a6,1,0.017799,5.615812,[16 18] ; [61 26],[21.63636364 12.36363636] ; [55.36363636 31.63636364],0
d5,1,0.025054,5.020122,[25  9] ; [78  9],[28.94214876  5.05785124] ; [74.05785124 12.94214876],0
p2,1,0.031882,4.604805,[28  6] ; [54 33],[23.04132231 10.95867769] ; [58.95867769 28.04132231],0
v2,1,0.072992,3.21442,[12 18] ; [49 34],[16.19469027 13.80530973] ; [44.80530973 38.19469027],0
n6,1,0.094485,2.796259,[26  8] ; [77 10],[28.94214876  5.05785124] ; [74.05785124 12.94214876],0
s7,1,0.097524,2.745582,[18 12] ; [63 20],[21.50442478  8.49557522] ; [59.49557522 23.50442478],0
v4,1,0.105055,2.627083,[31  3] ; [85  2],[32.59504132  1.40495868] ; [83.40495868  3.59504132],0
p6,1,0.108181,2.5806,[ 5 29] ; [25 62],[ 8.42975207 25.57024793] ; [21.57024793 65.42975207],0
p1,1,0.125288,2.34994,[ 6 28] ; [ 7 80],[ 3.65289256 30.34710744] ; [ 9.34710744 77.65289256],0
d4,1,0.139045,2.188493,[26  8] ; [76 11],[28.66115702  5.33884298] ; [73.33884298 13.66115702],0
v1,1,0.16518,1.92615,[13 20] ; [43 37],[16.3539823 16.6460177] ; [39.6460177 40.3539823],0
p9,1,0.2224,1.488816,[25  7] ; [75 11],[27.11864407  4.88135593] ; [72.88135593 13.11864407],0
v3,1,0.246741,1.34166,[10 19] ; [38 43],[12.65454545 16.34545455] ; [35.34545455 45.65454545],0
p3,1,0.285983,1.138437,[12 22] ; [40 47],[14.61157025 19.38842975] ; [37.38842975 49.61157025],0
a7,1,0.29276,1.106884,[26  8] ; [58 29],[23.60330579 10.39669421] ; [60.39669421 26.60330579],0
n2,1,0.314188,1.012987,[6 5] ; [20  8],[7.33333333 3.66666667] ; [18.66666667  9.33333333],0
n3,1,0.351055,0.86964,[6 5] ; [19  8],[7.23684211 3.76315789] ; [17.76315789  9.23684211],0
r3,1,0.382027,0.764169,[30  4] ; [81  6],[31.19008264  2.80991736] ; [79.80991736  7.19008264],0
u3,1,0.396898,0.717703,[15  4] ; [10  1],[15.83333333  3.16666667] ; [9.16666667 1.83333333],0
p4,1,0.421588,0.645884,[16 18] ; [48 39],[17.98347107 16.01652893] ; [46.01652893 40.98347107],0
s4,1,0.468586,0.525308,[ 7 27] ; [13 73],[ 5.66666667 28.33333333] ; [14.33333333 71.66666667],0
p12,1,0.486772,0.483654,[ 3 30] ; [12 75],[ 4.125 28.875] ; [10.875 76.125],0
a8,1,0.492986,0.470002,[ 4 25] ; [ 7 69],[ 3.03809524 25.96190476] ; [ 7.96190476 68.03809524],0
p10,1,0.493509,0.468867,[23  9] ; [67 19],[24.40677966  7.59322034] ; [65.59322034 20.40677966],0
b1,1,0.531799,0.390954,[15 19] ; [33 54],[13.48760331 20.51239669] ; [34.51239669 52.48760331],0
s1,1,0.554266,0.349729,[ 2 32] ; [ 3 83],[ 1.41666667 32.58333333] ; [ 3.58333333 82.41666667],0
