Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,50.301196,[ 6 84] ; [43 32],[26.72727273 63.27272727] ; [22.27272727 52.72727273],1
s3,1,0.0,29.596185,[20 70] ; [47 26],[36.99386503 53.00613497] ; [30.00613497 42.99386503],1
s7,1,0.0,25.389762,[ 7 76] ; [32 42],[20.61783439 62.38216561] ; [18.38216561 55.61783439],1
s5,1,2.1e-05,18.075206,[ 7 83] ; [26 50],[17.89156627 72.10843373] ; [15.10843373 60.89156627],1
s8,1,2.8e-05,17.543132,[ 6 85] ; [24 52],[16.34730539 74.65269461] ; [13.65269461 62.34730539],1
s4,1,0.00078,11.287231,[ 6 85] ; [19 56],[13.70481928 77.29518072] ; [11.29518072 63.70481928],1
p4,1,0.000972,10.880495,[19 72] ; [34 42],[28.88023952 62.11976048] ; [24.11976048 51.88023952],1
r3,1,0.004142,8.220586,[62 27] ; [67  9],[69.58181818 19.41818182] ; [59.41818182 16.58181818],0
v4,1,0.004142,8.220586,[62 27] ; [67  9],[69.58181818 19.41818182] ; [59.41818182 16.58181818],0
r4,1,0.004391,8.114753,[53 38] ; [60 16],[61.5748503 29.4251497] ; [51.4251497 24.5748503],0
v2,1,0.005008,7.876398,[24 64] ; [36 38],[32.59259259 55.40740741] ; [27.40740741 46.59259259],0
v3,1,0.005534,7.696064,[16 70] ; [28 45],[23.79874214 62.20125786] ; [20.20125786 52.79874214],0
u3,1,0.007838,7.070099,[13 25] ; [20 10],[18.44117647 19.55882353] ; [14.55882353 15.44117647],0
p3,1,0.008268,6.974529,[16 75] ; [27 49],[23.43113772 67.56886228] ; [19.56886228 56.43113772],0
a7,1,0.008281,6.971733,[44 45] ; [53 23],[52.32121212 36.67878788] ; [44.67878788 31.32121212],0
d5,1,0.011742,6.349478,[55 36] ; [59 16],[62.4939759 28.5060241] ; [51.5060241 23.4939759],0
b5,1,0.011964,6.316249,[46 45] ; [53 23],[53.94610778 37.05389222] ; [45.05389222 30.94610778],0
n6,1,0.013297,6.129108,[46 43] ; [53 22],[53.72560976 35.27439024] ; [45.27439024 29.72560976],0
r1,1,0.015112,5.903312,[52 37] ; [58 18],[59.33333333 29.66666667] ; [50.66666667 25.33333333],0
v1,1,0.026161,4.945375,[25 64] ; [34 42],[31.82424242 57.17575758] ; [27.17575758 48.82424242],0
p8,1,0.032068,4.594859,[13 77] ; [21 54],[18.54545455 71.45454545] ; [15.45454545 59.54545455],0
u1,1,0.040953,4.177947,[ 8 83] ; [15 61],[12.53293413 78.46706587] ; [10.46706587 65.53293413],0
