Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.004763,7.967324,[ 5 29] ; [8 7],[ 9.02040816 24.97959184] ; [ 3.97959184 11.02040816],0
n4,1,0.006826,7.31824,[25 10] ; [ 5 11],[20.58823529 14.41176471] ; [9.41176471 6.58823529],0
p11,1,0.03423,4.483198,[26  9] ; [7 9],[22.64705882 12.35294118] ; [10.35294118  5.64705882],0
a3,1,0.04297,4.096599,[18 17] ; [13  3],[21.2745098 13.7254902] ; [9.7254902 6.2745098],0
d2,1,0.057826,3.59867,[10 25] ; [9 7],[13.03921569 21.96078431] ; [ 5.96078431 10.03921569],0
s7,1,0.077815,3.109966,[ 7 28] ; [7 9],[ 9.60784314 25.39215686] ; [ 4.39215686 11.60784314],0
p2,1,0.077815,3.109966,[28  7] ; [9 7],[25.39215686  9.60784314] ; [11.60784314  4.39215686],0
b4,1,0.112498,2.518776,[18 17] ; [12  4],[20.58823529 14.41176471] ; [9.41176471 6.58823529],0
p9,1,0.128655,2.308661,[27  8] ; [9 7],[24.70588235 10.29411765] ; [11.29411765  4.70588235],0
p4,1,0.135244,2.23125,[21 14] ; [ 6 10],[18.52941176 16.47058824] ; [8.47058824 7.52941176],0
p8,1,0.151127,2.060836,[18 16] ; [ 5 11],[15.64 18.36] ; [7.36 8.64],0
d1,1,0.201111,1.63429,[13 22] ; [9 7],[15.09803922 19.90196078] ; [6.90196078 9.09803922],0
r4,1,0.209304,1.576236,[25 10] ; [14  2],[26.76470588  8.23529412] ; [12.23529412  3.76470588],0
v1,1,0.220997,1.497885,[15 20] ; [ 4 12],[13.03921569 21.96078431] ; [ 5.96078431 10.03921569],0
n6,1,0.255723,1.291765,[29  6] ; [11  5],[27.45098039  7.54901961] ; [12.54901961  3.45098039],0
b5,1,0.265855,1.238011,[16 19] ; [10  6],[17.84313725 17.15686275] ; [8.15686275 7.84313725],0
u2,1,0.306488,1.045752,[ 6 11] ; [2 1],[ 6.8 10.2] ; [1.2 1.8],0
d3,1,0.346488,0.886276,[24 11] ; [13  3],[25.39215686  9.60784314] ; [11.60784314  4.39215686],0
b1,1,0.392899,0.729951,[11 24] ; [7 9],[12.35294118 22.64705882] ; [ 5.64705882 10.35294118],0
v4,1,0.42345,0.640721,[31  4] ; [12  3],[30.1  4.9] ; [12.9  2.1],0
d4,1,0.455199,0.557674,[25 10] ; [13  3],[26.07843137  8.92156863] ; [11.92156863  4.07843137],0
s5,1,0.466348,0.530615,[ 9 24] ; [ 6 10],[10.10204082 22.89795918] ; [ 4.89795918 11.10204082],0
p10,1,0.523373,0.40724,[27  8] ; [11  5],[26.07843137  8.92156863] ; [11.92156863  4.07843137],0
p12,1,0.562451,0.335477,[ 1 34] ; [ 1 15],[ 1.37254902 33.62745098] ; [ 0.62745098 15.37254902],0
s6,1,0.565544,0.330196,[22 12] ; [9 7],[21.08 12.92] ; [9.92 6.08],0
v2,1,0.582601,0.302049,[16 19] ; [ 6 10],[15.09803922 19.90196078] ; [6.90196078 9.09803922],0
s8,1,0.586412,0.295982,[ 9 26] ; [ 3 13],[ 8.23529412 26.76470588] ; [ 3.76470588 12.23529412],0
n2,1,0.633553,0.227273,[7 2] ; [4 2],[6.6 2.4] ; [4.4 1.6],0
n3,1,0.633553,0.227273,[7 2] ; [4 2],[6.6 2.4] ; [4.4 1.6],0
d5,1,0.640131,0.218571,[24 11] ; [12  4],[24.70588235 10.29411765] ; [11.29411765  4.70588235],0
p1,1,0.66155,0.191646,[ 3 32] ; [ 2 14],[ 3.43137255 31.56862745] ; [ 1.56862745 14.43137255],0
n1,1,0.666955,0.185185,[4 5] ; [2 4],[3.6 5.4] ; [2.4 3.6],0
r3,1,0.672263,0.178966,[29  6] ; [14  2],[29.50980392  5.49019608] ; [13.49019608  2.50980392],0
s3,1,0.681041,0.168957,[ 9 26] ; [ 5 11],[ 9.60784314 25.39215686] ; [ 4.39215686 11.60784314],0
a5,1,0.682824,0.166964,[22 13] ; [11  5],[22.64705882 12.35294118] ; [10.35294118  5.64705882],0
a7,1,0.718326,0.130102,[20 15] ; [10  6],[20.58823529 14.41176471] ; [9.41176471 6.58823529],0
b3,1,0.749518,0.101936,[ 4 13] ; [ 4 10],[ 4.38709677 12.61290323] ; [ 3.61290323 10.38709677],0
b2,1,0.749518,0.101936,[ 4 13] ; [ 4 10],[ 4.38709677 12.61290323] ; [ 3.61290323 10.38709677],0
a2,1,0.774783,0.081867,[ 3 32] ; [ 1 15],[ 2.74509804 32.25490196] ; [ 1.25490196 14.74509804],0
a6,1,0.776011,0.080952,[16 19] ; [8 8],[16.47058824 18.52941176] ; [7.52941176 8.47058824],0
r1,1,0.831022,0.045536,[23 12] ; [11  5],[23.33333333 11.66666667] ; [10.66666667  5.33333333],0
p6,1,0.831022,0.045536,[12 23] ; [ 5 11],[11.66666667 23.33333333] ; [ 5.33333333 10.66666667],0
p3,1,0.924558,0.008967,[17 18] ; [8 8],[17.15686275 17.84313725] ; [7.84313725 8.15686275],0
u1,1,0.939861,0.005692,[ 2 33] ; [ 1 15],[ 2.05882353 32.94117647] ; [ 0.94117647 15.05882353],0
p5,1,0.939861,0.005692,[ 2 33] ; [ 1 15],[ 2.05882353 32.94117647] ; [ 0.94117647 15.05882353],0
a4,1,0.956687,0.00295,[ 9 26] ; [ 4 12],[ 8.92156863 26.07843137] ; [ 4.07843137 11.92156863],0
p7,1,0.980472,0.000599,[22 13] ; [10  6],[21.96078431 13.03921569] ; [10.03921569  5.96078431],0
