Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,31.645107,[21 36] ; [77 17],[36.99337748 20.00662252] ; [61.00662252 32.99337748],1
a4,1,1e-06,24.2713,[ 6 51] ; [47 47],[20.00662252 36.99337748] ; [32.99337748 61.00662252],1
d2,1,5.3e-05,16.328838,[10 47] ; [47 46],[21.66 35.34] ; [35.34 57.66],1
s4,1,0.000636,11.667986,[17 40] ; [ 8 86],[ 9.43708609 47.56291391] ; [15.56291391 78.43708609],1
n4,1,0.00177,9.773948,[19 38] ; [56 38],[28.31125828 28.68874172] ; [46.68874172 47.31125828],0
d1,1,0.00457,8.042025,[18 39] ; [52 42],[26.42384106 30.57615894] ; [43.57615894 50.42384106],0
r4,1,0.004975,7.888396,[39 18] ; [82 12],[45.67549669 11.32450331] ; [75.32450331 18.67549669],0
v3,1,0.005608,7.67203,[ 8 46] ; [31 54],[15.15107914 38.84892086] ; [23.84892086 61.15107914],0
p6,1,0.012549,6.231587,[19 35] ; [15 74],[12.83916084 41.16083916] ; [21.16083916 67.83916084],0
r3,1,0.013293,6.129686,[46 10] ; [89  5],[50.4  5.6] ; [84.6  9.4],0
d5,1,0.023391,5.139251,[38 19] ; [77 16],[43.7 13.3] ; [71.3 21.7],0
v2,1,0.026421,4.928226,[19 34] ; [48 39],[25.36428571 27.63571429] ; [41.63571429 45.36428571],0
p3,1,0.030689,4.67027,[15 42] ; [40 51],[21.18243243 35.81756757] ; [33.81756757 57.18243243],0
r1,1,0.031519,4.624491,[37 20] ; [75 18],[42.56 14.44] ; [69.44 23.56],0
r2,1,0.032667,4.563135,[47 10] ; [87  6],[50.92  6.08] ; [83.08  9.92],0
a6,1,0.037791,4.314391,[33 24] ; [69 24],[38.76 18.24] ; [63.24 29.76],0
a7,1,0.048463,3.893857,[33 24] ; [69 25],[38.50331126 18.49668874] ; [63.49668874 30.50331126],0
b2,1,0.077173,3.123452,[ 4 25] ; [17 37],[ 7.3373494 21.6626506] ; [13.6626506 40.3373494],0
b3,1,0.077173,3.123452,[ 4 25] ; [17 37],[ 7.3373494 21.6626506] ; [13.6626506 40.3373494],0
u1,1,0.081865,3.027477,[ 2 55] ; [11 83],[ 4.90728477 52.09271523] ; [ 8.09271523 85.90728477],0
p4,1,0.11662,2.462137,[20 36] ; [45 47],[24.59459459 31.40540541] ; [40.40540541 51.59459459],0
a8,1,0.198145,1.655993,[ 3 53] ; [10 75],[ 5.16312057 50.83687943] ; [ 7.83687943 77.16312057],0
d4,1,0.215907,1.531371,[41 16] ; [75 18],[44.08 12.92] ; [71.92 21.08],0
d3,1,0.22,1.50437,[33 23] ; [64 29],[36.45637584 19.54362416] ; [60.54362416 32.45637584],0
u3,1,0.227491,1.456481,[26 10] ; [14  2],[27.69230769  8.30769231] ; [12.30769231  3.69230769],0
s8,1,0.305244,1.051144,[16 41] ; [34 60],[18.87417219 38.12582781] ; [31.12582781 62.87417219],0
p11,1,0.389769,0.739663,[33 24] ; [61 33],[35.48344371 21.51655629] ; [58.51655629 35.48344371],0
v1,1,0.464345,0.535402,[23 33] ; [43 48],[25.14285714 30.85714286] ; [40.85714286 50.14285714],0
p10,1,0.469973,0.522039,[33 22] ; [60 31],[35.03424658 19.96575342] ; [57.96575342 33.03424658],0
b5,1,0.513286,0.427361,[37 20] ; [56 38],[35.10596026 21.89403974] ; [57.89403974 36.10596026],0
b4,1,0.51715,0.419573,[34 23] ; [51 43],[32.08609272 24.91390728] ; [52.91390728 41.08609272],0
s3,1,0.548051,0.36082,[32 25] ; [47 45],[30.22147651 26.77852349] ; [48.77852349 43.22147651],0
p5,1,0.579717,0.306692,[ 2 55] ; [ 5 86],[ 2.69594595 54.30405405] ; [ 4.30405405 86.69594595],0
s1,1,0.620273,0.245484,[ 2 53] ; [ 5 87],[ 2.61904762 52.38095238] ; [ 4.38095238 87.61904762],0
b1,1,0.627682,0.235218,[28 29] ; [50 44],[29.44370861 27.55629139] ; [48.55629139 45.44370861],0
s7,1,0.667176,0.184923,[17 36] ; [31 56],[18.17142857 34.82857143] ; [29.82857143 57.17142857],0
s6,1,0.674497,0.176387,[29 27] ; [52 42],[30.24 25.76] ; [50.76 43.24],0
p8,1,0.703505,0.144851,[21 35] ; [37 54],[22.0952381 33.9047619] ; [35.9047619 55.0952381],0
p7,1,0.77895,0.078786,[29 23] ; [48 42],[28.1971831 23.8028169] ; [48.8028169 41.1971831],0
n1,1,0.792816,0.068988,[ 8 13] ; [10 19],[ 7.56 13.44] ; [10.44 18.56],0
s5,1,0.802197,0.062753,[12 42] ; [18 70],[11.4084507 42.5915493] ; [18.5915493 69.4084507],0
a1,1,0.81991,0.051829,[ 2 55] ; [ 4 90],[ 2.26490066 54.73509934] ; [ 3.73509934 90.26490066],0
n2,1,0.825435,0.048647,[15  6] ; [23  8],[15.34615385  5.65384615] ; [22.65384615  8.34615385],0
p9,1,0.841468,0.040007,[38 17] ; [65 27],[38.53741497 16.46258503] ; [64.46258503 27.53741497],0
p1,1,0.892713,0.018191,[ 4 53] ; [ 6 87],[ 3.8 53.2] ; [ 6.2 86.8],0
p2,1,0.908543,0.013197,[42 15] ; [67 25],[41.69798658 15.30201342] ; [67.30201342 24.69798658],0
s2,1,0.913333,0.011845,[24 33] ; [40 53],[24.32 32.68] ; [39.68 53.32],0
n3,1,0.938958,0.005864,[15  6] ; [21  8],[15.12  5.88] ; [20.88  8.12],0
u2,1,0.956956,0.002913,[27  8] ; [13  4],[26.92307692  8.07692308] ; [13.07692308  3.92307692],0
n5,1,0.985363,0.000337,[24 32] ; [40 53],[24.05369128 31.94630872] ; [39.94630872 53.05369128],0
