Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.016861,5.710803,[ 4 10] ; [34 19],[7.94029851 6.05970149] ; [30.05970149 22.94029851],0
p2,1,0.024399,5.066031,[9 5] ; [17 37],[5.35294118 8.64705882] ; [20.64705882 33.35294118],0
d3,1,0.026568,4.91866,[11  3] ; [24 29],[7.31343284 6.68656716] ; [27.68656716 25.31343284],0
s6,1,0.035197,4.43558,[6 8] ; [ 9 45],[ 3.08823529 10.91176471] ; [11.91176471 42.08823529],0
p4,1,0.038847,4.267551,[6 8] ; [ 9 44],[ 3.13432836 10.86567164] ; [11.86567164 41.13432836],0
v1,1,0.043392,4.080075,[7 7] ; [12 41],[ 3.97014925 10.02985075] ; [15.02985075 37.97014925],0
d4,1,0.050288,3.83183,[12  2] ; [31 23],[8.85294118 5.14705882] ; [34.14705882 19.85294118],0
s2,1,0.055728,3.660155,[6 8] ; [10 44],[ 3.29411765 10.70588235] ; [12.70588235 41.29411765],0
p7,1,0.140194,2.175824,[6 8] ; [12 40],[ 3.81818182 10.18181818] ; [14.18181818 37.81818182],0
s5,1,0.176819,1.824158,[ 3 10] ; [ 5 48],[ 1.57575758 11.42424242] ; [ 6.42424242 46.57575758],0
d1,1,0.196329,1.669473,[7 7] ; [17 37],[4.94117647 9.05882353] ; [19.05882353 34.94117647],0
n6,1,0.209342,1.575973,[8 6] ; [20 32],[5.93939394 8.06060606] ; [22.06060606 29.93939394],0
n4,1,0.211601,1.560441,[10  4] ; [28 25],[7.94029851 6.05970149] ; [30.05970149 22.94029851],0
p6,1,0.218327,1.515336,[ 3 11] ; [ 5 48],[ 1.67164179 12.32835821] ; [ 6.32835821 46.67164179],0
s3,1,0.231804,1.429759,[6 8] ; [14 39],[4.17910448 9.82089552] ; [15.82089552 37.17910448],0
b2,1,0.232576,1.42504,[1 4] ; [16 17],[2.23684211 2.76315789] ; [14.76315789 18.23684211],0
b3,1,0.232576,1.42504,[1 4] ; [16 17],[2.23684211 2.76315789] ; [14.76315789 18.23684211],0
n2,1,0.237867,1.393189,[3 1] ; [14 18],[1.88888889 2.11111111] ; [15.11111111 16.88888889],0
r3,1,0.269793,1.217799,[7 7] ; [18 35],[5.2238806 8.7761194] ; [19.7761194 33.2238806],0
v2,1,0.276438,1.184518,[5 9] ; [11 40],[ 3.44615385 10.55384615] ; [12.55384615 38.44615385],0
r1,1,0.306836,1.044247,[ 3 11] ; [19 34],[4.59701493 9.40298507] ; [17.40298507 35.59701493],0
b5,1,0.339925,0.910714,[9 5] ; [27 27],[7.41176471 6.58823529] ; [28.58823529 25.41176471],0
p8,1,0.3582,0.844193,[ 1 13] ; [ 9 44],[ 2.08955224 11.91044776] ; [ 7.91044776 45.08955224],0
n1,1,0.37055,0.801818,[2 2] ; [ 9 23],[1.22222222 2.77777778] ; [ 9.77777778 22.22222222],0
a5,1,0.396283,0.719577,[8 6] ; [24 30],[6.58823529 7.41176471] ; [25.41176471 28.58823529],0
v3,1,0.427041,0.630859,[ 4 10] ; [10 43],[ 2.92537313 11.07462687] ; [11.07462687 41.92537313],0
b4,1,0.469293,0.52364,[8 6] ; [25 29],[6.79411765 7.20588235] ; [26.20588235 27.79411765],0
b1,1,0.475547,0.509059,[10  4] ; [33 21],[8.85294118 5.14705882] ; [34.14705882 19.85294118],0
d5,1,0.477326,0.504966,[9 5] ; [29 25],[7.82352941 6.17647059] ; [30.17647059 23.82352941],0
a7,1,0.506786,0.440698,[8 6] ; [25 28],[6.89552239 7.10447761] ; [26.10447761 26.89552239],0
p9,1,0.509172,0.435769,[6 8] ; [17 34],[4.95384615 9.04615385] ; [18.04615385 32.95384615],0
a2,1,0.546963,0.362787,[ 1 13] ; [ 7 47],[ 1.64705882 12.35294118] ; [ 6.35294118 47.64705882],0
a8,1,0.622901,0.241811,[ 1 13] ; [ 2 48],[ 0.65625 13.34375] ; [ 2.34375 47.65625],0
s1,1,0.64944,0.206607,[ 1 13] ; [ 6 47],[ 1.46268657 12.53731343] ; [ 5.53731343 47.46268657],0
r2,1,0.6721,0.179156,[9 5] ; [29 21],[8.3125 5.6875] ; [29.6875 20.3125],0
u3,1,0.699638,0.148849,[1 5] ; [ 6 19],[1.35483871 4.64516129] ; [ 5.64516129 19.35483871],0
p10,1,0.702452,0.145934,[ 4 10] ; [18 35],[4.59701493 9.40298507] ; [17.40298507 35.59701493],0
a6,1,0.723752,0.124927,[6 8] ; [26 28],[6.58823529 7.41176471] ; [25.41176471 28.58823529],0
d2,1,0.789543,0.071238,[5 9] ; [21 32],[5.43283582 8.56716418] ; [20.56716418 32.43283582],0
a4,1,0.801525,0.063189,[ 4 10] ; [17 36],[4.3880597 9.6119403] ; [16.6119403 36.3880597],0
s8,1,0.803519,0.061899,[ 1 13] ; [ 5 49],[ 1.23529412 12.76470588] ; [ 4.76470588 49.23529412],0
v4,1,0.871032,0.026357,[8 6] ; [29 24],[7.73134328 6.26865672] ; [29.26865672 23.73134328],0
s7,1,0.91354,0.011788,[2 9] ; [10 41],[2.12903226 8.87096774] ; [ 9.87096774 41.12903226],0
a3,1,0.926762,0.008449,[8 6] ; [29 23],[7.84848485 6.15151515] ; [29.15151515 22.84848485],0
s4,1,0.960272,0.002481,[ 2 12] ; [ 8 46],[ 2.05882353 11.94117647] ; [ 7.94117647 46.05882353],0
p1,1,0.97304,0.001142,[ 1 13] ; [ 4 50],[ 1.02941176 12.97058824] ; [ 3.97058824 50.02941176],0
