Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5.7e-05,16.200978,[23 32] ; [14 90],[12.79874214 42.20125786] ; [24.20125786 79.79874214],1
v2,1,6.7e-05,15.884116,[30 25] ; [24 80],[18.67924528 36.32075472] ; [35.32075472 68.67924528],1
p4,1,0.002136,9.428657,[30 24] ; [32 73],[21.05660377 32.94339623] ; [40.94339623 64.05660377],0
s6,1,0.002881,8.881463,[29 23] ; [33 73],[20.40506329 31.59493671] ; [41.59493671 64.40506329],0
p3,1,0.005973,7.558501,[25 28] ; [27 79],[17.33333333 35.66666667] ; [34.66666667 71.33333333],0
p10,1,0.019546,5.452004,[39 15] ; [54 48],[32.19230769 21.80769231] ; [60.80769231 41.19230769],0
p9,1,0.031508,4.625083,[44 11] ; [64 37],[38.07692308 16.92307692] ; [69.92307692 31.07692308],0
s2,1,0.032431,4.575556,[20 35] ; [22 84],[14.34782609 40.65217391] ; [27.65217391 78.34782609],0
p5,1,0.033039,4.543759,[ 8 47] ; [ 5 99],[ 4.49685535 50.50314465] ; [ 8.50314465 95.49685535],0
s3,1,0.044535,4.036156,[23 32] ; [27 76],[17.40506329 37.59493671] ; [32.59493671 70.40506329],0
p8,1,0.054938,3.683977,[24 30] ; [30 73],[18.57324841 35.42675159] ; [35.42675159 67.57324841],0
p2,1,0.055568,3.664963,[40 14] ; [61 43],[34.51898734 19.48101266] ; [66.48101266 37.51898734],0
v4,1,0.062484,3.470204,[47  8] ; [76 29],[42.28125 12.71875] ; [80.71875 24.28125],0
p11,1,0.077916,3.107855,[38 17] ; [58 48],[32.79503106 22.20496894] ; [63.20496894 42.79503106],0
p12,1,0.082203,3.020804,[ 4 50] ; [  2 104],[ 2.025 51.975] ; [  3.975 102.025],0
d4,1,0.095658,2.776486,[40 15] ; [63 43],[35.1863354 19.8136646] ; [67.8136646 38.1863354],0
p7,1,0.119334,2.426044,[29 26] ; [41 62],[24.36708861 30.63291139] ; [45.63291139 57.36708861],0
s7,1,0.135011,2.233916,[12 39] ; [14 87],[ 8.72368421 42.27631579] ; [17.27631579 83.72368421],0
n5,1,0.138037,2.199705,[40 15] ; [64 41],[35.75 19.25] ; [68.25 36.75],0
a3,1,0.153581,2.036314,[34 21] ; [53 53],[29.72049689 25.27950311] ; [57.27950311 48.72049689],0
d2,1,0.159366,1.980235,[16 39] ; [42 62],[20.06289308 34.93710692] ; [37.93710692 66.06289308],0
a7,1,0.172852,1.858036,[35 20] ; [55 50],[30.9375 24.0625] ; [59.0625 45.9375],0
a8,1,0.192097,1.70146,[ 2 50] ; [10 92],[ 4.05194805 47.94805195] ; [ 7.94805195 94.05194805],0
n4,1,0.230464,1.437993,[37 18] ; [61 45],[33.47826087 21.52173913] ; [64.52173913 41.47826087],0
n1,1,0.246926,1.340612,[7 9] ; [12 31],[ 5.15254237 10.84745763] ; [13.84745763 29.15254237],0
u3,1,0.248683,1.330687,[ 9 12] ; [15 37],[ 6.90410959 14.09589041] ; [17.09589041 34.90410959],0
s5,1,0.251829,1.31313,[13 41] ; [17 86],[10.31847134 43.68152866] ; [19.68152866 83.31847134],0
u2,1,0.342186,0.902223,[10 10] ; [20 33],[ 8.21917808 11.78082192] ; [21.78082192 31.21917808],0
a5,1,0.369839,0.804205,[29 26] ; [48 58],[26.30434783 28.69565217] ; [50.69565217 55.30434783],0
r4,1,0.374709,0.787987,[30 25] ; [50 56],[27.32919255 27.67080745] ; [52.67080745 53.32919255],0
s4,1,0.409612,0.679927,[ 8 47] ; [21 85],[ 9.9068323 45.0931677] ; [19.0931677 86.9068323],0
d3,1,0.451264,0.567474,[32 23] ; [54 50],[29.74842767 25.25157233] ; [56.25157233 47.74842767],0
n2,1,0.470093,0.521756,[12  4] ; [28 15],[10.84745763  5.15254237] ; [29.15254237 13.84745763],0
a6,1,0.491228,0.473836,[28 27] ; [60 46],[30.0621118 24.9378882] ; [57.9378882 48.0621118],0
b1,1,0.491228,0.473836,[27 28] ; [46 60],[24.9378882 30.0621118] ; [48.0621118 57.9378882],0
d5,1,0.504103,0.446288,[38 17] ; [67 38],[36.09375 18.90625] ; [68.90625 36.09375],0
d1,1,0.584688,0.298717,[20 35] ; [34 72],[18.44720497 36.55279503] ; [35.55279503 70.44720497],0
b4,1,0.597713,0.278459,[33 22] ; [59 47],[31.42857143 23.57142857] ; [60.57142857 45.42857143],0
a1,1,0.644398,0.213036,[ 4 51] ; [10 96],[ 4.7826087 50.2173913] ; [ 9.2173913 96.7826087],0
u1,1,0.749827,0.101676,[ 2 53] ; [  5 101],[ 2.39130435 52.60869565] ; [  4.60869565 101.39130435],0
n6,1,0.765085,0.089288,[40 15] ; [74 31],[39.1875 15.8125] ; [74.8125 30.1875],0
p1,1,0.775206,0.081551,[ 4 51] ; [ 9 96],[ 4.46875 50.53125] ; [ 8.53125 96.46875],0
s1,1,0.779739,0.078209,[ 2 53] ; [  3 103],[ 1.70807453 53.29192547] ; [  3.29192547 102.70807453],0
b5,1,0.787718,0.072509,[32 23] ; [64 42],[32.79503106 22.20496894] ; [63.20496894 42.79503106],0
r2,1,0.814614,0.05498,[41 14] ; [75 28],[40.37974684 14.62025316] ; [75.62025316 27.37974684],0
r3,1,0.846916,0.03727,[41 13] ; [79 27],[40.5 13.5] ; [79.5 26.5],0
b2,1,0.856727,0.032596,[10 18] ; [23 38],[10.38202247 17.61797753] ; [22.61797753 38.38202247],0
b3,1,0.856727,0.032596,[10 18] ; [23 38],[10.38202247 17.61797753] ; [22.61797753 38.38202247],0
a2,1,0.897982,0.016438,[ 5 50] ; [ 9 97],[ 4.7826087 50.2173913] ; [ 9.2173913 96.7826087],0
p6,1,0.930226,0.007667,[11 42] ; [22 81],[11.21153846 41.78846154] ; [21.78846154 81.21153846],0
a4,1,0.955004,0.003184,[17 38] ; [32 73],[16.84375 38.15625] ; [32.15625 72.84375],0
n3,1,0.983622,0.000421,[10  6] ; [27 16],[10.03389831  5.96610169] ; [26.96610169 16.03389831],0
