Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,49.023795,[82 45] ; [ 2 44],[61.66473988 65.33526012] ; [22.33526012 23.66473988],1
d4,1,0.0,33.554797,[116  11] ; [24 22],[102.77456647  24.22543353] ; [37.22543353  8.77456647],1
d3,1,1e-06,23.216935,[101  26] ; [19 27],[88.09248555 38.90751445] ; [31.90751445 14.09248555],1
d2,1,7e-06,20.076009,[58 69] ; [ 4 42],[45.51445087 81.48554913] ; [16.48554913 29.51445087],1
a5,1,0.000247,13.432869,[91 36] ; [19 27],[80.75144509 46.24855491] ; [29.24855491 16.75144509],1
a4,1,0.001612,9.945936,[52 75] ; [ 7 39],[43.31213873 83.68786127] ; [15.68786127 30.31213873],0
a7,1,0.008378,6.950832,[100  27] ; [27 19],[93.23121387 33.76878613] ; [33.76878613 12.23121387],0
p10,1,0.009304,6.763468,[96 29] ; [26 20],[89.18128655 35.81871345] ; [32.81871345 13.18128655],0
a3,1,0.009536,6.719646,[88 39] ; [22 24],[80.75144509 46.24855491] ; [29.24855491 16.75144509],0
v2,1,0.012869,6.187033,[70 53] ; [15 28],[62.98192771 60.01807229] ; [22.01807229 20.98192771],0
r2,1,0.04553,3.998909,[116   7] ; [39  7],[112.81065089  10.18934911] ; [42.18934911  3.81065089],0
s7,1,0.048682,3.886295,[49 76] ; [10 34],[43.63905325 81.36094675] ; [15.36094675 28.63905325],0
a2,1,0.058967,3.566195,[ 19 108] ; [ 2 44],[ 15.41618497 111.58381503] ; [ 5.58381503 40.41618497],0
r3,1,0.061784,3.488847,[124   3] ; [42  4],[121.86127168   5.13872832] ; [44.13872832  1.86127168],0
p8,1,0.076293,3.142152,[63 63] ; [16 30],[57.87209302 68.12790698] ; [21.12790698 24.87209302],0
u3,1,0.081004,3.044649,[28 11] ; [12 12],[24.76190476 14.23809524] ; [15.23809524  8.76190476],0
a6,1,0.093746,2.808845,[84 43] ; [24 22],[79.28323699 47.71676301] ; [28.71676301 17.28323699],0
p2,1,0.10128,2.685265,[106  19] ; [34 12],[102.33918129  22.66081871] ; [37.66081871  8.33918129],0
p4,1,0.144541,2.128933,[60 67] ; [16 30],[55.79190751 71.20809249] ; [20.20809249 25.79190751],0
v1,1,0.149154,2.080878,[53 69] ; [14 31],[48.94610778 73.05389222] ; [18.05389222 26.94610778],0
n3,1,0.153039,2.041697,[25 10] ; [11  1],[26.80851064  8.19148936] ; [9.19148936 2.80851064],0
r4,1,0.192373,1.699352,[112  15] ; [37  9],[109.38150289  17.61849711] ; [39.61849711  6.38150289],0
p9,1,0.193057,1.694131,[102  24] ; [33 13],[98.89534884 27.10465116] ; [36.10465116  9.89534884],0
a1,1,0.213053,1.550557,[  5 122] ; [ 4 42],[  6.60693642 120.39306358] ; [ 2.39306358 43.60693642],0
s6,1,0.304976,1.052308,[70 56] ; [21 24],[67.05263158 58.94736842] ; [23.94736842 21.05263158],0
p3,1,0.320006,0.988921,[52 75] ; [15 31],[49.1849711 77.8150289] ; [17.8150289 28.1849711],0
a8,1,0.320777,0.985775,[ 10 106] ; [ 6 37],[ 11.67295597 104.32704403] ; [ 4.32704403 38.67295597],0
s2,1,0.324669,0.970046,[50 77] ; [14 31],[47.25581395 79.74418605] ; [16.74418605 28.25581395],0
b1,1,0.326571,0.962446,[37 90] ; [17 29],[39.6416185 87.3583815] ; [14.3583815 31.6416185],0
n4,1,0.343348,0.89789,[60 67] ; [18 28],[57.26011561 69.73988439] ; [20.73988439 25.26011561],0
