Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,43.607203,[ 6 26] ; [118  32],[21.8021978 10.1978022] ; [102.1978022  47.8021978],1
v4,1,1e-06,24.004274,[17 15] ; [132  16],[26.48888889  5.51111111] ; [122.51111111  25.48888889],1
r1,1,3.8e-05,16.956812,[ 9 23] ; [101  49],[19.34065934 12.65934066] ; [90.65934066 59.34065934],1
p11,1,0.000412,12.47562,[14 18] ; [113  37],[22.32967033  9.67032967] ; [104.67032967  45.32967033],1
d5,1,0.000674,11.558786,[11 21] ; [100  50],[19.51648352 12.48351648] ; [91.48351648 58.51648352],1
r3,1,0.001734,9.811788,[20 12] ; [129  21],[26.1978022  5.8021978] ; [122.8021978  27.1978022],0
b1,1,0.004187,8.201049,[23  9] ; [66 84],[15.64835165 16.35164835] ; [73.35164835 76.64835165],0
a5,1,0.005595,7.676246,[12 20] ; [96 54],[18.98901099 13.01098901] ; [89.01098901 60.98901099],0
a3,1,0.014984,5.918365,[14 18] ; [100  50],[20.04395604 11.95604396] ; [93.95604396 56.04395604],0
d1,1,0.023211,5.152625,[ 6 26] ; [60 90],[11.6043956 20.3956044] ; [54.3956044 95.6043956],0
v1,1,0.027469,4.861104,[ 8 24] ; [68 79],[13.58659218 18.41340782] ; [62.41340782 84.58659218],0
a4,1,0.028509,4.797042,[ 6 26] ; [58 90],[11.37777778 20.62222222] ; [52.62222222 95.37777778],0
s1,1,0.031808,4.608819,[ 4 28] ; [  5 143],[ 1.6 30.4] ; [  7.4 140.6],0
d2,1,0.043965,4.057911,[ 8 24] ; [66 83],[13.08287293 18.91712707] ; [60.91712707 88.08287293],0
p6,1,0.04629,3.971027,[ 3 28] ; [ 38 106],[ 7.26285714 23.73714286] ; [ 33.73714286 110.26285714],0
u3,1,0.053784,3.719394,[ 3 15] ; [21 29],[ 6.35294118 11.64705882] ; [17.64705882 32.35294118],0
p10,1,0.065243,3.398817,[15 16] ; [97 50],[19.50561798 11.49438202] ; [92.49438202 54.50561798],0
s7,1,0.070208,3.27814,[ 7 21] ; [62 81],[11.29824561 16.70175439] ; [57.70175439 85.29824561],0
v2,1,0.072594,3.223372,[ 8 23] ; [61 80],[12.43604651 18.56395349] ; [56.56395349 84.43604651],0
p9,1,0.089484,2.883637,[17 13] ; [107  41],[20.8988764  9.1011236] ; [103.1011236  44.8988764],0
v3,1,0.101798,2.677149,[ 7 25] ; [53 90],[10.97142857 21.02857143] ; [49.02857143 93.97142857],0
n3,1,0.142954,2.14587,[8 8] ; [33 14],[10.41269841  5.58730159] ; [30.58730159 16.41269841],0
s8,1,0.163524,1.941333,[ 8 24] ; [57 93],[11.42857143 20.57142857] ; [53.57142857 96.42857143],0
d4,1,0.177481,1.818592,[17 15] ; [98 51],[20.33149171 11.66850829] ; [94.66850829 54.33149171],0
s3,1,0.181378,1.786299,[11 20] ; [72 76],[14.37430168 16.62569832] ; [68.62569832 79.37430168],0
