Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s1,1,7.8e-05,15.594104,[2 1] ; [ 2 47],[0.23076923 2.76923077] ; [ 3.76923077 45.23076923],1
u1,1,0.06067,3.51897,[2 1] ; [10 40],[0.67924528 2.32075472] ; [11.32075472 38.67924528],0
r3,1,0.081719,3.030374,[2 1] ; [47  3],[2.77358491 0.22641509] ; [46.22641509  3.77358491],0
s5,1,0.171672,1.868283,[2 1] ; [13 32],[0.9375 2.0625] ; [14.0625 30.9375],0
b5,1,0.186322,1.74646,[1 2] ; [35 15],[2.03773585 0.96226415] ; [33.96226415 16.03773585],0
d4,1,0.363599,0.825426,[2 1] ; [43  7],[2.54716981 0.45283019] ; [42.45283019  7.54716981],0
s8,1,0.402437,0.701034,[1 2] ; [29 21],[1.69811321 1.30188679] ; [28.30188679 21.69811321],0
a4,1,0.402437,0.701034,[1 2] ; [29 21],[1.69811321 1.30188679] ; [28.30188679 21.69811321],0
d5,1,0.437373,0.603165,[2 1] ; [42  8],[2.49056604 0.50943396] ; [41.50943396  8.49056604],0
a2,1,0.5097,0.434682,[1 2] ; [ 9 41],[0.56603774 2.43396226] ; [ 9.43396226 40.56603774],0
p3,1,0.529888,0.394606,[2 1] ; [24 26],[1.47169811 1.52830189] ; [24.52830189 25.47169811],0
v1,1,0.623463,0.24103,[2 1] ; [25 23],[1.58823529 1.41176471] ; [25.41176471 22.58823529],0
p2,1,0.648697,0.207547,[2 1] ; [39 11],[2.32075472 0.67924528] ; [38.67924528 11.32075472],0
b4,1,0.767307,0.087556,[2 1] ; [29 21],[1.75471698 1.24528302] ; [29.24528302 20.75471698],0
s7,1,0.776011,0.080952,[2 1] ; [28 20],[1.76470588 1.23529412] ; [28.23529412 19.76470588],0
s2,1,0.79763,0.065749,[2 1] ; [29 20],[1.78846154 1.21153846] ; [29.21153846 19.78846154],0
d2,1,0.818634,0.052579,[2 1] ; [30 20],[1.81132075 1.18867925] ; [30.18867925 19.81132075],0
d3,1,0.902778,0.014921,[2 1] ; [35 15],[2.09433962 0.90566038] ; [34.90566038 15.09433962],0
d1,1,0.902778,0.014921,[2 1] ; [35 15],[2.09433962 0.90566038] ; [34.90566038 15.09433962],0
p10,1,0.961672,0.002309,[2 1] ; [34 16],[2.03773585 0.96226415] ; [33.96226415 16.03773585],0
p11,1,0.961672,0.002309,[2 1] ; [34 16],[2.03773585 0.96226415] ; [33.96226415 16.03773585],0
p4,1,0.981106,0.000561,[2 1] ; [33 17],[1.98113208 1.01886792] ; [33.01886792 16.98113208],0
a6,1,0.981106,0.000561,[2 1] ; [33 17],[1.98113208 1.01886792] ; [33.01886792 16.98113208],0
b1,1,0.981106,0.000561,[1 2] ; [17 33],[1.01886792 1.98113208] ; [16.98113208 33.01886792],0
v3,1,1.0,0.0,[1 2] ; [16 32],[1. 2.] ; [16. 32.],0
