Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,7e-06,20.153434,[122  38] ; [35 40],[106.89361702  53.10638298] ; [50.10638298 24.89361702],1
p7,1,2.4e-05,17.830614,[79 79] ; [16 60],[64.14529915 93.85470085] ; [30.85470085 45.14529915],1
p10,1,0.000366,12.698443,[109  49] ; [34 42],[96.55555556 61.44444444] ; [46.44444444 29.55555556],1
p4,1,0.000815,11.207389,[64 96] ; [14 63],[ 52.65822785 107.34177215] ; [25.34177215 51.65822785],1
r3,1,0.00222,9.357955,[143  15] ; [59 19],[135.23728814  22.76271186] ; [66.76271186 11.23728814],0
v4,1,0.002879,8.882307,[143  14] ; [60 18],[135.6212766  21.3787234] ; [67.3787234 10.6212766],0
a7,1,0.00359,8.480464,[101  58] ; [34 44],[90.56962025 68.43037975] ; [44.43037975 33.56962025],0
p6,1,0.007821,7.073985,[ 37 122] ; [ 7 71],[ 29.51898734 129.48101266] ; [14.48101266 63.51898734],0
d3,1,0.008185,6.992624,[70 88] ; [21 58],[60.66666667 97.33333333] ; [30.33333333 48.66666667],0
d5,1,0.008688,6.885901,[97 62] ; [34 45],[87.51680672 71.48319328] ; [43.48319328 35.51680672],0
p11,1,0.011532,6.38149,[108  52] ; [40 39],[99.07949791 60.92050209] ; [48.92050209 30.07949791],0
b1,1,0.021268,5.304696,[ 60 100] ; [42 37],[68.28451883 91.71548117] ; [33.71548117 45.28451883],0
a1,1,0.021931,5.251288,[  6 154] ; [ 9 70],[ 10.041841 149.958159] ; [ 4.958159 74.041841],0
a6,1,0.027766,4.842515,[95 65] ; [35 44],[87.0292887 72.9707113] ; [42.9707113 36.0292887],0
r4,1,0.028507,4.797164,[128  32] ; [53 26],[121.17154812  38.82845188] ; [59.82845188 19.17154812],0
p3,1,0.03102,4.651833,[ 54 106] ; [16 63],[ 46.86192469 113.13807531] ; [23.13807531 55.86192469],0
n6,1,0.035365,4.427472,[120  38] ; [49 29],[113.1440678  44.8559322] ; [55.8559322 22.1440678],0
s3,1,0.040189,4.209894,[82 76] ; [29 48],[74.62978723 83.37021277] ; [36.37021277 40.62978723],0
p1,1,0.049819,3.847534,[  6 153] ; [ 8 71],[  9.35294118 149.64705882] ; [ 4.64705882 74.35294118],0
v2,1,0.050272,3.832374,[68 86] ; [23 52],[61.19650655 92.80349345] ; [29.80349345 45.19650655],0
s7,1,0.052196,3.769468,[56 96] ; [18 57],[ 49.55066079 102.44933921] ; [24.44933921 50.55066079],0
s1,1,0.055868,3.655998,[  5 151] ; [ 7 70],[  8.03433476 147.96566524] ; [ 3.96566524 73.03433476],0
r2,1,0.060538,3.522594,[140  18] ; [62 16],[135.23728814  22.76271186] ; [66.76271186 11.23728814],0
s6,1,0.065997,3.379882,[88 72] ; [33 45],[81.34453782 78.65546218] ; [39.65546218 38.34453782],0
v1,1,0.078061,3.104809,[74 80] ; [28 50],[67.70689655 86.29310345] ; [34.29310345 43.70689655],0
a3,1,0.088334,2.904482,[98 61] ; [39 39],[91.91139241 67.08860759] ; [45.08860759 32.91139241],0
d2,1,0.103266,2.654367,[ 25 135] ; [19 59],[ 29.57983193 130.42016807] ; [14.42016807 63.57983193],0
a5,1,0.119223,2.427504,[86 74] ; [34 45],[80.33472803 79.66527197] ; [39.66527197 39.33472803],0
b3,1,0.16839,1.897218,[28 63] ; [20 27],[31.65217391 59.34782609] ; [16.34782609 30.65217391],0
b2,1,0.16839,1.897218,[28 63] ; [20 27],[31.65217391 59.34782609] ; [16.34782609 30.65217391],0
