Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.025287,5.004115,[ 2 52] ; [1 2],[ 2.84210526 51.15789474] ; [0.15789474 2.84210526],0
p6,1,0.035094,4.440582,[ 9 44] ; [2 1],[10.41071429 42.58928571] ; [0.58928571 2.41071429],0
p3,1,0.066897,3.357568,[11 42] ; [2 1],[12.30357143 40.69642857] ; [0.69642857 2.30357143],0
a2,1,0.122334,2.387179,[ 4 50] ; [1 2],[ 4.73684211 49.26315789] ; [0.26315789 2.73684211],0
n5,1,0.208281,1.583333,[17 37] ; [2 1],[18. 36.] ; [1. 2.],0
p8,1,0.218299,1.515518,[17 36] ; [2 1],[17.98214286 35.01785714] ; [1.01785714 1.98214286],0
v2,1,0.218299,1.515518,[17 36] ; [2 1],[17.98214286 35.01785714] ; [1.01785714 1.98214286],0
d1,1,0.238999,1.386486,[18 36] ; [2 1],[18.94736842 35.05263158] ; [1.05263158 1.94736842],0
n1,1,0.288916,1.124665,[ 5 22] ; [1 1],[ 5.5862069 21.4137931] ; [0.4137931 1.5862069],0
p7,1,0.3543,0.857998,[21 32] ; [2 1],[21.76785714 31.23214286] ; [1.23214286 1.76785714],0
r3,1,0.376021,0.78367,[32 22] ; [1 2],[31.26315789 22.73684211] ; [1.73684211 1.26315789],0
b5,1,0.376021,0.78367,[32 22] ; [1 2],[31.26315789 22.73684211] ; [1.73684211 1.26315789],0
v3,1,0.391905,0.733025,[ 8 46] ; [1 2],[ 8.52631579 45.47368421] ; [0.47368421 2.52631579],0
a6,1,0.413415,0.668958,[23 31] ; [2 1],[23.68421053 30.31578947] ; [1.31578947 1.68421053],0
b4,1,0.45195,0.565757,[30 24] ; [1 2],[29.36842105 24.63157895] ; [1.63157895 1.36842105],0
a3,1,0.510878,0.432267,[28 25] ; [1 2],[27.44642857 25.55357143] ; [1.55357143 1.44642857],0
n6,1,0.532308,0.389984,[26 28] ; [2 1],[26.52631579 27.47368421] ; [1.47368421 1.52631579],0
s5,1,0.53954,0.376393,[10 43] ; [1 2],[10.41071429 42.58928571] ; [0.58928571 2.41071429],0
a4,1,0.655286,0.199301,[12 42] ; [1 2],[12.31578947 41.68421053] ; [0.68421053 2.31578947],0
s7,1,0.699502,0.14899,[12 39] ; [1 2],[12.27777778 38.72222222] ; [0.72222222 2.27777778],0
r2,1,0.731871,0.1174,[30 23] ; [2 1],[30.28571429 22.71428571] ; [1.71428571 1.28571429],0
d3,1,0.731871,0.1174,[30 23] ; [2 1],[30.28571429 22.71428571] ; [1.71428571 1.28571429],0
a7,1,0.75188,0.099958,[31 23] ; [2 1],[31.26315789 22.73684211] ; [1.73684211 1.26315789],0
a5,1,0.799078,0.064791,[22 32] ; [1 2],[21.78947368 32.21052632] ; [1.21052632 1.78947368],0
d4,1,0.834889,0.043445,[39 15] ; [2 1],[38.84210526 15.15789474] ; [2.15789474 0.84210526],0
r1,1,0.834889,0.043445,[15 39] ; [1 2],[15.15789474 38.84210526] ; [0.84210526 2.15789474],0
d2,1,0.89144,0.018627,[16 38] ; [1 2],[16.10526316 37.89473684] ; [0.89473684 2.10526316],0
s2,1,0.89144,0.018627,[16 38] ; [1 2],[16.10526316 37.89473684] ; [0.89473684 2.10526316],0
n3,1,0.916299,0.011045,[12 14] ; [1 1],[12.07142857 13.92857143] ; [0.92857143 1.07142857],0
s3,1,0.982142,0.000501,[18 35] ; [1 2],[17.98214286 35.01785714] ; [1.01785714 1.98214286],0
