Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000182,14.007572,[10 42] ; [17 11],[17.55 34.45] ; [ 9.45 18.55],1
p3,1,0.000282,13.186813,[12 40] ; [18 10],[19.5 32.5] ; [10.5 17.5],1
p4,1,0.000918,10.985419,[17 35] ; [20  8],[24.05 27.95] ; [12.95 15.05],1
p6,1,0.002639,9.041402,[ 7 44] ; [12 15],[12.42307692 38.57692308] ; [ 6.57692308 20.42307692],0
d1,1,0.005148,7.826649,[28 24] ; [ 6 22],[22.1 29.9] ; [11.9 16.1],0
p10,1,0.005318,7.768124,[25 26] ; [22  5],[30.73076923 20.26923077] ; [16.26923077 10.73076923],0
b4,1,0.007745,7.091575,[38 14] ; [12 16],[32.5 19.5] ; [17.5 10.5],0
p2,1,0.008911,6.840513,[32 20] ; [25  3],[37.05 14.95] ; [19.95  8.05],0
v1,1,0.025724,4.97449,[12 37] ; [13 13],[16.33333333 32.66666667] ; [ 8.66666667 17.33333333],0
s6,1,0.034342,4.477582,[17 35] ; [15 11],[21.33333333 30.66666667] ; [10.66666667 15.33333333],0
s4,1,0.082232,3.020233,[ 7 45] ; [ 8 19],[ 9.87341772 42.12658228] ; [ 5.12658228 21.87341772],0
s2,1,0.100762,2.693438,[14 37] ; [12 14],[17.22077922 33.77922078] ; [ 8.77922078 17.22077922],0
s8,1,0.129597,2.297325,[11 41] ; [10 17],[13.82278481 38.17721519] ; [ 7.17721519 19.82278481],0
p9,1,0.14307,2.144621,[28 20] ; [21  7],[30.94736842 17.05263158] ; [18.05263158  9.94736842],0
p5,1,0.169944,1.883437,[ 4 48] ; [ 5 23],[ 5.85 46.15] ; [ 3.15 24.85],0
d5,1,0.206201,1.597899,[37 15] ; [16 12],[34.45 17.55] ; [18.55  9.45],0
s3,1,0.223583,1.481226,[16 35] ; [11 13],[18.36 32.64] ; [ 8.64 15.36],0
p11,1,0.224554,1.475031,[32 20] ; [21  7],[34.45 17.55] ; [18.55  9.45],0
v3,1,0.237673,1.394345,[11 41] ; [ 9 18],[13.16455696 38.83544304] ; [ 6.83544304 20.16455696],0
d4,1,0.247799,1.335672,[39 12] ; [18 10],[36.79746835 14.20253165] ; [20.20253165  7.79746835],0
p12,1,0.249036,1.328702,[ 1 50] ; [ 2 26],[ 1.93670886 49.06329114] ; [ 1.06329114 26.93670886],0
s7,1,0.277655,1.178532,[16 32] ; [12 14],[18.16216216 29.83783784] ; [ 9.83783784 16.16216216],0
d2,1,0.304653,1.053715,[22 28] ; [ 9 19],[19.87179487 30.12820513] ; [11.12820513 16.87179487],0
a6,1,0.348443,0.879121,[24 28] ; [16 12],[26. 26.] ; [14. 14.],0
v2,1,0.404042,0.696265,[20 30] ; [13 13],[21.71052632 28.28947368] ; [11.28947368 14.71052632],0
u1,1,0.433765,0.612721,[ 6 46] ; [ 5 23],[ 7.15 44.85] ; [ 3.85 24.15],0
n2,1,0.453255,0.5625,[15  9] ; [9 3],[16.  8.] ; [8. 4.],0
a7,1,0.470893,0.519879,[23 28] ; [15 13],[24.53164557 26.46835443] ; [13.46835443 14.53164557],0
s1,1,0.518726,0.416426,[ 2 50] ; [ 2 26],[ 2.6 49.4] ; [ 1.4 26.6],0
a4,1,0.53272,0.389201,[20 31] ; [ 9 19],[18.72151899 32.27848101] ; [10.27848101 17.72151899],0
n4,1,0.55537,0.347784,[35 17] ; [17 11],[33.8 18.2] ; [18.2  9.8],0
u3,1,0.601508,0.272727,[ 8 14] ; [3 8],[ 7.33333333 14.66666667] ; [3.66666667 7.33333333],0
b1,1,0.621562,0.243678,[23 29] ; [14 14],[24.05 27.95] ; [12.95 15.05],0
n1,1,0.623627,0.240803,[ 8 16] ; [5 7],[ 8.66666667 15.33333333] ; [4.33333333 7.66666667],0
