Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,56.833333,[114   7] ; [16 24],[97.70186335 23.29813665] ; [32.29813665  7.70186335],1
p11,1,0.0,30.034246,[98 23] ; [14 26],[84.17391304 36.82608696] ; [27.82608696 12.17391304],1
n5,1,7e-06,20.120033,[97 23] ; [17 22],[86.03773585 33.96226415] ; [27.96226415 11.03773585],1
n6,1,4.2e-05,16.797127,[107  14] ; [23 16],[98.3125 22.6875] ; [31.6875  7.3125],1
d5,1,6.3e-05,16.00533,[112   9] ; [27 13],[104.46583851  16.53416149] ; [34.53416149  5.46583851],1
d1,1,0.000408,12.497459,[78 43] ; [13 27],[68.39130435 52.60869565] ; [22.60869565 17.39130435],1
a6,1,0.000468,12.239243,[93 28] ; [19 21],[84.17391304 36.82608696] ; [27.82608696 12.17391304],1
d3,1,0.000883,11.057849,[84 37] ; [16 24],[75.1552795 45.8447205] ; [24.8447205 15.1552795],1
s7,1,0.000959,10.905169,[70 45] ; [11 26],[61.28289474 53.71710526] ; [19.71710526 17.28289474],1
a5,1,0.001677,9.873675,[97 24] ; [22 18],[89.43478261 31.56521739] ; [29.56521739 10.43478261],0
a3,1,0.001858,9.685209,[99 22] ; [23 17],[91.68944099 29.31055901] ; [30.31055901  9.68944099],0
r2,1,0.002806,8.929758,[118   3] ; [34  6],[114.23602484   6.76397516] ; [37.76397516  2.23602484],0
u1,1,0.004404,8.109377,[36 85] ; [ 3 37],[29.31055901 91.68944099] ; [ 9.68944099 30.31055901],0
r4,1,0.005403,7.739296,[111  10] ; [30 10],[105.9689441  15.0310559] ; [35.0310559  4.9689441],0
v2,1,0.008761,6.870996,[71 45] ; [14 24],[64.02597403 51.97402597] ; [20.97402597 17.02597403],0
s8,1,0.011513,6.384415,[61 60] ; [11 29],[54.11180124 66.88819876] ; [17.88819876 22.11180124],0
a2,1,0.012013,6.308937,[40 81] ; [ 5 35],[33.81987578 87.18012422] ; [11.18012422 28.81987578],0
s6,1,0.022753,5.187228,[89 31] ; [22 18],[83.25 36.75] ; [27.75 12.25],0
b1,1,0.0252,5.010082,[57 64] ; [27 13],[63.13043478 57.86956522] ; [20.86956522 19.13043478],0
p4,1,0.027916,4.833261,[89 32] ; [22 18],[83.42236025 37.57763975] ; [27.57763975 12.42236025],0
d4,1,0.030064,4.705606,[101  20] ; [27 13],[96.19875776 24.80124224] ; [31.80124224  8.19875776],0
a7,1,0.032732,4.559733,[91 30] ; [23 17],[85.67701863 35.32298137] ; [28.32298137 11.67701863],0
v3,1,0.050186,3.835233,[52 63] ; [10 27],[46.90789474 68.09210526] ; [15.09210526 21.90789474],0
n4,1,0.053186,3.73808,[101  20] ; [27 12],[96.8 24.2] ; [31.2  7.8],0
d2,1,0.054759,3.689412,[69 51] ; [16 24],[63.75 56.25] ; [21.25 18.75],0
u2,1,0.070197,3.278398,[14  8] ; [ 5 10],[11.2972973 10.7027027] ; [7.7027027 7.2972973],0
p2,1,0.075831,3.152059,[98 23] ; [27 13],[93.94409938 27.05590062] ; [31.05590062  8.94409938],0
s1,1,0.096576,2.761197,[  4 115] ; [ 4 36],[  5.98742138 113.01257862] ; [ 2.01257862 37.98742138],0
