Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,8.4e-05,15.465546,[16 78] ; [13 10],[23.2991453 70.7008547] ; [ 5.7008547 17.2991453],1
s8,1,0.000876,11.072431,[13 90] ; [10 14],[18.65354331 84.34645669] ; [ 4.34645669 19.65354331],1
p11,1,0.005331,7.763749,[41 63] ; [17  7],[47.125 56.875] ; [10.875 13.125],0
s3,1,0.023259,5.149038,[34 68] ; [14 10],[38.85714286 63.14285714] ; [ 9.14285714 14.85714286],0
p7,1,0.031547,4.622973,[26 77] ; [11 12],[30.24603175 72.75396825] ; [ 6.75396825 16.24603175],0
s2,1,0.071693,3.243832,[24 78] ; [10 14],[27.52380952 74.47619048] ; [ 6.47619048 17.52380952],0
v2,1,0.085184,2.963107,[33 67] ; [12 11],[36.58536585 63.41463415] ; [ 8.41463415 14.58536585],0
s5,1,0.124001,2.366039,[16 86] ; [ 7 17],[18.61904762 83.38095238] ; [ 4.38095238 19.61904762],0
r3,1,0.148232,2.090349,[75 27] ; [21  3],[77.71428571 24.28571429] ; [18.28571429  5.71428571],0
p2,1,0.182039,1.780902,[45 59] ; [14 10],[47.9375 56.0625] ; [11.0625 12.9375],0
r2,1,0.190513,1.713647,[82 20] ; [22  2],[84.19047619 17.80952381] ; [19.80952381  4.19047619],0
a3,1,0.19258,1.697773,[58 45] ; [17  7],[60.82677165 42.17322835] ; [14.17322835  9.82677165],0
r1,1,0.244188,1.356254,[69 34] ; [19  5],[71.37007874 31.62992126] ; [16.62992126  7.37007874],0
d5,1,0.255225,1.294477,[70 34] ; [19  5],[72.3125 31.6875] ; [16.6875  7.3125],0
n2,1,0.275586,1.188731,[25 21] ; [6 2],[26.40740741 19.59259259] ; [4.59259259 3.40740741],0
n6,1,0.29269,1.107206,[61 42] ; [17  7],[63.25984252 39.74015748] ; [14.74015748  9.25984252],0
b4,1,0.308142,1.038624,[62 42] ; [17  7],[64.1875 39.8125] ; [14.8125  9.1875],0
v3,1,0.308828,1.035682,[27 73] ; [ 9 15],[29.03225806 70.96774194] ; [ 6.96774194 17.03225806],0
d2,1,0.308881,1.035453,[50 52] ; [ 9 15],[47.76190476 54.23809524] ; [11.23809524 12.76190476],0
n3,1,0.334998,0.929479,[25 19] ; [6 2],[26.23076923 17.76923077] ; [4.76923077 3.23076923],0
s4,1,0.351927,0.866498,[17 87] ; [ 2 21],[15.55905512 88.44094488] ; [ 3.44094488 19.55905512],0
