Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.000845,11.140403,[76 13] ; [3 5],[72.48453608 16.51546392] ; [6.51546392 1.48453608],1
v4,1,0.001934,9.611227,[87  2] ; [6 2],[85.32989691  3.67010309] ; [7.67010309 0.32989691],0
s7,1,0.014195,6.013685,[62 23] ; [2 5],[59.13043478 25.86956522] ; [4.86956522 2.13043478],0
p6,1,0.023782,5.110437,[57 30] ; [2 6],[54.03157895 32.96842105] ; [4.96842105 3.03157895],0
s3,1,0.025062,5.01962,[58 31] ; [2 6],[55.05154639 33.94845361] ; [4.94845361 3.05154639],0
s8,1,0.032395,4.577462,[56 32] ; [2 6],[53.16666667 34.83333333] ; [4.83333333 3.16666667],0
a7,1,0.043692,4.068439,[64 25] ; [3 5],[61.4742268 27.5257732] ; [5.5257732 2.4742268],0
d3,1,0.067577,3.340909,[61 27] ; [3 5],[58.66666667 29.33333333] ; [5.33333333 2.66666667],0
a4,1,0.084747,2.971438,[39 50] ; [1 7],[36.70103093 52.29896907] ; [3.29896907 4.70103093],0
n4,1,0.153706,2.035083,[81  8] ; [6 2],[79.82474227  9.17525773] ; [7.17525773 0.82474227],0
d1,1,0.158264,1.990734,[56 33] ; [3 5],[54.13402062 34.86597938] ; [4.86597938 3.13402062],0
p2,1,0.158445,1.989006,[80  8] ; [6 2],[78.83333333  9.16666667] ; [7.16666667 0.83333333],0
p4,1,0.163339,1.943036,[79  8] ; [6 2],[77.84210526  9.15789474] ; [7.15789474 0.84210526],0
s2,1,0.202151,1.626765,[54 35] ; [3 5],[52.29896907 36.70103093] ; [4.70103093 3.29896907],0
n5,1,0.203353,1.618126,[80  9] ; [6 2],[78.90721649 10.09278351] ; [7.09278351 0.90721649],0
r4,1,0.213534,1.547304,[86  3] ; [7 1],[85.32989691  3.67010309] ; [7.67010309 0.32989691],0
v1,1,0.251278,1.316182,[60 26] ; [4 4],[58.55319149 27.44680851] ; [5.44680851 2.55319149],0
p8,1,0.255786,1.291425,[71 18] ; [5 3],[69.73195876 19.26804124] ; [6.26804124 1.73195876],0
p3,1,0.264173,1.246753,[70 18] ; [5 3],[68.75 19.25] ; [6.25 1.75],0
d5,1,0.264173,1.246753,[70 18] ; [5 3],[68.75 19.25] ; [6.25 1.75],0
a3,1,0.338414,0.916431,[69 20] ; [5 3],[67.89690722 21.10309278] ; [6.10309278 1.89690722],0
b5,1,0.340195,0.909695,[40 49] ; [5 3],[41.28865979 47.71134021] ; [3.71134021 4.28865979],0
p1,1,0.340301,0.909298,[25 64] ; [1 7],[23.8556701 65.1443299] ; [2.1443299 5.8556701],0
a5,1,0.382663,0.762128,[68 21] ; [5 3],[66.97938144 22.02061856] ; [6.02061856 1.97938144],0
a8,1,0.388258,0.744391,[13 69] ; [2 5],[13.82022472 68.17977528] ; [1.17977528 5.82022472],0
p9,1,0.438926,0.599089,[84  5] ; [7 1],[83.49484536  5.50515464] ; [7.50515464 0.49484536],0
d4,1,0.445601,0.581818,[75 13] ; [6 2],[74.25 13.75] ; [6.75 1.25],0
a6,1,0.529176,0.395974,[54 34] ; [4 4],[53.16666667 34.83333333] ; [4.83333333 3.16666667],0
b2,1,0.595688,0.281549,[31 34] ; [3 2],[31.57142857 33.42857143] ; [2.42857143 2.57142857],0
b3,1,0.595688,0.281549,[31 34] ; [3 2],[31.57142857 33.42857143] ; [2.42857143 2.57142857],0
v3,1,0.609503,0.260899,[51 35] ; [4 4],[50.31914894 35.68085106] ; [4.68085106 3.31914894],0
p7,1,0.648036,0.208385,[71 16] ; [6 2],[70.51578947 16.48421053] ; [6.48421053 1.51578947],0
v2,1,0.656045,0.198363,[50 36] ; [4 4],[49.40425532 36.59574468] ; [4.59574468 3.40425532],0
p10,1,0.656058,0.198347,[81  7] ; [7 1],[80.66666667  7.33333333] ; [7.33333333 0.66666667],0
n3,1,0.69627,0.152381,[9 5] ; [1 1],[8.75 5.25] ; [1.25 0.75],0
s5,1,0.79339,0.068598,[55 27] ; [5 3],[54.66666667 27.33333333] ; [5.33333333 2.66666667],0
b4,1,0.822625,0.050252,[52 37] ; [5 3],[52.29896907 36.70103093] ; [4.70103093 3.29896907],0
s6,1,0.822805,0.050148,[71 13] ; [7 1],[71.2173913 12.7826087] ; [6.7826087 1.2173913],0
b1,1,0.870539,0.026561,[36 53] ; [3 5],[35.78350515 53.21649485] ; [3.21649485 4.78350515],0
p11,1,0.870977,0.02638,[76 13] ; [7 1],[76.15463918 12.84536082] ; [6.84536082 1.15463918],0
p12,1,0.889849,0.019181,[24 64] ; [2 6],[23.83333333 64.16666667] ; [2.16666667 5.83333333],0
a1,1,0.93768,0.006113,[12 77] ; [1 7],[11.92783505 77.07216495] ; [1.07216495 6.92783505],0
d2,1,0.950914,0.00379,[45 43] ; [4 4],[44.91666667 43.08333333] ; [4.08333333 3.91666667],0
u3,1,0.954928,0.003194,[13  7] ; [2 1],[13.04347826  6.95652174] ; [1.95652174 1.04347826],0
u2,1,0.954928,0.003194,[13  7] ; [2 1],[13.04347826  6.95652174] ; [1.95652174 1.04347826],0
