Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,29.838835,[30 37] ; [123  28],[47.02293578 19.97706422] ; [105.97706422  45.02293578],1
d1,1,0.0,28.206253,[13 54] ; [88 63],[31.0412844 35.9587156] ; [69.9587156 81.0412844],1
d5,1,1e-06,25.11257,[34 33] ; [125  25],[49.0921659 17.9078341] ; [109.9078341  40.0921659],1
d4,1,1e-06,25.11257,[34 33] ; [125  25],[49.0921659 17.9078341] ; [109.9078341  40.0921659],1
p3,1,6.8e-05,15.874091,[18 48] ; [85 65],[31.47222222 34.52777778] ; [71.52777778 78.47222222],1
s7,1,0.000124,14.733647,[21 45] ; [88 58],[33.93396226 32.06603774] ; [75.06603774 70.93396226],1
s8,1,0.000165,14.191101,[19 48] ; [84 66],[31.80184332 35.19815668] ; [71.19815668 78.80184332],1
a4,1,0.00026,13.340818,[17 50] ; [78 72],[29.33179724 37.66820276] ; [65.66820276 84.33179724],1
b2,1,0.001013,10.803438,[ 9 32] ; [56 52],[17.88590604 23.11409396] ; [47.11409396 60.88590604],0
b3,1,0.001013,10.803438,[ 9 32] ; [56 52],[17.88590604 23.11409396] ; [47.11409396 60.88590604],0
n4,1,0.001154,10.561957,[43 24] ; [126  24],[52.1797235 14.8202765] ; [116.8202765  33.1797235],0
p10,1,0.001362,10.256635,[44 22] ; [126  21],[52.67605634 13.32394366] ; [117.32394366  29.67605634],0
d2,1,0.00148,10.103383,[21 46] ; [82 68],[31.80184332 35.19815668] ; [71.19815668 78.80184332],0
p2,1,0.001636,9.919042,[43 23] ; [124  23],[51.74647887 14.25352113] ; [115.25352113  31.74647887],0
r1,1,0.001678,9.871697,[39 28] ; [119  32],[48.55963303 18.44036697] ; [109.44036697  41.55963303],0
v3,1,0.002194,9.379317,[14 51] ; [64 83],[23.91509434 41.08490566] ; [54.08490566 92.91509434],0
n5,1,0.010217,6.596734,[44 21] ; [125  25],[51.09302326 13.90697674] ; [117.90697674  32.09302326],0
a6,1,0.010856,6.488725,[20 47] ; [73 78],[28.58256881 38.41743119] ; [64.41743119 86.58256881],0
p9,1,0.024179,5.081748,[50 16] ; [131  18],[55.5627907 10.4372093] ; [125.4372093  23.5627907],0
n6,1,0.036568,4.370397,[49 17] ; [129  21],[54.38888889 11.61111111] ; [123.61111111  26.38888889],0
u1,1,0.063339,3.447735,[ 1 66] ; [ 12 139],[ 3.99541284 63.00458716] ; [  9.00458716 141.99541284],0
r4,1,0.070312,3.27572,[51 16] ; [130  21],[55.62844037 11.37155963] ; [125.37155963  25.62844037],0
s2,1,0.12634,2.33691,[26 40] ; [76 74],[31.16666667 34.83333333] ; [70.83333333 79.16666667],0
n3,1,0.126402,2.336148,[14  9] ; [27  7],[16.54385965  6.45614035] ; [24.45614035  9.54385965],0
p5,1,0.151859,2.053477,[ 5 60] ; [ 22 127],[ 8.20093458 56.79906542] ; [ 18.79906542 130.20093458],0
s5,1,0.165751,1.920961,[19 44] ; [58 86],[23.43478261 39.56521739] ; [53.56521739 90.43478261],0
r3,1,0.170029,1.882683,[60  7] ; [142   8],[62.36866359  4.63133641] ; [139.63133641  10.36866359],0
r2,1,0.203447,1.617454,[57  9] ; [137  12],[59.55348837  6.44651163] ; [134.44651163  14.55348837],0
b5,1,0.208849,1.579387,[35 32] ; [65 86],[30.73394495 36.26605505] ; [69.26605505 81.73394495],0
v2,1,0.269944,1.217029,[26 35] ; [75 72],[29.62019231 31.37980769] ; [71.37980769 75.62019231],0
v1,1,0.271694,1.208172,[32 35] ; [81 64],[35.71226415 31.28773585] ; [77.28773585 67.71226415],0
s3,1,0.283658,1.149482,[33 32] ; [88 62],[36.58139535 28.41860465] ; [84.41860465 65.58139535],0
d3,1,0.287645,1.130613,[25 42] ; [68 83],[28.58256881 38.41743119] ; [64.41743119 86.58256881],0
s6,1,0.309715,1.031889,[38 27] ; [96 50],[41.27962085 23.72037915] ; [92.72037915 53.27962085],0
p4,1,0.322518,0.978709,[31 34] ; [82 67],[34.32242991 30.67757009] ; [78.67757009 70.32242991],0
s4,1,0.326226,0.96382,[15 52] ; [ 25 124],[12.40740741 54.59259259] ; [ 27.59259259 121.40740741],0
a1,1,0.354472,0.857383,[ 2 65] ; [  9 142],[ 3.38073394 63.61926606] ; [  7.61926606 143.38073394],0
u3,1,0.452071,0.565453,[18 19] ; [11 17],[16.50769231 20.49230769] ; [12.49230769 15.50769231],0
s1,1,0.465245,0.533248,[ 3 62] ; [  4 145],[ 2.12616822 62.87383178] ; [  4.87383178 144.12616822],0
n1,1,0.471831,0.517685,[11 12] ; [13 21],[ 9.68421053 13.31578947] ; [14.31578947 19.68421053],0
p8,1,0.480575,0.497557,[30 36] ; [74 72],[32.37735849 33.62264151] ; [71.62264151 74.37735849],0
p7,1,0.52114,0.411637,[39 25] ; [97 51],[41.05660377 22.94339623] ; [94.94339623 53.05660377],0
v4,1,0.53335,0.388006,[59  7] ; [138  12],[60.19444444  5.80555556] ; [136.80555556  13.19444444],0
u4,1,0.598697,0.276966,[ 1 66] ; [  4 147],[ 1.53669725 65.46330275] ; [  3.46330275 147.53669725],0
a8,1,0.683999,0.165659,[ 6 58] ; [ 16 126],[ 6.83495146 57.16504854] ; [ 15.16504854 126.83495146],0
b4,1,0.691549,0.157413,[37 30] ; [79 72],[35.65137615 31.34862385] ; [80.34862385 70.65137615],0
p12,1,0.698414,0.150127,[ 4 62] ; [ 11 135],[ 4.66981132 61.33018868] ; [ 10.33018868 135.66981132],0
p1,1,0.824506,0.049175,[ 6 61] ; [ 12 137],[ 5.58333333 61.41666667] ; [ 12.41666667 136.58333333],0
n2,1,0.920439,0.009976,[18  5] ; [27  8],[17.84482759  5.15517241] ; [27.15517241  7.84482759],0
u2,1,0.923786,0.009152,[21 16] ; [15 12],[20.8125 16.1875] ; [15.1875 11.8125],0
b1,1,0.953436,0.00341,[29 38] ; [66 85],[29.19724771 37.80275229] ; [65.80275229 85.19724771],0
p6,1,0.991639,0.00011,[23 41] ; [52 93],[22.96650718 41.03349282] ; [52.03349282 92.96650718],0
