Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,2e-06,22.655591,[23 29] ; [55  9],[34.96551724 17.03448276] ; [43.03448276 20.96551724],1
p10,1,0.000146,14.421617,[20 34] ; [46 18],[30.20338983 23.79661017] ; [35.79661017 28.20338983],1
v4,1,0.000205,13.78487,[36 20] ; [58  5],[44.23529412 11.76470588] ; [49.76470588 13.23529412],1
n4,1,0.003772,8.390414,[33 23] ; [53 11],[40.13333333 15.86666667] ; [45.86666667 18.13333333],0
b5,1,0.006698,7.352309,[22 34] ; [41 23],[29.4 26.6] ; [33.6 30.4],0
p8,1,0.007692,7.103797,[ 5 51] ; [18 46],[10.73333333 45.26666667] ; [12.26666667 51.73333333],0
p4,1,0.008082,7.015175,[11 45] ; [27 37],[17.73333333 38.26666667] ; [20.26666667 43.73333333],0
n6,1,0.008493,6.926488,[33 23] ; [51 12],[39.52941176 16.47058824] ; [44.47058824 18.52941176],0
p11,1,0.01407,6.029349,[29 27] ; [47 17],[35.46666667 20.53333333] ; [40.53333333 23.46666667],0
s1,1,0.015314,5.879988,[ 7 48] ; [ 1 63],[ 3.69747899 51.30252101] ; [ 4.30252101 59.69747899],0
r3,1,0.01797,5.599078,[38 18] ; [55  9],[43.4 12.6] ; [49.6 14.4],0
n5,1,0.023103,5.16072,[33 23] ; [50 14],[38.73333333 17.26666667] ; [44.26666667 19.73333333],0
s4,1,0.035783,4.407407,[12 44] ; [ 5 58],[ 8. 48.] ; [ 9. 54.],0
s6,1,0.044849,4.024298,[23 32] ; [38 25],[28.43220339 26.56779661] ; [32.56779661 30.43220339],0
a8,1,0.053767,3.719903,[ 2 54] ; [ 8 50],[ 4.9122807 51.0877193] ; [ 5.0877193 52.9122807],0
b3,1,0.083126,3.002694,[19 14] ; [17 28],[15.23076923 17.76923077] ; [20.76923077 24.23076923],0
b2,1,0.083126,3.002694,[19 14] ; [17 28],[15.23076923 17.76923077] ; [20.76923077 24.23076923],0
n1,1,0.102371,2.668216,[17 15] ; [ 6 14],[14.15384615 17.84615385] ; [ 8.84615385 11.15384615],0
b4,1,0.120034,2.41688,[28 28] ; [41 23],[32.2 23.8] ; [36.8 27.2],0
a3,1,0.133366,2.25288,[32 24] ; [45 19],[35.93333333 20.06666667] ; [41.06666667 22.93333333],0
r4,1,0.133366,2.25288,[32 24] ; [45 19],[35.93333333 20.06666667] ; [41.06666667 22.93333333],0
a1,1,0.175972,1.831317,[ 5 51] ; [ 2 62],[ 3.26666667 52.73333333] ; [ 3.73333333 60.26666667],0
p3,1,0.179625,1.80072,[13 43] ; [22 42],[16.33333333 39.66666667] ; [18.66666667 45.33333333],0
b1,1,0.204496,1.609971,[31 25] ; [28 36],[27.53333333 28.46666667] ; [31.46666667 32.53333333],0
v1,1,0.22983,1.441913,[18 37] ; [27 35],[21.15384615 33.84615385] ; [23.84615385 38.15384615],0
d5,1,0.243431,1.360613,[30 26] ; [41 23],[33.13333333 22.86666667] ; [37.86666667 26.13333333],0
s7,1,0.24758,1.336909,[16 35] ; [26 36],[18.95575221 32.04424779] ; [23.04424779 38.95575221],0
v2,1,0.250558,1.32019,[14 37] ; [23 38],[16.84821429 34.15178571] ; [20.15178571 40.84821429],0
