Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.5e-05,18.72,[13 36] ; [26  9],[22.75 26.25] ; [16.25 18.75],1
d4,1,0.000281,13.19244,[43  6] ; [17 16],[35.85365854 13.14634146] ; [24.14634146  8.85365854],1
a1,1,0.005702,7.642105,[ 1 48] ; [ 7 28],[ 4.66666667 44.33333333] ; [ 3.33333333 31.66666667],0
r3,1,0.009036,6.815657,[38 11] ; [17 17],[32.46987952 16.53012048] ; [22.53012048 11.46987952],0
p3,1,0.016664,5.731421,[18 29] ; [ 5 30],[13.18292683 33.81707317] ; [ 9.81707317 25.18292683],0
p8,1,0.021711,5.268817,[15 33] ; [ 3 29],[10.8 37.2] ; [ 7.2 24.8],0
u3,1,0.02846,4.8,[13  7] ; [3 9],[10. 10.] ; [6. 6.],0
n1,1,0.03256,4.568765,[ 4 18] ; [9 9],[ 7.15 14.85] ; [ 5.85 12.15],0
d5,1,0.036343,4.38096,[38 11] ; [19 15],[33.65060241 15.34939759] ; [23.34939759 10.65060241],0
u2,1,0.04295,4.097354,[14  6] ; [4 8],[11.25  8.75] ; [6.75 5.25],0
p10,1,0.057139,3.618536,[20 27] ; [ 7 25],[16.06329114 30.93670886] ; [10.93670886 21.06329114],0
r1,1,0.094718,2.792308,[34 15] ; [18 17],[30.33333333 18.66666667] ; [21.66666667 13.33333333],0
p4,1,0.098871,2.723668,[16 32] ; [ 6 29],[12.72289157 35.27710843] ; [ 9.27710843 25.72289157],0
d1,1,0.127724,2.319954,[25 24] ; [12 23],[21.58333333 27.41666667] ; [15.41666667 19.58333333],0
s4,1,0.132855,2.258824,[12 37] ; [ 4 31],[ 9.33333333 39.66666667] ; [ 6.66666667 28.33333333],0
v4,1,0.161332,1.961693,[36 13] ; [20 14],[33.06024096 15.93975904] ; [22.93975904 11.06024096],0
a2,1,0.188486,1.729412,[ 7 42] ; [ 9 26],[ 9.33333333 39.66666667] ; [ 6.66666667 28.33333333],0
a6,1,0.213029,1.550723,[28 21] ; [24 10],[30.69879518 18.30120482] ; [21.30120482 12.69879518],0
r4,1,0.222336,1.489231,[29 20] ; [16 19],[26.25 22.75] ; [18.75 16.25],0
v2,1,0.314924,1.00991,[18 28] ; [ 9 23],[15.92307692 30.07692308] ; [11.07692308 20.92307692],0
d3,1,0.327292,0.959583,[32 17] ; [18 15],[29.87804878 19.12195122] ; [20.12195122 12.87804878],0
a3,1,0.333596,0.934887,[28 21] ; [23 11],[30.10843373 18.89156627] ; [20.89156627 13.10843373],0
s1,1,0.334095,0.932961,[ 6 43] ; [ 2 32],[ 4.72289157 44.27710843] ; [ 3.27710843 30.72289157],0
a7,1,0.339329,0.912964,[33 16] ; [20 15],[30.91666667 18.08333333] ; [22.08333333 12.91666667],0
