Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.016806,5.716484,[2 3] ; [12  1],[3.88888889 1.11111111] ; [10.11111111  2.88888889],0
b3,1,0.016806,5.716484,[2 3] ; [12  1],[3.88888889 1.11111111] ; [10.11111111  2.88888889],0
v3,1,0.021248,5.306327,[1 3] ; [8 1],[2.76923077 1.23076923] ; [6.23076923 2.76923077],0
p2,1,0.058375,3.582959,[2 3] ; [11  2],[3.61111111 1.38888889] ; [9.38888889 3.61111111],0
s8,1,0.099481,2.713846,[3 2] ; [12  1],[4.16666667 0.83333333] ; [10.83333333  2.16666667],0
a2,1,0.114404,2.492308,[1 4] ; [8 5],[2.5 2.5] ; [6.5 6.5],0
p7,1,0.115993,2.470604,[1 3] ; [9 4],[2.35294118 1.64705882] ; [7.64705882 5.35294118],0
a6,1,0.136641,2.215385,[2 3] ; [10  3],[3.33333333 1.66666667] ; [8.66666667 4.33333333],0
p3,1,0.136641,2.215385,[2 3] ; [10  3],[3.33333333 1.66666667] ; [8.66666667 4.33333333],0
v1,1,0.170904,1.875,[3 2] ; [9 1],[4. 1.] ; [8. 2.],0
d3,1,0.260531,1.265934,[3 2] ; [11  2],[3.88888889 1.11111111] ; [10.11111111  2.88888889],0
p4,1,0.260531,1.265934,[3 2] ; [11  2],[3.88888889 1.11111111] ; [10.11111111  2.88888889],0
a5,1,0.45675,0.553846,[4 1] ; [12  1],[4.44444444 0.55555556] ; [11.55555556  1.44444444],0
p1,1,0.45675,0.553846,[1 4] ; [ 1 12],[0.55555556 4.44444444] ; [ 1.44444444 11.55555556],0
s3,1,0.45675,0.553846,[4 1] ; [12  1],[4.44444444 0.55555556] ; [11.55555556  1.44444444],0
s6,1,0.45675,0.553846,[4 1] ; [12  1],[4.44444444 0.55555556] ; [11.55555556  1.44444444],0
a4,1,0.472766,0.515503,[3 2] ; [10  3],[3.61111111 1.38888889] ; [9.38888889 3.61111111],0
b4,1,0.598725,0.276923,[2 3] ; [7 6],[2.5 2.5] ; [6.5 6.5],0
p8,1,0.709815,0.138462,[3 2] ; [9 4],[3.33333333 1.66666667] ; [8.66666667 4.33333333],0
a7,1,0.709815,0.138462,[3 2] ; [9 4],[3.33333333 1.66666667] ; [8.66666667 4.33333333],0
p6,1,0.813945,0.055385,[3 2] ; [7 6],[2.77777778 2.22222222] ; [7.22222222 5.77777778],0
s2,1,0.813945,0.055385,[4 1] ; [11  2],[4.16666667 0.83333333] ; [10.83333333  2.16666667],0
s7,1,0.813945,0.055385,[4 1] ; [11  2],[4.16666667 0.83333333] ; [10.83333333  2.16666667],0
u1,1,0.95218,0.003596,[2 3] ; [5 8],[1.94444444 3.05555556] ; [5.05555556 7.94444444],0
b5,1,0.95218,0.003596,[3 2] ; [8 5],[3.05555556 1.94444444] ; [7.94444444 5.05555556],0
v2,1,1.0,0.0,[4 1] ; [8 2],[4. 1.] ; [8. 2.],0
