Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.0,47.72187,[ 21 354] ; [20 39],[ 35.42626728 339.57373272] ; [ 5.57373272 53.42626728],1
p12,1,0.0,31.101051,[ 32 343] ; [20 39],[ 44.93087558 330.06912442] ; [ 7.06912442 51.93087558],1
p4,1,0.0,26.29944,[218 157] ; [54  4],[235.56581986 139.43418014] ; [36.43418014 21.56581986],1
p8,1,0.0,25.369356,[185 188] ; [50  9],[202.90509259 170.09490741] ; [32.09490741 26.90509259],1
p6,1,1e-06,23.46512,[138 235] ; [41 17],[154.91183295 218.08816705] ; [24.08816705 33.91183295],1
p3,1,1.1e-05,19.340276,[189 188] ; [47 11],[204.53333333 172.46666667] ; [31.46666667 26.53333333],1
s5,1,7.4e-05,15.704046,[147 213] ; [37 16],[160.3874092 199.6125908] ; [23.6125908 29.3874092],1
b5,1,0.000508,12.087131,[237 140] ; [23 36],[224.81651376 152.18348624] ; [35.18348624 23.81651376],1
s7,1,0.000648,11.633274,[231 133] ; [50  8],[242.37914692 121.62085308] ; [38.62085308 19.37914692],1
a1,1,0.003531,8.510678,[ 16 361] ; [ 8 51],[ 20.75229358 356.24770642] ; [ 3.24770642 55.75229358],0
s8,1,0.004973,7.889222,[219 157] ; [45 13],[228.71889401 147.28110599] ; [35.28110599 22.71889401],0
n5,1,0.005408,7.73775,[290  84] ; [55  4],[297.99076212  76.00923788] ; [47.00923788 11.99076212],0
v1,1,0.005818,7.605816,[192 170] ; [42 16],[201.68571429 160.31428571] ; [32.31428571 25.68571429],0
n4,1,0.006177,7.498058,[292  83] ; [55  4],[299.82718894  75.17281106] ; [47.17281106 11.82718894],0
s1,1,0.008036,7.025442,[ 11 362] ; [ 6 53],[ 14.67824074 358.32175926] ; [ 2.32175926 56.67824074],0
u4,1,0.022516,5.205462,[ 10 367] ; [ 5 54],[ 12.97018349 364.02981651] ; [ 2.02981651 56.97018349],0
p7,1,0.031785,4.610051,[242 122] ; [46 11],[249.00712589 114.99287411] ; [38.99287411 18.00712589],0
s6,1,0.040261,4.206836,[313  57] ; [54  3],[318.00936768  51.99063232] ; [48.99063232  8.00936768],0
v3,1,0.04105,4.17397,[142 220] ; [31 27],[149.10952381 212.89047619] ; [23.89047619 34.10952381],0
n6,1,0.042522,4.114308,[317  56] ; [55  3],[321.93967517  51.06032483] ; [50.06032483  7.93967517],0
a6,1,0.059505,3.551138,[260 115] ; [33 25],[253.75288684 121.24711316] ; [39.24711316 18.75288684],0
d1,1,0.086196,2.944015,[231 146] ; [43 16],[236.92201835 140.07798165] ; [37.07798165 21.92201835],0
n1,1,0.091276,2.851721,[30 46] ; [10  6],[33.04347826 42.95652174] ; [6.95652174 9.04347826],0
n3,1,0.160965,1.96514,[60 16] ; [10  6],[57.82608696 18.17391304] ; [12.17391304  3.82608696],0
b4,1,0.186808,1.742616,[226 151] ; [30 29],[221.35779817 155.64220183] ; [34.64220183 24.35779817],0
d2,1,0.251231,1.316448,[190 186] ; [34 24],[194.06451613 181.93548387] ; [29.93548387 28.06451613],0
a2,1,0.257777,1.280658,[103 274] ; [12 47],[ 99.43807339 277.56192661] ; [15.56192661 43.43807339],0
s4,1,0.303277,1.059728,[ 86 289] ; [10 49],[ 82.94930876 292.05069124] ; [13.05069124 45.94930876],0
b3,1,0.305114,1.051708,[ 83 140] ; [20 24],[ 86.02621723 136.97378277] ; [16.97378277 27.02621723],0
b2,1,0.305114,1.051708,[ 83 140] ; [20 24],[ 86.02621723 136.97378277] ; [16.97378277 27.02621723],0
d4,1,0.306396,1.046147,[317  58] ; [52  6],[319.57274827  55.42725173] ; [49.42725173  8.57274827],0
r1,1,0.316017,1.005361,[303  71] ; [51  8],[305.76443418  68.23556582] ; [48.23556582 10.76443418],0
p2,1,0.323643,0.974166,[327  49] ; [54  5],[329.32413793  46.67586207] ; [51.67586207  7.32413793],0
r3,1,0.384626,0.755863,[364  11] ; [56  3],[362.90322581  12.09677419] ; [57.09677419  1.90322581],0
v2,1,0.408219,0.68398,[212 146] ; [31 27],[209.12019231 148.87980769] ; [33.87980769 24.12019231],0
u2,1,0.417015,0.658712,[54 39] ; [6 7],[52.64150943 40.35849057] ; [7.35849057 5.64150943],0
p10,1,0.475547,0.509058,[339  37] ; [54  4],[340.47926267  35.52073733] ; [52.52073733  5.47926267],0
p11,1,0.480237,0.498324,[305  72] ; [50  9],[306.96100917  70.03899083] ; [48.03899083 10.96100917],0
r2,1,0.53262,0.389391,[359  12] ; [57  1],[359.75757576  11.24242424] ; [56.24242424  1.75757576],0
d5,1,0.532735,0.389172,[304  71] ; [49  9],[305.71593533  69.28406467] ; [47.28406467 10.71593533],0
a3,1,0.615378,0.252418,[281  94] ; [46 13],[282.54608295  92.45391705] ; [44.45391705 14.54608295],0
d3,1,0.623628,0.240802,[267 109] ; [43 15],[268.57142857 107.42857143] ; [41.42857143 16.57142857],0
a4,1,0.625322,0.238457,[179 198] ; [26 33],[177.25917431 199.74082569] ; [27.74082569 31.25917431],0
s2,1,0.660493,0.192925,[304  73] ; [49 10],[305.23165138  71.76834862] ; [47.76834862 11.23165138],0
