Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.2e-05,17.276755,[115  11] ; [6 6],[110.47826087  15.52173913] ; [10.52173913  1.47826087],1
r3,1,3.4e-05,17.199356,[124   2] ; [9 3],[121.43478261   4.56521739] ; [11.56521739  0.43478261],1
r1,1,0.000305,13.040016,[100  25] ; [4 8],[94.89051095 30.10948905] ; [9.10948905 2.89051095],1
v4,1,0.013043,6.163281,[119   7] ; [9 3],[116.86956522   9.13043478] ; [11.13043478  0.86956522],0
s3,1,0.013434,6.110999,[86 39] ; [4 8],[82.11678832 42.88321168] ; [7.88321168 4.11678832],0
b1,1,0.018246,5.572379,[41 85] ; [8 4],[44.73913043 81.26086957] ; [4.26086957 7.73913043],0
p5,1,0.056978,3.623223,[  5 120] ; [ 2 10],[  6.38686131 118.61313869] ; [ 0.61313869 11.38686131],0
d1,1,0.070369,3.274384,[76 50] ; [4 8],[73.04347826 52.95652174] ; [6.95652174 5.04347826],0
p9,1,0.071571,3.246612,[100  24] ; [7 5],[97.55882353 26.44117647] ; [9.44117647 2.55882353],0
n6,1,0.076575,3.136141,[84 41] ; [5 7],[81.20437956 43.79562044] ; [7.79562044 4.20437956],0
b4,1,0.083761,2.990369,[84 42] ; [5 7],[81.26086957 44.73913043] ; [7.73913043 4.26086957],0
p12,1,0.09175,2.843407,[  6 120] ; [ 2 10],[  7.30434783 118.69565217] ; [ 0.69565217 11.30434783],0
p8,1,0.094566,2.794879,[52 73] ; [8 4],[54.74452555 70.25547445] ; [5.25547445 6.74452555],0
a4,1,0.105149,2.625654,[51 75] ; [ 2 10],[48.39130435 77.60869565] ; [4.60869565 7.39130435],0
a1,1,0.136341,2.218777,[  7 119] ; [ 2 10],[  8.2173913 117.7826087] ; [ 0.7826087 11.2173913],0
a3,1,0.13745,2.206279,[80 46] ; [5 7],[77.60869565 48.39130435] ; [7.39130435 4.60869565],0
v2,1,0.157971,1.993546,[64 53] ; [4 8],[61.6744186 55.3255814] ; [6.3255814 5.6744186],0
d5,1,0.208314,1.583107,[103  23] ; [8 4],[101.34782609  24.65217391] ; [9.65217391 2.34782609],0
p10,1,0.23116,1.433711,[93 32] ; [7 5],[91.24087591 33.75912409] ; [8.75912409 3.24087591],0
v1,1,0.232587,1.42497,[49 72] ; [7 5],[50.94736842 70.05263158] ; [5.05263158 6.94736842],0
p4,1,0.247674,1.336375,[62 64] ; [8 4],[63.91304348 62.08695652] ; [6.08695652 5.91304348],0
a2,1,0.304685,1.053577,[ 26 100] ; [ 1 11],[ 24.65217391 101.34782609] ; [2.34782609 9.65217391],0
s4,1,0.350561,0.871425,[37 89] ; [ 2 10],[35.60869565 90.39130435] ; [3.39130435 8.60869565],0
s2,1,0.356737,0.849348,[80 46] ; [6 6],[78.52173913 47.47826087] ; [7.47826087 4.52173913],0
s1,1,0.360826,0.835016,[  4 122] ; [ 1 11],[  4.56521739 121.43478261] ; [ 0.43478261 11.56521739],0
p3,1,0.369939,0.80387,[59 67] ; [4 8],[57.52173913 68.47826087] ; [5.47826087 6.52173913],0
p7,1,0.372039,0.796843,[66 58] ; [8 4],[67.47058824 56.52941176] ; [6.52941176 5.47058824],0
p11,1,0.396922,0.71763,[79 47] ; [9 3],[80.34782609 45.65217391] ; [7.65217391 4.34782609],0
d2,1,0.398105,0.714043,[58 68] ; [4 8],[56.60869565 69.39130435] ; [5.39130435 6.60869565],0
v3,1,0.404999,0.693433,[36 84] ; [5 7],[37.27272727 82.72727273] ; [3.72727273 8.27272727],0
n3,1,0.431841,0.617868,[29  9] ; [3 2],[28.27906977  9.72093023] ; [3.72093023 1.27906977],0
d3,1,0.43672,0.604886,[92 34] ; [10  2],[93.13043478 32.86956522] ; [8.86956522 3.13043478],0
b2,1,0.489482,0.477666,[21 49] ; [1 5],[20.26315789 49.73684211] ; [1.73684211 4.26315789],0
b3,1,0.489482,0.477666,[21 49] ; [1 5],[20.26315789 49.73684211] ; [1.73684211 4.26315789],0
a7,1,0.506576,0.441133,[95 31] ; [8 4],[94.04347826 31.95652174] ; [8.95652174 3.04347826],0
n2,1,0.52133,0.411262,[28 10] ; [3 2],[27.39534884 10.60465116] ; [3.60465116 1.39534884],0
d4,1,0.525873,0.402361,[107  19] ; [11  1],[107.73913043  18.26086957] ; [10.26086957  1.73913043],0
n1,1,0.612943,0.255911,[11 27] ; [2 3],[11.48837209 26.51162791] ; [1.51162791 3.48837209],0
a5,1,0.638011,0.221353,[92 34] ; [8 4],[91.30434783 34.69565217] ; [8.69565217 3.30434783],0
n4,1,0.723516,0.125149,[46 80] ; [5 7],[46.56521739 79.43478261] ; [4.43478261 7.56521739],0
p6,1,0.72539,0.123387,[37 87] ; [3 9],[36.47058824 87.52941176] ; [3.52941176 8.47058824],0
a8,1,0.766977,0.087812,[  7 107] ; [ 1 11],[  7.23809524 106.76190476] ; [ 0.76190476 11.23809524],0
b5,1,0.80796,0.059077,[78 48] ; [7 5],[77.60869565 48.39130435] ; [7.39130435 4.60869565],0
s8,1,0.833264,0.044317,[59 67] ; [6 6],[59.34782609 66.65217391] ; [5.65217391 6.34782609],0
a6,1,0.91216,0.012169,[82 44] ; [8 4],[82.17391304 43.82608696] ; [7.82608696 4.17391304],0
s7,1,0.913816,0.011713,[58 65] ; [5 6],[57.82835821 65.17164179] ; [5.17164179 5.82835821],0
s5,1,0.955357,0.003134,[49 71] ; [5 7],[49.09090909 70.90909091] ; [4.90909091 7.09090909],0
u3,1,0.958104,0.00276,[31 13] ; [5 2],[31.05882353 12.94117647] ; [4.94117647 2.05882353],0
p2,1,0.963691,0.002072,[93 32] ; [9 3],[93.06569343 31.93430657] ; [8.93430657 3.06569343],0
