Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,113.604447,[186 268] ; [251  64],[257.99479844 196.00520156] ; [179.00520156 135.99479844],1
v1,1,0.0,41.593524,[208 252] ; [217  99],[251.93298969 208.06701031] ; [173.06701031 142.93298969],1
s7,1,8e-06,19.981374,[194 257] ; [179 121],[223.99866844 227.00133156] ; [149.00133156 150.99866844],1
p5,1,2e-05,18.15911,[ 33 434] ; [ 53 263],[ 51.29246488 415.70753512] ; [ 34.70753512 281.29246488],1
s8,1,2.6e-05,17.65962,[182 286] ; [170 144],[210.65984655 257.34015345] ; [141.34015345 172.65984655],1
p12,1,9.1e-05,15.312043,[ 23 442] ; [ 40 274],[ 37.60590501 427.39409499] ; [ 25.39409499 288.60590501],1
n4,1,0.00018,14.028059,[343 125] ; [269  49],[364.39694656 103.60305344] ; [247.60305344  70.39694656],1
p3,1,0.000228,13.588075,[212 256] ; [185 130],[237.28735632 230.71264368] ; [159.71264368 155.28735632],1
n5,1,0.000458,12.279106,[329 136] ; [260  58],[349.78927203 115.21072797] ; [239.21072797  78.78927203],1
a1,1,0.003328,8.618479,[ 13 457] ; [ 23 296],[ 21.44486692 448.55513308] ; [ 14.55513308 304.44486692],0
p8,1,0.004371,8.123027,[228 235] ; [185 125],[247.37257439 215.62742561] ; [165.62742561 144.37257439],0
p10,1,0.007932,7.04873,[362 102] ; [268  45],[376.21621622  87.78378378] ; [253.78378378  59.21621622],0
n6,1,0.009247,6.774501,[390  78] ; [285  32],[402.42038217  65.57961783] ; [272.57961783  44.42038217],0
p4,1,0.01365,6.082918,[261 206] ; [202 110],[277.56225931 189.43774069] ; [185.43774069 126.56225931],0
s2,1,0.016321,5.767964,[226 241] ; [180 135],[242.45780051 224.54219949] ; [163.54219949 151.45780051],0
a3,1,0.017158,5.680155,[321 148] ; [241  75],[335.76815287 133.23184713] ; [226.23184713  89.76815287],0
p7,1,0.017801,5.615581,[281 177] ; [214  93],[296.35294118 161.64705882] ; [198.64705882 108.35294118],0
s5,1,0.024133,5.085017,[147 305] ; [124 182],[161.59894459 290.40105541] ; [109.40105541 196.59894459],0
s4,1,0.025767,4.971615,[ 92 371] ; [ 43 271],[ 80.44401544 382.55598456] ; [ 54.55598456 259.44401544],0
d1,1,0.027138,4.882004,[259 211] ; [201 118],[274.01774398 195.98225602] ; [185.98225602 133.01774398],0
a5,1,0.027184,4.879067,[335 135] ; [249  69],[348.3248731 121.6751269] ; [235.6751269  82.3248731],0
u1,1,0.062517,3.469309,[ 77 393] ; [ 69 250],[ 86.97084918 383.02915082] ; [ 59.02915082 259.97084918],0
d3,1,0.078689,3.091773,[311 158] ; [229  88],[322.21374046 146.78625954] ; [217.78625954  99.21374046],0
b4,1,0.082013,3.024561,[264 206] ; [199 120],[275.80481622 194.19518378] ; [187.19518378 131.80481622],0
p1,1,0.089885,2.876435,[ 34 433] ; [ 34 282],[ 40.55683269 426.44316731] ; [ 27.44316731 288.55683269],0
u4,1,0.118936,2.431271,[  6 464] ; [  9 310],[  8.93536122 461.06463878] ; [  6.06463878 312.93536122],0
