Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,1e-06,23.311413,[ 19 247] ; [14 31],[ 28.22508039 237.77491961] ; [ 4.77491961 40.22508039],1
p8,1,4e-06,21.319698,[131 133] ; [39  6],[145.24271845 118.75728155] ; [24.75728155 20.24271845],1
p12,1,1.7e-05,18.545259,[ 26 239] ; [15 30],[ 35.0483871 229.9516129] ; [ 5.9516129 39.0483871],1
p4,1,8.3e-05,15.493989,[168  98] ; [41  3],[179.33548387  86.66451613] ; [29.66451613 14.33548387],1
a1,1,0.000123,14.748377,[ 12 255] ; [ 9 36],[ 17.97115385 249.02884615] ; [ 3.02884615 41.97115385],1
s5,1,0.00108,10.685706,[109 143] ; [29 12],[118.6894198 133.3105802] ; [19.3105802 21.6894198],0
p3,1,0.001085,10.677148,[141 124] ; [35  9],[150.93851133 114.06148867] ; [25.06148867 18.93851133],0
p6,1,0.002005,9.544884,[108 156] ; [29 15],[117.42857143 146.57142857] ; [19.57142857 24.42857143],0
s7,1,0.00203,9.521936,[168  87] ; [40  5],[176.8  78.2] ; [31.2 13.8],0
b5,1,0.002263,9.323071,[171  96] ; [18 27],[161.74038462 105.25961538] ; [27.25961538 17.74038462],0
v1,1,0.002787,8.942014,[137 121] ; [34 10],[146.08609272 111.91390728] ; [24.91390728 19.08609272],0
n5,1,0.014178,6.015823,[206  60] ; [42  3],[212.11575563  53.88424437] ; [35.88424437  9.11575563],0
u4,1,0.02033,5.383348,[  9 258] ; [ 5 40],[ 11.98076923 255.01923077] ; [ 2.01923077 42.98076923],0
s8,1,0.021849,5.257807,[164 102] ; [35  9],[170.75483871  95.24516129] ; [28.24516129 15.75483871],0
n4,1,0.028798,4.779671,[212  54] ; [42  3],[217.24758842  48.75241158] ; [36.75241158  8.24758842],0
v3,1,0.038624,4.277312,[107 146] ; [26 18],[113.2962963 139.7037037] ; [19.7037037 24.2962963],0
a6,1,0.042239,4.125588,[196  69] ; [26 18],[190.38834951  74.61165049] ; [31.61165049 12.38834951],0
n6,1,0.046923,3.948137,[223  42] ; [42  2],[227.26537217  37.73462783] ; [37.73462783  6.26537217],0
n3,1,0.05299,3.744222,[44 15] ; [5 6],[41.3 17.7] ; [7.7 3.3],0
a2,1,0.075679,3.155332,[102 165] ; [11 34],[ 96.70192308 170.29807692] ; [16.29807692 28.70192308],0
n1,1,0.089712,2.879529,[26 32] ; [8 3],[28.57971014 29.42028986] ; [5.42028986 5.57971014],0
p9,1,0.104504,2.635422,[231  34] ; [43  2],[234.22580645  30.77419355] ; [39.77419355  5.22580645],0
p7,1,0.104513,2.635288,[164  95] ; [32 10],[168.65116279  90.34883721] ; [27.34883721 14.65116279],0
v2,1,0.109659,2.559135,[160  95] ; [22 22],[155.2173913  99.7826087] ; [26.7826087 17.2173913],0
s6,1,0.135644,2.226697,[222  40] ; [41  3],[225.18300654  36.81699346] ; [37.81699346  6.18300654],0
r3,1,0.155885,2.013696,[259   7] ; [42  3],[257.44694534   8.55305466] ; [43.55305466  1.44694534],0
s1,1,0.173062,1.856219,[ 11 253] ; [ 4 41],[ 12.81553398 251.18446602] ; [ 2.18446602 42.81553398],0
s2,1,0.256501,1.287547,[219  48] ; [40  5],[221.64423077  45.35576923] ; [37.35576923  7.64423077],0
p11,1,0.273123,1.200992,[206  61] ; [38  7],[208.80769231  58.19230769] ; [35.19230769  9.80769231],0
p10,1,0.295656,1.093687,[226  39] ; [41  4],[228.24193548  36.75806452] ; [38.75806452  6.24193548],0
n2,1,0.351509,0.868002,[40 19] ; [9 2],[41.3 17.7] ; [7.7 3.3],0
b4,1,0.399396,0.710144,[166 101] ; [25 20],[163.45192308 103.54807692] ; [27.54807692 17.45192308],0
a4,1,0.433358,0.613806,[159 108] ; [24 21],[156.60576923 110.39423077] ; [26.39423077 18.60576923],0
a3,1,0.440292,0.595522,[218  48] ; [39  6],[219.81350482  46.18649518] ; [37.18649518  7.81350482],0
p2,1,0.457505,0.551991,[226  41] ; [40  5],[227.63461538  39.36538462] ; [38.36538462  6.63461538],0
b3,1,0.465861,0.531777,[67 98] ; [17 19],[68.95522388 96.04477612] ; [15.04477612 20.95522388],0
b2,1,0.465861,0.531777,[67 98] ; [17 19],[68.95522388 96.04477612] ; [15.04477612 20.95522388],0
u3,1,0.536564,0.381944,[35 14] ; [5 1],[35.63636364 13.36363636] ; [4.36363636 1.63636364],0
d4,1,0.537638,0.379934,[261   3] ; [43  1],[260.57142857   3.42857143] ; [43.42857143  0.57142857],0
r1,1,0.611442,0.25808,[229  37] ; [40  5],[230.07717042  35.92282958] ; [38.92282958  6.07717042],0
b1,1,0.614251,0.25403,[108 159] ; [20 25],[109.53846154 157.46153846] ; [18.46153846 26.53846154],0
s4,1,0.645447,0.211689,[ 61 203] ; [ 9 36],[ 59.80582524 204.19417476] ; [10.19417476 34.80582524],0
d3,1,0.651076,0.204547,[236  30] ; [38  6],[235.10967742  30.89032258] ; [38.89032258  5.10967742],0
a8,1,0.66997,0.181637,[ 34 212] ; [ 7 36],[ 34.89965398 211.10034602] ; [ 6.10034602 36.89965398],0
u2,1,0.723974,0.124717,[36 13] ; [4 2],[35.63636364 13.36363636] ; [4.36363636 1.63636364],0
u1,1,0.727202,0.121697,[ 78 189] ; [12 33],[ 77.01923077 189.98076923] ; [12.98076923 32.01923077],0
d2,1,0.768791,0.086411,[199  67] ; [32 12],[198.21290323  67.78709677] ; [32.78709677 11.21290323],0
r4,1,0.78016,0.077903,[246  21] ; [42  3],[246.46153846  20.53846154] ; [41.53846154  3.46153846],0
d5,1,0.785189,0.074291,[257   8] ; [43  1],[257.2815534   7.7184466] ; [42.7184466  1.2815534],0
a5,1,0.828833,0.046742,[223  44] ; [37  8],[222.5  44.5] ; [37.5  7.5],0
a7,1,0.857672,0.032162,[205  62] ; [34 11],[204.52884615  62.47115385] ; [34.47115385 10.52884615],0
