Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,60.475598,[89 16] ; [ 94 145],[55.85755814 49.14244186] ; [127.14244186 111.85755814],1
p12,1,6e-06,20.35871,[16 90] ; [  6 241],[ 6.60623229 99.39376771] ; [ 15.39376771 231.60623229],1
v1,1,8e-06,19.879199,[72 34] ; [102 141],[52.84813754 53.15186246] ; [121.15186246 121.84813754],1
d1,1,0.00154,10.029578,[70 38] ; [116 133],[56.26890756 51.73109244] ; [129.73109244 119.26890756],0
d2,1,0.005234,7.796849,[54 52] ; [ 87 161],[42.22033898 63.77966102] ; [ 98.77966102 149.22033898],0
v4,1,0.006592,7.38088,[107   1] ; [227  21],[101.3258427   6.6741573] ; [232.6741573  15.3258427],0
r4,1,0.009491,6.727935,[103   5] ; [214  35],[95.89915966 12.10084034] ; [221.10084034  27.89915966],0
a2,1,0.010674,6.51884,[25 83] ; [ 31 218],[16.94117647 91.05882353] ; [ 39.05882353 209.94117647],0
n4,1,0.013549,6.095997,[86 21] ; [168  81],[76.34269663 30.65730337] ; [177.65730337  71.34269663],0
a3,1,0.015839,5.820619,[75 33] ; [139 110],[64.7394958 43.2605042] ; [149.2605042  99.7394958],0
r2,1,0.027239,4.875602,[103   4] ; [219  27],[97.60339943  9.39660057] ; [224.39660057  21.60339943],0
p10,1,0.039327,4.246691,[92 14] ; [190  56],[84.92045455 21.07954545] ; [197.07954545  48.92045455],0
a7,1,0.042738,4.105739,[84 22] ; [171  78],[76.14084507 29.85915493] ; [178.85915493  70.14084507],0
p3,1,0.049002,3.875269,[53 54] ; [ 95 153],[44.6084507 62.3915493] ; [103.3915493 144.6084507],0
a4,1,0.055927,3.654219,[49 59] ; [ 86 162],[40.95505618 67.04494382] ; [ 94.04494382 153.95505618],0
n5,1,0.05798,3.594238,[82 25] ; [163  82],[74.47443182 32.52556818] ; [170.52556818  74.47443182],0
r1,1,0.063708,3.438135,[89 19] ; [181  66],[82.14084507 25.85915493] ; [187.85915493  59.14084507],0
