Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,121.592603,[280 101] ; [ 46 140],[219.05820106 161.94179894] ; [106.94179894  79.05820106],1
p6,1,0.0,62.568564,[196 186] ; [ 31 155],[152.66549296 229.33450704] ; [ 74.33450704 111.66549296],1
p3,1,0.0,40.566319,[247 137] ; [ 67 119],[211.53684211 172.46315789] ; [102.46315789  83.53684211],1
p4,1,0.0,37.973737,[285  99] ; [90 97],[252.18914186 131.81085814] ; [122.81085814  64.18914186],1
p2,1,0.0,35.087643,[356  28] ; [140  47],[333.56217163  50.43782837] ; [162.43782837  24.56217163],1
s5,1,2.7e-05,17.597635,[149 227] ; [ 37 136],[127.38797814 248.61202186] ; [ 58.61202186 114.38797814],1
p5,1,6.4e-05,15.97556,[ 68 316] ; [ 10 175],[ 52.6397188 331.3602812] ; [ 25.3602812 159.6397188],1
s7,1,0.000176,14.066426,[214 156] ; [ 73 106],[193.42440801 176.57559199] ; [93.57559199 85.42440801],1
p10,1,0.000375,12.652852,[348  34] ; [150  36],[334.92253521  47.07746479] ; [163.07746479  22.92253521],1
s8,1,0.000793,11.25691,[201 181] ; [ 70 116],[182.25704225 199.74295775] ; [88.74295775 97.25704225],1
d5,1,0.003674,8.438126,[331  53] ; [143  44],[318.76707531  65.23292469] ; [155.23292469  31.76707531],0
p9,1,0.004514,8.064354,[351  32] ; [154  30],[341.11992945  41.88007055] ; [163.88007055  20.11992945],0
v1,1,0.004976,7.888022,[232 145] ; [86 90],[216.7920434 160.2079566] ; [101.2079566  74.7920434],0
b5,1,0.00757,7.132496,[215 171] ; [126  61],[229.71378709 156.28621291] ; [111.28621291  75.71378709],0
r1,1,0.009355,6.753768,[325  58] ; [142  45],[313.79122807  69.20877193] ; [153.20877193  33.79122807],0
v2,1,0.015652,5.841503,[234 140] ; [91 85],[221. 153.] ; [104.  72.],0
b4,1,0.018431,5.554711,[214 172] ; [123  64],[227.01919721 158.98080279] ; [109.98080279  77.01919721],0
v3,1,0.021469,5.288326,[175 201] ; [ 64 113],[162.50271248 213.49728752] ; [ 76.49728752 100.50271248],0
s2,1,0.027178,4.879469,[208 174] ; [ 81 101],[195.74113475 186.25886525] ; [93.25886525 88.74113475],0
d3,1,0.032754,4.558591,[273 112] ; [116  71],[261.82692308 123.17307692] ; [127.17307692  59.82692308],0
s6,1,0.03835,4.289434,[265 110] ; [114  70],[254.24865832 120.75134168] ; [124.75134168  59.24865832],0
r4,1,0.041613,4.150863,[360  26] ; [165  22],[353.66492147  32.33507853] ; [171.33507853  15.66492147],0
v4,1,0.043388,4.080234,[370  11] ; [174  12],[365.54497354  15.45502646] ; [178.45502646   7.54497354],0
b1,1,0.051436,3.794008,[152 234] ; [ 58 129],[141.46596859 244.53403141] ; [ 68.53403141 118.46596859],0
d1,1,0.053543,3.726876,[249 137] ; [105  82],[238.47120419 147.52879581] ; [115.52879581  71.47120419],0
a3,1,0.059247,3.558334,[294  91] ; [129  58],[284.71153846 100.28846154] ; [138.28846154  48.71153846],0
s3,1,0.074095,3.18989,[228 151] ; [95 87],[218.21212121 160.78787879] ; [104.78787879  77.21212121],0
a2,1,0.074317,3.185001,[105 281] ; [ 38 149],[ 96.33158813 289.66841187] ; [ 46.66841187 140.33158813],0
n5,1,0.088779,2.896371,[338  46] ; [154  32],[331.45263158  52.54736842] ; [160.54736842  25.45263158],0
a1,1,0.129464,2.298922,[ 24 362] ; [  6 181],[ 20.20942408 365.79057592] ; [  9.79057592 177.20942408],0
r2,1,0.163461,1.941915,[362  16] ; [173  13],[358.56382979  19.43617021] ; [176.43617021   9.56382979],0
d4,1,0.175625,1.834261,[325  59] ; [149  37],[319.32631579  64.67368421] ; [154.67368421  31.32631579],0
a8,1,0.197418,1.661371,[ 62 288] ; [ 23 150],[ 56.8833652 293.1166348] ; [ 28.1166348 144.8833652],0
n3,1,0.213163,1.549814,[44 15] ; [34  6],[46.48484848 12.51515152] ; [31.51515152  8.48484848],0
u3,1,0.289074,1.123929,[49 43] ; [36 22],[52.13333333 39.86666667] ; [32.86666667 25.13333333],0
p1,1,0.392439,0.73137,[ 42 343] ; [ 16 170],[ 39.10683012 345.89316988] ; [ 18.89316988 167.10683012],0
r3,1,0.442037,0.590989,[373  10] ; [178   7],[371.53697183  11.46302817] ; [179.46302817   5.53697183],0
u1,1,0.467177,0.528646,[ 78 308] ; [ 33 154],[ 74.77486911 311.22513089] ; [ 36.22513089 150.77486911],0
u2,1,0.514525,0.424855,[51 39] ; [36 22],[52.90540541 37.09459459] ; [34.09459459 23.90540541],0
s4,1,0.526738,0.40068,[ 57 322] ; [ 24 160],[ 54.52753108 324.47246892] ; [ 26.47246892 157.52753108],0
n1,1,0.532741,0.389161,[22 37] ; [17 22],[23.47959184 35.52040816] ; [15.52040816 23.47959184],0
s1,1,0.560737,0.338429,[ 11 370] ; [  7 177],[ 12.1380531 368.8619469] ; [  5.8619469 178.1380531],0
n6,1,0.561079,0.337839,[347  35] ; [167  20],[345.07557118  36.92442882] ; [168.92442882  18.07557118],0
d2,1,0.644324,0.213131,[195 190] ; [97 87],[197.57469244 187.42530756] ; [94.42530756 89.57469244],0
u4,1,0.653745,0.201212,[  8 377] ; [  5 182],[  8.75 376.25] ; [  4.25 182.75],0
a7,1,0.657276,0.19685,[276 109] ; [130  56],[273.74781086 111.25218914] ; [132.25218914  53.74781086],0
b2,1,0.673302,0.177764,[108 157] ; [45 72],[106.13874346 158.86125654] ; [46.86125654 70.13874346],0
b3,1,0.673302,0.177764,[108 157] ; [45 72],[106.13874346 158.86125654] ; [46.86125654 70.13874346],0
p12,1,0.818159,0.05286,[ 39 344] ; [ 20 165],[ 39.7834507 343.2165493] ; [ 19.2165493 165.7834507],0
a6,1,0.848779,0.036358,[266 118] ; [131  56],[266.98423818 117.01576182] ; [130.01576182  56.98423818],0
a5,1,0.868645,0.02735,[299  87] ; [146  41],[299.77312391  86.22687609] ; [145.22687609  41.77312391],0
a4,1,0.869358,0.027052,[182 202] ; [90 97],[182.92119089 201.07880911] ; [89.07880911 97.92119089],0
n2,1,0.884848,0.020975,[45 14] ; [30 10],[44.6969697 14.3030303] ; [30.3030303  9.6969697],0
