Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.001146,10.575777,[10  8] ; [99 15],[14.86363636  3.13636364] ; [94.13636364 19.86363636],0
s6,1,0.013746,6.07053,[14  3] ; [57 56],[9.28461538 7.71538462] ; [61.71538462 51.28461538],0
a7,1,0.014127,6.022174,[9 9] ; [89 26],[13.26315789  4.73684211] ; [84.73684211 30.26315789],0
p7,1,0.014245,6.007472,[11  7] ; [97 17],[14.72727273  3.27272727] ; [93.27272727 20.72727273],0
n5,1,0.019821,5.427632,[9 9] ; [87 27],[13.09090909  4.90909091] ; [82.90909091 31.09090909],0
p9,1,0.027198,4.878184,[13  5] ; [104  11],[15.83458647  2.16541353] ; [101.16541353  13.83458647],0
n4,1,0.05616,3.647318,[11  7] ; [94 22],[14.10447761  3.89552239] ; [90.89552239 25.10447761],0
a5,1,0.123583,2.371317,[10  8] ; [85 31],[12.76119403  5.23880597] ; [82.23880597 33.76119403],0
u1,1,0.125146,2.3517,[ 1 17] ; [24 92],[ 3.35820896 14.64179104] ; [21.64179104 94.35820896],0
a6,1,0.15381,2.034053,[9 9] ; [78 38],[11.68656716  6.31343284] ; [75.31343284 40.68656716],0
r1,1,0.156678,2.005998,[11  7] ; [89 27],[13.43283582  4.56716418] ; [86.56716418 29.43283582],0
s8,1,0.161852,1.956841,[9 8] ; [41 75],[ 6.39097744 10.60902256] ; [43.60902256 72.39097744],0
p11,1,0.163014,1.946045,[12  6] ; [94 22],[14.23880597  3.76119403] ; [91.76119403 24.23880597],0
p4,1,0.163014,1.946045,[12  6] ; [94 22],[14.23880597  3.76119403] ; [91.76119403 24.23880597],0
d5,1,0.205909,1.599957,[13  5] ; [97 18],[14.88721805  3.11278195] ; [95.11278195 19.88721805],0
a2,1,0.243583,1.359736,[ 2 16] ; [27 89],[ 3.89552239 14.10447761] ; [25.10447761 90.89552239],0
s5,1,0.261628,1.260121,[7 9] ; [34 80],[ 5.04615385 10.95384615] ; [35.95384615 78.04615385],0
a3,1,0.270565,1.213882,[10  8] ; [79 36],[12.04511278  5.95488722] ; [76.95488722 38.04511278],0
s2,1,0.279315,1.17042,[ 6 12] ; [25 90],[ 4.19548872 13.80451128] ; [26.80451128 88.19548872],0
p8,1,0.281903,1.157895,[10  8] ; [78 36],[12.  6.] ; [76. 38.],0
s4,1,0.377053,0.780288,[ 4 14] ; [16 97],[ 2.7480916 15.2519084] ; [17.2519084 95.7480916],0
p3,1,0.455777,0.556245,[10  8] ; [75 41],[11.41791045  6.58208955] ; [73.58208955 42.41791045],0
d2,1,0.474712,0.510988,[ 6 12] ; [49 67],[ 7.3880597 10.6119403] ; [47.6119403 68.3880597],0
n2,1,0.515252,0.423387,[3 1] ; [18 13],[2.4 1.6] ; [18.6 12.4],0
d3,1,0.538569,0.378199,[11  7] ; [78 36],[12.13636364  5.86363636] ; [76.86363636 37.13636364],0
a4,1,0.54358,0.368945,[ 7 11] ; [54 62],[8.19402985 9.80597015] ; [52.80597015 63.19402985],0
b4,1,0.561942,0.336353,[12  6] ; [69 47],[10.88059701  7.11940299] ; [70.11940299 45.88059701],0
v1,1,0.597766,0.278378,[10  8] ; [72 44],[11.01492537  6.98507463] ; [70.98507463 45.01492537],0
d1,1,0.681805,0.168101,[9 9] ; [64 52],[9.80597015 8.19402985] ; [63.19402985 52.80597015],0
b2,1,0.693489,0.155335,[6 9] ; [31 37],[6.68674699 8.31325301] ; [30.31325301 37.68674699],0
b3,1,0.693489,0.155335,[6 9] ; [31 37],[6.68674699 8.31325301] ; [30.31325301 37.68674699],0
b1,1,0.707466,0.140821,[ 6 12] ; [44 72],[ 6.71641791 11.28358209] ; [43.28358209 72.71641791],0
p5,1,0.756209,0.096387,[ 2 16] ; [ 16 100],[ 2.41791045 15.58208955] ; [ 15.58208955 100.41791045],0
n1,1,0.768542,0.086602,[1 3] ; [10 21],[1.25714286 2.74285714] ; [ 9.74285714 21.25714286],0
n3,1,0.816297,0.053968,[3 1] ; [24  6],[3.17647059 0.82352941] ; [23.82352941  6.17647059],0
u3,1,0.828353,0.047009,[5 3] ; [21 15],[4.72727273 3.27272727] ; [21.27272727 14.72727273],0
n6,1,0.829104,0.046592,[16  2] ; [101  15],[15.71641791  2.28358209] ; [101.28358209  14.71641791],0
b5,1,0.86785,0.027686,[12  6] ; [75 41],[11.68656716  6.31343284] ; [75.31343284 40.68656716],0
u2,1,0.873528,0.025338,[5 3] ; [22 15],[4.8 3.2] ; [22.2 14.8],0
s7,1,0.912551,0.012061,[ 7 10] ; [46 62],[7.208 9.792] ; [45.792 62.208],0
r4,1,0.921226,0.009779,[16  2] ; [104  12],[16.11940299  1.88059701] ; [103.88059701  12.11940299],0
p12,1,0.92974,0.007774,[ 1 17] ; [  7 108],[ 1.08270677 16.91729323] ; [  6.91729323 108.08270677],0
a8,1,0.937096,0.006228,[ 2 15] ; [11 88],[ 1.90517241 15.09482759] ; [11.09482759 87.90517241],0
r3,1,0.945808,0.00462,[17  1] ; [110   6],[17.05970149  0.94029851] ; [109.94029851   6.05970149],0
v3,1,0.950672,0.003827,[ 7 11] ; [46 70],[ 7.11940299 10.88059701] ; [45.88059701 70.11940299],0
v2,1,0.958776,0.002672,[10  7] ; [69 47],[10.09774436  6.90225564] ; [68.90225564 47.09774436],0
d4,1,0.985526,0.000329,[14  4] ; [90 26],[13.97014925  4.02985075] ; [90.02985075 25.97014925],0
