Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,9.3e-05,15.271852,[ 2 22] ; [27 21],[ 9.66666667 14.33333333] ; [19.33333333 28.66666667],1
s2,1,0.000123,14.739938,[ 5 19] ; [33 15],[12.66666667 11.33333333] ; [25.33333333 22.66666667],1
s7,1,0.000678,11.548925,[ 3 18] ; [26 18],[ 9.36923077 11.63076923] ; [19.63076923 24.36923077],1
s5,1,0.000703,11.48107,[ 2 22] ; [23 24],[ 8.45070423 15.54929577] ; [16.54929577 30.45070423],1
p4,1,0.003886,8.336373,[ 5 16] ; [29 18],[10.5 10.5] ; [23.5 23.5],0
s3,1,0.009932,6.647122,[ 5 18] ; [26 22],[10.04225352 12.95774648] ; [20.95774648 27.04225352],0
r4,1,0.013803,6.063158,[15  9] ; [42  6],[19.  5.] ; [38. 10.],0
r1,1,0.013803,6.063158,[15  9] ; [42  6],[19.  5.] ; [38. 10.],0
r3,1,0.017167,5.67927,[16  8] ; [43  5],[19.66666667  4.33333333] ; [39.33333333  8.66666667],0
p3,1,0.029137,4.759482,[ 5 18] ; [23 24],[ 9.2 13.8] ; [18.8 28.2],0
v1,1,0.030197,4.698069,[ 8 16] ; [29 19],[12.33333333 11.66666667] ; [24.66666667 23.33333333],0
p7,1,0.035979,4.39811,[ 6 16] ; [25 21],[10.02941176 11.97058824] ; [20.97058824 25.02941176],0
p10,1,0.048399,3.896084,[10 13] ; [32 15],[13.8  9.2] ; [28.2 18.8],0
v4,1,0.063431,3.445313,[19  5] ; [45  3],[21.33333333  2.66666667] ; [42.66666667  5.33333333],0
u1,1,0.064782,3.410526,[ 2 22] ; [13 35],[ 5. 19.] ; [10. 38.],0
n6,1,0.070798,3.26441,[14 10] ; [37 10],[17.23943662  6.76056338] ; [33.76056338 13.23943662],0
p2,1,0.101934,2.675028,[11 12] ; [32 15],[14.12857143  8.87142857] ; [28.87142857 18.12857143],0
d4,1,0.140506,2.172414,[17  7] ; [41  7],[19.33333333  4.66666667] ; [38.66666667  9.33333333],0
d5,1,0.169582,1.886631,[16  8] ; [39  9],[18.33333333  5.66666667] ; [36.66666667 11.33333333],0
u2,1,0.177895,1.815126,[2 5] ; [10  7],[3.5 3.5] ; [8.5 8.5],0
s1,1,0.199002,1.649686,[ 3 21] ; [ 2 45],[ 1.69014085 22.30985915] ; [ 3.30985915 43.69014085],0
n5,1,0.224572,1.474916,[13 11] ; [33 15],[15.33333333  8.66666667] ; [30.66666667 17.33333333],0
a2,1,0.248213,1.333333,[ 4 20] ; [14 34],[ 6. 18.] ; [12. 36.],0
p9,1,0.265806,1.238262,[12 11] ; [31 16],[14.12857143  8.87142857] ; [28.87142857 18.12857143],0
a4,1,0.310494,1.028571,[ 8 16] ; [22 26],[10. 14.] ; [20. 28.],0
b1,1,0.317311,1.0,[10 14] ; [26 22],[12. 12.] ; [24. 24.],0
v2,1,0.332997,0.937208,[13 11] ; [31 16],[14.87323944  9.12676056] ; [29.12676056 17.87323944],0
a3,1,0.341404,0.905151,[17  6] ; [30 18],[15.22535211  7.77464789] ; [31.77464789 16.22535211],0
a5,1,0.365712,0.818182,[15  9] ; [35 13],[16.66666667  7.33333333] ; [33.33333333 14.66666667],0
p6,1,0.368688,0.808081,[ 5 17] ; [16 32],[ 6.6 15.4] ; [14.4 33.6],0
n3,1,0.447613,0.576689,[4 3] ; [11  4],[4.77272727 2.22727273] ; [10.22727273  4.77272727],0
n4,1,0.45675,0.553846,[16  8] ; [36 12],[17.33333333  6.66666667] ; [34.66666667 13.33333333],0
d3,1,0.45675,0.553846,[16  8] ; [36 12],[17.33333333  6.66666667] ; [34.66666667 13.33333333],0
a7,1,0.474667,0.511091,[15  9] ; [34 14],[16.33333333  7.66666667] ; [32.66666667 15.33333333],0
b5,1,0.595883,0.28125,[15  9] ; [33 15],[16.  8.] ; [32. 16.],0
d1,1,0.617075,0.25,[11 13] ; [25 23],[12. 12.] ; [24. 24.],0
u3,1,0.653368,0.201681,[3 4] ; [9 8],[3.5 3.5] ; [8.5 8.5],0
a6,1,0.733993,0.115477,[15  9] ; [28 20],[14.33333333  9.66666667] ; [28.66666667 19.33333333],0
d2,1,0.738494,0.111455,[12 12] ; [26 22],[12.66666667 11.33333333] ; [25.33333333 22.66666667],0
a1,1,0.778492,0.079121,[ 2 22] ; [ 5 43],[ 2.33333333 21.66666667] ; [ 4.66666667 43.33333333],0
n2,1,0.841616,0.039931,[5 3] ; [10  5],[5.2173913 2.7826087] ; [9.7826087 5.2173913],0
p8,1,0.916289,0.011048,[ 9 13] ; [19 29],[ 8.8 13.2] ; [19.2 28.8],0
b3,1,0.961245,0.002361,[3 7] ; [ 7 17],[2.94117647 7.05882353] ; [ 7.05882353 16.94117647],0
b2,1,0.961245,0.002361,[3 7] ; [ 7 17],[2.94117647 7.05882353] ; [ 7.05882353 16.94117647],0
p1,1,0.979729,0.000646,[ 2 22] ; [ 4 43],[ 2.02816901 21.97183099] ; [ 3.97183099 43.02816901],0
b4,1,1.0,0.0,[16  8] ; [32 16],[16.  8.] ; [32. 16.],0
s4,1,1.0,0.0,[ 4 20] ; [ 8 40],[ 4. 20.] ; [ 8. 40.],0
n1,1,1.0,0.0,[2 5] ; [ 4 10],[2. 5.] ; [ 4. 10.],0
