Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-06,22.421389,[88 95] ; [26 96],[ 68.4 114.6] ; [45.6 76.4],1
r3,1,0.00017,14.131653,[167  14] ; [94 28],[155.91089109  25.08910891] ; [105.08910891  16.91089109],1
r4,1,0.000182,14.013193,[155  28] ; [81 41],[141.6  41.4] ; [94.4 27.6],1
d5,1,0.000301,13.061924,[115  68] ; [51 71],[99.6 83.4] ; [66.4 55.6],1
p2,1,0.001179,10.523006,[143  39] ; [75 47],[130.51315789  51.48684211] ; [87.48684211 34.51315789],0
a6,1,0.008494,6.926196,[112  71] ; [56 66],[100.8  82.2] ; [67.2 54.8],0
p9,1,0.009105,6.802109,[140  38] ; [78 42],[130.2147651  47.7852349] ; [87.7852349 32.2147651],0
b2,1,0.009406,6.744157,[17 76] ; [27 48],[24.35714286 68.64285714] ; [19.64285714 55.35714286],0
b3,1,0.009406,6.744157,[17 76] ; [27 48],[24.35714286 68.64285714] ; [19.64285714 55.35714286],0
r2,1,0.014153,6.018953,[162  19] ; [96 25],[154.62913907  26.37086093] ; [103.37086093  17.62913907],0
p10,1,0.015604,5.846992,[131  47] ; [73 48],[121.44481605  56.55518395] ; [82.55518395 38.44481605],0
r1,1,0.018462,5.551759,[129  52] ; [71 51],[119.47194719  61.52805281] ; [80.52805281 41.47194719],0
b5,1,0.030633,4.673416,[110  73] ; [58 64],[100.8  82.2] ; [67.2 54.8],0
s6,1,0.038849,4.267478,[106  73] ; [57 64],[97.25666667 81.74333333] ; [65.74333333 55.25666667],0
d2,1,0.0539,3.715805,[ 24 159] ; [26 95],[ 30.09868421 152.90131579] ; [ 19.90131579 101.09868421],0
v4,1,0.062362,3.473435,[163  17] ; [100  20],[157.8  22.2] ; [105.2  14.8],0
u3,1,0.075355,3.162343,[44 38] ; [21 34],[38.90510949 43.09489051] ; [26.09489051 28.90510949],0
d4,1,0.099513,2.713326,[109  74] ; [61 61],[102.  81.] ; [68. 54.],0
p12,1,0.102988,2.658648,[  3 177] ; [  6 116],[  5.36423841 174.63576159] ; [  3.63576159 118.36423841],0
p8,1,0.116721,2.460782,[ 72 108] ; [38 84],[ 65.56291391 114.43708609] ; [44.43708609 77.56291391],0
a8,1,0.145381,2.120059,[ 25 147] ; [ 10 104],[ 21.04895105 150.95104895] ; [ 13.95104895 100.04895105],0
v2,1,0.157429,1.998745,[74 99] ; [40 76],[ 68.24221453 104.75778547] ; [45.75778547 70.24221453],0
a5,1,0.157979,1.993464,[108  75] ; [62 60],[102.  81.] ; [68. 54.],0
s1,1,0.182244,1.779227,[  7 172] ; [  9 112],[  9.54666667 169.45333333] ; [  6.45333333 114.54666667],0
a2,1,0.279693,1.168582,[ 11 172] ; [  4 118],[  9. 174.] ; [  6. 116.],0
a1,1,0.279693,1.168582,[  7 176] ; [  8 114],[  9. 174.] ; [  6. 116.],0
p7,1,0.29358,1.103129,[86 92] ; [51 70],[81.55852843 96.44147157] ; [55.44147157 65.55852843],0
s7,1,0.364005,0.82403,[ 52 120] ; [42 77],[ 55.56013746 116.43986254] ; [38.43986254 80.56013746],0
u1,1,0.380155,0.770202,[  6 177] ; [  2 120],[  4.8 178.2] ; [  3.2 118.8],0
n6,1,0.39026,0.738131,[136  46] ; [85 36],[132.74587459  49.25412541] ; [88.25412541 32.74587459],0
b4,1,0.423302,0.641129,[106  77] ; [65 57],[102.6  80.4] ; [68.4 53.6],0
n3,1,0.505142,0.444117,[32 10] ; [30 13],[30.63529412 11.36470588] ; [31.36470588 11.63529412],0
s8,1,0.509301,0.435503,[ 46 136] ; [35 87],[ 48.49342105 133.50657895] ; [32.50657895 89.49342105],0
v1,1,0.524355,0.405319,[78 99] ; [48 71],[ 75.34459459 101.65540541] ; [50.65540541 68.34459459],0
p4,1,0.549852,0.357582,[ 72 109] ; [44 77],[ 69.52317881 111.47682119] ; [46.47682119 74.52317881],0
n4,1,0.56877,0.324745,[120  61] ; [77 45],[117.67986799  63.32013201] ; [79.32013201 42.67986799],0
s5,1,0.575256,0.313967,[ 41 138] ; [24 95],[ 39.04362416 139.95637584] ; [25.95637584 93.04362416],0
p11,1,0.580852,0.304859,[127  56] ; [81 41],[124.8  58.2] ; [83.2 38.8],0
n5,1,0.642864,0.215016,[118  63] ; [82 39],[119.86754967  61.13245033] ; [80.13245033 40.86754967],0
s3,1,0.652524,0.202732,[89 90] ; [56 63],[87.09731544 91.90268456] ; [57.90268456 61.09731544],0
s2,1,0.682645,0.167164,[ 67 114] ; [42 79],[ 65.32781457 115.67218543] ; [43.67218543 77.32781457],0
n2,1,0.714907,0.133425,[34  8] ; [35 10],[33.31034483  8.68965517] ; [35.68965517  9.31034483],0
p5,1,0.73365,0.115787,[  9 172] ; [  5 116],[  8.39072848 172.60927152] ; [  5.60927152 115.39072848],0
s4,1,0.744458,0.106247,[ 34 148] ; [ 21 101],[ 32.92763158 149.07236842] ; [22.07236842 99.92763158],0
n1,1,0.845377,0.038033,[15 26] ; [17 27],[15.43529412 25.56470588] ; [16.56470588 27.43529412],0
v3,1,0.849487,0.036014,[ 52 128] ; [35 82],[ 52.72727273 127.27272727] ; [34.27272727 82.72727273],0
p1,1,0.87546,0.024563,[ 11 169] ; [  8 114],[ 11.32450331 168.67549669] ; [  7.67549669 114.32450331],0
p3,1,0.881545,0.022204,[ 60 123] ; [41 81],[ 60.6 122.4] ; [40.4 81.6],0
a3,1,0.907916,0.013379,[99 82] ; [67 54],[99.49006623 81.50993377] ; [66.50993377 54.49006623],0
b1,1,0.92417,0.00906,[ 74 109] ; [50 72],[ 74.4 108.6] ; [49.6 72.4],0
u2,1,0.927391,0.008304,[37 43] ; [25 30],[36.74074074 43.25925926] ; [25.25925926 29.74074074],0
a4,1,0.931168,0.007461,[ 41 141] ; [28 94],[ 41.30921053 140.69078947] ; [27.69078947 94.30921053],0
