Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.001087,10.672631,[34  7] ; [10 13],[28.1875 12.8125] ; [15.8125  7.1875],0
u1,1,0.001855,9.687612,[17 25] ; [ 1 22],[11.63076923 30.36923077] ; [ 6.36923077 16.63076923],0
r4,1,0.012082,6.298814,[38  4] ; [15  8],[34.24615385  7.75384615] ; [18.75384615  4.24615385],0
d4,1,0.01383,6.059688,[39  2] ; [17  6],[35.875  5.125] ; [20.125  2.875],0
a6,1,0.032017,4.597587,[29 12] ; [10 13],[24.984375 16.015625] ; [14.015625  8.984375],0
p5,1,0.034747,4.457567,[ 2 40] ; [ 5 18],[ 4.52307692 37.47692308] ; [ 2.47692308 20.52307692],0
s5,1,0.074586,3.179086,[10 29] ; [11 12],[13.20967742 25.79032258] ; [ 7.79032258 15.20967742],0
b4,1,0.077958,3.106974,[31 11] ; [12 11],[27.78461538 14.21538462] ; [15.21538462  7.78461538],0
r1,1,0.078125,3.103484,[34  8] ; [14  9],[31.01538462 10.98461538] ; [16.98461538  6.01538462],0
b1,1,0.078213,3.101646,[16 26] ; [14  9],[19.38461538 22.61538462] ; [10.61538462 12.38461538],0
v4,1,0.092569,2.829128,[40  2] ; [19  4],[38.12307692  3.87692308] ; [20.87692308  2.12307692],0
r2,1,0.098471,2.730135,[39  1] ; [20  3],[37.46031746  2.53968254] ; [21.53968254  1.46031746],0
b5,1,0.154125,2.030941,[31 11] ; [13 10],[28.43076923 13.56923077] ; [15.56923077  7.43076923],0
n6,1,0.163734,1.939394,[35  7] ; [15  7],[32.8125  9.1875] ; [17.1875  4.8125],0
a8,1,0.190787,1.711527,[10 25] ; [ 3 19],[ 7.98245614 27.01754386] ; [ 5.01754386 16.98245614],0
d5,1,0.214728,1.539258,[34  7] ; [16  7],[32.03125  8.96875] ; [17.96875  5.03125],0
a2,1,0.234211,1.415105,[13 29] ; [ 4 19],[10.98461538 31.01538462] ; [ 6.01538462 16.98461538],0
p3,1,0.2508,1.318841,[14 28] ; [11 12],[16.15384615 25.84615385] ; [ 8.84615385 14.15384615],0
p2,1,0.279773,1.168191,[31 11] ; [14  9],[29.07692308 12.92307692] ; [15.92307692  7.07692308],0
p8,1,0.289334,1.122719,[18 23] ; [ 7 16],[16.015625 24.984375] ; [ 8.984375 14.015625],0
p7,1,0.32608,0.964402,[19 21] ; [ 8 15],[17.14285714 22.85714286] ; [ 9.85714286 13.14285714],0
v2,1,0.332412,0.939478,[23 18] ; [10 13],[21.140625 19.859375] ; [11.859375 11.140625],0
n4,1,0.336662,0.923103,[32 10] ; [19  3],[33.46875  8.53125] ; [17.53125  4.46875],0
v3,1,0.339659,0.91172,[16 23] ; [ 6 15],[14.3 24.7] ; [ 7.7 13.3],0
n3,1,0.407626,0.685714,[6 6] ; [8 4],[7. 5.] ; [7. 5.],0
n1,1,0.407626,0.685714,[6 6] ; [8 4],[7. 5.] ; [7. 5.],0
r3,1,0.431954,0.617565,[39  3] ; [20  3],[38.12307692  3.87692308] ; [20.87692308  2.12307692],0
a3,1,0.46645,0.530372,[31 11] ; [15  8],[29.72307692 12.27692308] ; [16.27692308  6.72307692],0
n5,1,0.494523,0.46667,[27 15] ; [16  6],[28.21875 13.78125] ; [14.78125  7.21875],0
b2,1,0.516972,0.419929,[12 20] ; [8 9],[13.06122449 18.93877551] ; [ 6.93877551 10.06122449],0
b3,1,0.516972,0.419929,[12 20] ; [8 9],[13.06122449 18.93877551] ; [ 6.93877551 10.06122449],0
v1,1,0.534645,0.385555,[19 22] ; [12 10],[20.17460317 20.82539683] ; [10.82539683 11.17460317],0
s8,1,0.592421,0.28658,[23 19] ; [11 12],[21.96923077 20.03076923] ; [12.03076923 10.96923077],0
p6,1,0.599152,0.276277,[17 24] ; [ 8 15],[16.015625 24.984375] ; [ 8.984375 14.015625],0
a5,1,0.603902,0.269151,[30 12] ; [15  8],[29.07692308 12.92307692] ; [15.92307692  7.07692308],0
u3,1,0.635848,0.224213,[8 3] ; [5 3],[7.52631579 3.47368421] ; [5.47368421 2.52631579],0
s3,1,0.651826,0.203606,[30 11] ; [18  5],[30.75 10.25] ; [17.25  5.75],0
n2,1,0.653368,0.201681,[8 4] ; [9 3],[8.5 3.5] ; [8.5 3.5],0
a1,1,0.653886,0.201036,[ 3 39] ; [ 1 22],[ 2.58461538 39.41538462] ; [ 1.41538462 21.58461538],0
u4,1,0.653886,0.201036,[ 3 39] ; [ 1 22],[ 2.58461538 39.41538462] ; [ 1.41538462 21.58461538],0
p1,1,0.661598,0.191588,[ 4 38] ; [ 3 20],[ 4.52307692 37.47692308] ; [ 2.47692308 20.52307692],0
s2,1,0.667106,0.185006,[27 15] ; [16  7],[27.78461538 14.21538462] ; [15.21538462  7.78461538],0
p9,1,0.746096,0.104841,[22 17] ; [12 11],[21.38709677 17.61290323] ; [12.61290323 10.38709677],0
d1,1,0.814324,0.055155,[25 17] ; [13 10],[24.55384615 17.44615385] ; [13.44615385  9.55384615],0
s1,1,0.822255,0.050466,[ 3 39] ; [ 2 21],[ 3.23076923 38.76923077] ; [ 1.76923077 21.23076923],0
s4,1,0.838499,0.04154,[10 32] ; [ 6 17],[10.33846154 31.66153846] ; [ 5.66153846 17.33846154],0
p4,1,0.841378,0.040052,[23 19] ; [12 11],[22.61538462 19.38461538] ; [12.38461538 10.61538462],0
