Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,52.917922,[104   2] ; [12 14],[93.15151515 12.84848485] ; [22.84848485  3.15151515],1
r1,1,0.0,48.071259,[90 15] ; [ 5 22],[75.56818182 29.43181818] ; [19.43181818  7.56818182],1
r3,1,0.0,29.277213,[104   2] ; [17  9],[97.16666667  8.83333333] ; [23.83333333  2.16666667],1
a7,1,0.000437,12.365424,[79 27] ; [10 16],[71.46969697 34.53030303] ; [17.53030303  8.46969697],1
d5,1,0.002705,8.996785,[82 24] ; [13 14],[75.71428571 30.28571429] ; [19.28571429  7.71428571],0
a5,1,0.003786,8.383791,[68 38] ; [ 9 18],[61.36842105 44.63157895] ; [15.63157895 11.36842105],0
u3,1,0.005478,7.714609,[21 15] ; [ 3 14],[16.30188679 19.69811321] ; [7.69811321 9.30188679],0
a6,1,0.006833,7.316416,[73 33] ; [11 16],[66.94736842 39.05263158] ; [17.05263158  9.94736842],0
a3,1,0.009915,6.650106,[70 36] ; [10 16],[64.24242424 41.75757576] ; [15.75757576 10.24242424],0
d2,1,0.022281,5.223744,[55 51] ; [ 7 19],[49.78787879 56.21212121] ; [12.21212121 13.78787879],0
b1,1,0.029306,4.749536,[42 64] ; [17 10],[47.02255639 58.97744361] ; [11.97744361 15.02255639],0
p8,1,0.042001,4.135174,[45 58] ; [ 6 21],[40.40769231 62.59230769] ; [10.59230769 16.40769231],0
d3,1,0.056108,3.648839,[72 34] ; [13 14],[67.7443609 38.2556391] ; [17.2556391  9.7443609],0
a2,1,0.062086,3.480762,[25 81] ; [ 2 25],[21.51879699 84.48120301] ; [ 5.48120301 21.51879699],0
v4,1,0.064553,3.416355,[100   5] ; [23  4],[97.84090909  7.15909091] ; [25.15909091  1.84090909],0
u1,1,0.064954,3.406139,[19 87] ; [ 1 26],[15.93984962 90.06015038] ; [ 4.06015038 22.93984962],0
