Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,62.139114,[107   9] ; [ 2 14],[95.78787879 20.21212121] ; [13.21212121  2.78787879],1
n5,1,7.9e-05,15.576131,[90 25] ; [ 5 11],[83.39694656 31.60305344] ; [11.60305344  4.39694656],1
p4,1,0.001639,9.915402,[98 19] ; [8 8],[93.2481203 23.7518797] ; [12.7518797  3.2481203],0
a5,1,0.001884,9.65968,[88 29] ; [ 6 10],[82.69172932 34.30827068] ; [11.30827068  4.69172932],0
p11,1,0.00246,9.169801,[97 20] ; [8 8],[92.36842105 24.63157895] ; [12.63157895  3.36842105],0
v4,1,0.003257,8.657533,[116   1] ; [14  2],[114.36090226   2.63909774] ; [15.63909774  0.36090226],0
n4,1,0.00359,8.480412,[96 21] ; [8 8],[91.4887218 25.5112782] ; [12.5112782  3.4887218],0
b1,1,0.004787,7.958111,[38 79] ; [11  5],[43.10526316 73.89473684] ; [ 5.89473684 10.10526316],0
d4,1,0.005105,7.84175,[95 22] ; [8 8],[90.60902256 26.39097744] ; [12.39097744  3.60902256],0
a3,1,0.00829,6.969828,[82 34] ; [ 6 10],[77.33333333 38.66666667] ; [10.66666667  5.33333333],0
v1,1,0.009555,6.716085,[76 41] ; [ 5 11],[71.2556391 45.7443609] ; [9.7443609 6.2556391],0
d1,1,0.012644,6.218231,[68 49] ; [ 4 12],[63.33834586 53.66165414] ; [8.66165414 7.33834586],0
n6,1,0.018329,5.564472,[105  12] ; [11  5],[102.04511278  14.95488722] ; [13.95488722  2.04511278],0
p3,1,0.023302,5.145833,[78 39] ; [ 6 10],[73.89473684 43.10526316] ; [10.10526316  5.89473684],0
d5,1,0.023925,5.100037,[99 17] ; [10  6],[95.78787879 20.21212121] ; [13.21212121  2.78787879],0
p2,1,0.027198,4.878184,[104  13] ; [11  5],[101.16541353  15.83458647] ; [13.83458647  2.16541353],0
s8,1,0.042816,4.10265,[47 70] ; [ 2 13],[43.43181818 73.56818182] ; [5.56818182 9.43181818],0
r4,1,0.044289,4.0455,[107  10] ; [12  4],[104.68421053  12.31578947] ; [14.31578947  1.68421053],0
a6,1,0.052091,3.772859,[80 37] ; [7 9],[76.53383459 40.46616541] ; [10.46616541  5.53383459],0
v3,1,0.075347,3.16252,[49 68] ; [ 3 13],[45.7443609 71.2556391] ; [6.2556391 9.7443609],0
r1,1,0.075407,3.161212,[90 27] ; [9 7],[87.09022556 29.90977444] ; [11.90977444  4.09022556],0
s6,1,0.083466,2.996081,[65 49] ; [ 5 10],[61.86046512 52.13953488] ; [8.13953488 6.86046512],0
s5,1,0.102591,2.664793,[39 75] ; [ 2 13],[36.23255814 77.76744186] ; [ 4.76744186 10.23255814],0
p8,1,0.131402,2.275862,[80 36] ; [8 8],[77.33333333 38.66666667] ; [10.66666667  5.33333333],0
b4,1,0.133856,2.247207,[74 43] ; [7 9],[71.2556391 45.7443609] ; [9.7443609 6.2556391],0
u3,1,0.162465,1.951131,[22 12] ; [4 6],[20.09090909 13.90909091] ; [5.90909091 4.09090909],0
r3,1,0.166922,1.910375,[112   5] ; [14  2],[110.84210526   6.15789474] ; [15.15789474  0.84210526],0
v2,1,0.183067,1.772546,[71 45] ; [7 9],[68.54545455 47.45454545] ; [9.45454545 6.54545455],0
b2,1,0.201074,1.634558,[34 37] ; [3 8],[32.03658537 38.96341463] ; [4.96341463 6.03658537],0
b3,1,0.201074,1.634558,[34 37] ; [3 8],[32.03658537 38.96341463] ; [4.96341463 6.03658537],0
a4,1,0.210992,1.564603,[56 61] ; [ 5 11],[53.66165414 63.33834586] ; [7.33834586 8.66165414],0
a7,1,0.251891,1.312787,[88 28] ; [10  6],[86.12121212 29.87878788] ; [11.87878788  4.12121212],0
s2,1,0.268849,1.222613,[29 87] ; [ 2 14],[27.24242424 88.75757576] ; [ 3.75757576 12.24242424],0
s4,1,0.279502,1.169508,[19 95] ; [ 1 15],[17.53846154 96.46153846] ; [ 2.46153846 13.53846154],0
s7,1,0.281973,1.157554,[48 62] ; [ 4 10],[46.12903226 63.87096774] ; [5.87096774 8.12903226],0
d3,1,0.320557,0.986673,[79 36] ; [9 7],[77.2519084 37.7480916] ; [10.7480916  5.2519084],0
a2,1,0.336553,0.923517,[27 90] ; [ 2 14],[25.5112782 91.4887218] ; [ 3.4887218 12.5112782],0
r2,1,0.342019,0.902849,[108   7] ; [14  2],[107.09923664   7.90076336] ; [14.90076336  1.09923664],0
b5,1,0.356344,0.850736,[74 43] ; [12  4],[75.65413534 41.34586466] ; [10.34586466  5.65413534],0
u2,1,0.464214,0.535714,[22 13] ; [5 5],[21. 14.] ; [6. 4.],0
n1,1,0.466479,0.530303,[ 8 20] ; [3 4],[ 8.8 19.2] ; [2.2 4.8],0
n2,1,0.490153,0.47619,[16 12] ; [5 2],[16.8 11.2] ; [4.2 2.8],0
u1,1,0.491844,0.472489,[23 94] ; [ 2 14],[21.9924812 95.0075188] ; [ 3.0075188 12.9924812],0
d2,1,0.738605,0.111357,[49 68] ; [ 6 10],[48.38345865 68.61654135] ; [6.61654135 9.38345865],0
p1,1,0.783874,0.075226,[ 12 105] ; [ 2 14],[ 12.31578947 104.68421053] ; [ 1.68421053 14.31578947],0
a8,1,0.790136,0.070827,[11 89] ; [ 2 13],[11.30434783 88.69565217] ; [ 1.69565217 13.30434783],0
p7,1,0.962204,0.002246,[94 21] ; [13  3],[93.93129771 21.06870229] ; [13.06870229  2.93129771],0
