Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,3.2e-05,17.287897,[ 5 31] ; [19 11],[13.09090909 22.90909091] ; [10.90909091 19.09090909],1
s4,1,0.007532,7.141417,[14 22] ; [ 3 27],[ 9.27272727 26.72727273] ; [ 7.72727273 22.27272727],0
v1,1,0.031885,4.604681,[14 21] ; [20 10],[18.30769231 16.69230769] ; [15.69230769 14.30769231],0
r4,1,0.045839,3.9875,[29  7] ; [29  1],[31.63636364  4.36363636] ; [26.36363636  3.63636364],0
r1,1,0.050594,3.821672,[23 12] ; [26  4],[26.38461538  8.61538462] ; [22.61538462  7.38461538],0
a4,1,0.077374,3.119213,[13 23] ; [ 5 25],[ 9.81818182 26.18181818] ; [ 8.18181818 21.81818182],0
r3,1,0.079834,3.068281,[30  6] ; [29  1],[32.18181818  3.81818182] ; [26.81818182  3.18181818],0
a5,1,0.096386,2.764348,[22 14] ; [24  6],[25.09090909 10.90909091] ; [20.90909091  9.09090909],0
p6,1,0.107449,2.591346,[11 25] ; [15 15],[14.18181818 21.81818182] ; [11.81818182 18.18181818],0
p9,1,0.115669,2.475,[27  9] ; [27  3],[29.45454545  6.54545455] ; [24.54545455  5.45454545],0
b3,1,0.117811,2.446183,[ 5 20] ; [ 9 13],[ 7.44680851 17.55319149] ; [ 6.55319149 15.44680851],0
b2,1,0.117811,2.446183,[ 5 20] ; [ 9 13],[ 7.44680851 17.55319149] ; [ 6.55319149 15.44680851],0
a6,1,0.134924,2.234921,[20 16] ; [22  8],[22.90909091 13.09090909] ; [19.09090909 10.90909091],0
a7,1,0.153928,2.032885,[19 17] ; [21  9],[21.81818182 14.18181818] ; [18.18181818 11.81818182],0
p10,1,0.199962,1.642648,[29  6] ; [28  2],[30.69230769  4.30769231] ; [26.30769231  3.69230769],0
s8,1,0.228379,1.450927,[20 16] ; [21  9],[22.36363636 13.63636364] ; [18.63636364 11.36363636],0
b4,1,0.240606,1.377037,[14 22] ; [16 14],[16.36363636 19.63636364] ; [13.63636364 16.36363636],0
