Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,2.4e-05,17.877257,[29  7] ; [ 3 13],[22.15384615 13.84615385] ; [9.84615385 6.15384615],1
d1,1,0.00045,12.310606,[21 15] ; [ 1 15],[15.23076923 20.76923077] ; [6.76923077 9.23076923],1
d2,1,0.003459,8.547964,[22 13] ; [ 3 13],[17.15686275 17.84313725] ; [7.84313725 8.15686275],0
r3,1,0.00545,7.723673,[26 10] ; [ 5 11],[21.46153846 14.53846154] ; [9.53846154 6.46153846],0
a1,1,0.012114,6.29409,[ 1 35] ; [ 4 12],[ 3.46153846 32.53846154] ; [ 1.53846154 14.46153846],0
d3,1,0.013648,6.083125,[20 16] ; [ 3 13],[15.92307692 20.07692308] ; [7.07692308 8.92307692],0
n5,1,0.016401,5.759348,[19 17] ; [14  2],[22.84615385 13.15384615] ; [10.15384615  5.84615385],0
r4,1,0.016497,5.749149,[14 22] ; [ 1 15],[10.38461538 25.61538462] ; [ 4.61538462 11.38461538],0
b4,1,0.028802,4.779412,[27  9] ; [7 9],[23.53846154 12.46153846] ; [10.46153846  5.53846154],0
p11,1,0.041356,4.161376,[20 16] ; [ 4 12],[16.61538462 19.38461538] ; [7.38461538 8.61538462],0
u2,1,0.061972,3.483818,[6 8] ; [ 1 10],[ 3.92 10.08] ; [3.08 7.92],0
p10,1,0.069631,3.291694,[17 19] ; [ 3 12],[14.11764706 21.88235294] ; [5.88235294 9.11764706],0
a3,1,0.070158,3.279321,[22 14] ; [ 5 10],[19.05882353 16.94117647] ; [7.94117647 7.05882353],0
p9,1,0.087726,2.915606,[19 17] ; [ 4 11],[16.23529412 19.76470588] ; [6.76470588 8.23529412],0
v2,1,0.10381,2.646019,[13 23] ; [ 2 13],[10.58823529 25.41176471] ; [ 4.41176471 10.58823529],0
s5,1,0.104264,2.639072,[ 9 26] ; [ 1 15],[ 6.8627451 28.1372549] ; [ 3.1372549 12.8627451],0
a5,1,0.165205,1.925926,[21 15] ; [ 6 10],[18.69230769 17.30769231] ; [8.30769231 7.69230769],0
r1,1,0.183451,1.769444,[16 20] ; [ 4 12],[13.84615385 22.15384615] ; [6.15384615 9.84615385],0
a4,1,0.18901,1.725316,[13 22] ; [ 3 13],[10.98039216 24.01960784] ; [ 5.01960784 10.98039216],0
