Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.167559,[14 19] ; [91 18],[24.40140845  8.59859155] ; [80.59859155 28.40140845],1
r4,1,0.000156,14.302821,[21 12] ; [99 10],[27.88732394  5.11267606] ; [92.11267606 16.88732394],1
n4,1,0.000163,14.218079,[17 16] ; [91 18],[25.09859155  7.90140845] ; [82.90140845 26.09859155],1
p11,1,0.000176,14.069333,[20 13] ; [97 12],[27.19014085  5.80985915] ; [89.80985915 19.19014085],1
r3,1,0.000215,13.694073,[25  8] ; [104   4],[30.19148936  2.80851064] ; [98.80851064  9.19148936],1
v4,1,0.000735,11.398667,[25  7] ; [105   4],[29.5035461  2.4964539] ; [100.4964539   8.5035461],1
p10,1,0.000894,11.035508,[17 14] ; [90 18],[23.86330935  7.13669065] ; [83.13669065 24.86330935],1
p9,1,0.000993,10.840187,[19 13] ; [92 15],[25.55395683  6.44604317] ; [85.44604317 21.55395683],1
d1,1,0.003249,8.661894,[11 22] ; [68 41],[18.35915493 14.64084507] ; [60.64084507 48.35915493],0
b1,1,0.003296,8.635719,[21 12] ; [38 71],[13.71126761 19.28873239] ; [45.28873239 63.71126761],0
a6,1,0.005209,7.805399,[16 17] ; [81 28],[22.54225352 10.45774648] ; [74.45774648 34.54225352],0
p4,1,0.00575,7.62701,[11 20] ; [69 40],[17.71428571 13.28571429] ; [62.28571429 46.71428571],0
p8,1,0.006749,7.338619,[10 21] ; [64 43],[16.62318841 14.37681159] ; [57.37681159 49.62318841],0
s1,1,0.008589,6.906269,[ 4 28] ; [  2 107],[ 1.36170213 30.63829787] ; [  4.63829787 104.36170213],0
r1,1,0.017972,5.598874,[22 11] ; [92 16],[26.68085106  6.31914894] ; [87.31914894 20.68085106],0
p7,1,0.025444,4.993411,[15 17] ; [74 34],[20.34285714 11.65714286] ; [68.65714286 39.34285714],0
v2,1,0.041332,4.162358,[17 16] ; [75 31],[21.84172662 11.15827338] ; [70.15827338 35.84172662],0
p2,1,0.056175,3.646862,[23  8] ; [96 13],[26.35  4.65] ; [92.65 16.35],0
p3,1,0.061056,3.508476,[11 19] ; [61 48],[15.53956835 14.46043165] ; [56.46043165 52.53956835],0
r2,1,0.07204,3.235919,[28  5] ; [102   6],[30.42553191  2.57446809] ; [99.57446809  8.42553191],0
a7,1,0.104845,2.63026,[19 14] ; [79 30],[22.77464789 10.22535211] ; [75.22535211 33.77464789],0
d4,1,0.117118,2.455442,[22 11] ; [87 22],[25.33098592  7.66901408] ; [83.66901408 25.33098592],0
p6,1,0.137715,2.203306,[ 6 23] ; [38 70],[ 9.31386861 19.68613139] ; [34.68613139 73.31386861],0
a5,1,0.154952,2.022814,[21 12] ; [83 26],[24.16901408  8.83098592] ; [79.83098592 29.16901408],0
d2,1,0.155298,2.019425,[12 21] ; [55 54],[15.57042254 17.42957746] ; [51.42957746 57.57042254],0
p1,1,0.172766,1.858778,[ 5 28] ; [  8 101],[ 3.02112676 29.97887324] ; [ 9.97887324 99.02112676],0
a2,1,0.210582,1.567419,[ 4 29] ; [24 85],[ 6.50704225 26.49295775] ; [21.49295775 87.50704225],0
v3,1,0.215405,1.534722,[12 20] ; [52 52],[15.05882353 16.94117647] ; [48.94117647 55.05882353],0
s8,1,0.239489,1.383597,[ 6 27] ; [31 78],[ 8.59859155 24.40140845] ; [28.40140845 80.59859155],0
b3,1,0.274634,1.193456,[ 6 11] ; [36 36],[8.02247191 8.97752809] ; [33.97752809 38.02247191],0
b2,1,0.274634,1.193456,[ 6 11] ; [36 36],[8.02247191 8.97752809] ; [33.97752809 38.02247191],0
b4,1,0.306282,1.046641,[20 13] ; [55 54],[17.42957746 15.57042254] ; [57.57042254 51.42957746],0
s7,1,0.319284,0.991878,[ 5 24] ; [27 76],[ 7.03030303 21.96969697] ; [24.96969697 78.03030303],0
d3,1,0.322089,0.980446,[19 14] ; [73 36],[21.38028169 11.61971831] ; [70.61971831 38.38028169],0
u1,1,0.346588,0.88591,[ 3 30] ; [17 92],[ 4.64788732 28.35211268] ; [15.35211268 93.64788732],0
a8,1,0.38327,0.760187,[ 2 28] ; [12 85],[ 3.30708661 26.69291339] ; [10.69291339 86.30708661],0
s4,1,0.386903,0.748652,[ 4 29] ; [  8 101],[ 2.78873239 30.21126761] ; [ 9.21126761 99.78873239],0
p5,1,0.492077,0.471982,[ 2 30] ; [11 96],[ 2.99280576 29.00719424] ; [10.00719424 96.99280576],0
a1,1,0.549724,0.357812,[ 2 31] ; [  4 105],[ 1.3943662 31.6056338] ; [  4.6056338 104.3943662],0
s5,1,0.564879,0.331326,[ 7 26] ; [18 89],[ 5.89285714 27.10714286] ; [19.10714286 87.89285714],0
a4,1,0.594015,0.284117,[14 19] ; [52 57],[15.33802817 17.66197183] ; [50.66197183 58.33802817],0
b5,1,0.60335,0.269973,[18 15] ; [65 44],[19.28873239 13.71126761] ; [63.71126761 45.28873239],0
