Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.004239,8.178549,[22 64] ; [14 11],[27.89189189 58.10810811] ; [ 8.10810811 16.89189189],0
s7,1,0.006886,7.302498,[22 60] ; [14 11],[27.58878505 54.41121495] ; [ 8.41121495 16.58878505],0
s6,1,0.010208,6.598252,[35 50] ; [17  7],[40.55045872 44.44954128] ; [11.44954128 12.55045872],0
s5,1,0.020052,5.40738,[11 74] ; [ 8 16],[14.81651376 70.18348624] ; [ 4.18348624 19.81651376],0
v3,1,0.038215,4.295439,[18 66] ; [ 1 25],[14.50909091 69.49090909] ; [ 4.49090909 21.50909091],0
p2,1,0.042874,4.10035,[54 31] ; [22  4],[58.1981982 26.8018018] ; [17.8018018  8.1981982],0
r1,1,0.101837,2.67653,[40 45] ; [17  9],[43.64864865 41.35135135] ; [13.35135135 12.64864865],0
u3,1,0.120408,2.412005,[16 31] ; [8 6],[18.49180328 28.50819672] ; [5.50819672 8.49180328],0
n1,1,0.136037,2.222222,[14 16] ; [2 8],[12. 18.] ; [4. 6.],0
s3,1,0.16569,1.92151,[35 48] ; [15 11],[38.0733945 44.9266055] ; [11.9266055 14.0733945],0
p10,1,0.195842,1.673117,[45 37] ; [18  8],[47.83333333 34.16666667] ; [15.16666667 10.83333333],0
d3,1,0.208185,1.584,[17 68] ; [ 8 17],[19.31818182 65.68181818] ; [ 5.68181818 19.31818182],0
s1,1,0.280781,1.163305,[ 9 74] ; [ 1 25],[ 7.6146789 75.3853211] ; [ 2.3853211 23.6146789],0
b1,1,0.283951,1.148082,[40 46] ; [ 9 17],[37.625 48.375] ; [11.375 14.625],0
p5,1,0.287085,1.133242,[ 9 75] ; [ 1 25],[ 7.63636364 76.36363636] ; [ 2.36363636 23.63636364],0
p7,1,0.3154,1.007926,[39 45] ; [15 11],[41.23636364 42.76363636] ; [12.76363636 13.23636364],0
n4,1,0.428153,0.627828,[55 30] ; [19  7],[56.66666667 28.33333333] ; [17.33333333  8.66666667],0
n5,1,0.479107,0.500894,[60 26] ; [20  6],[61.42857143 24.57142857] ; [18.57142857  7.42857143],0
r3,1,0.489082,0.478544,[63 22] ; [21  5],[64.32432432 20.67567568] ; [19.67567568  6.32432432],0
d2,1,0.549515,0.358186,[25 61] ; [ 6 20],[23.80357143 62.19642857] ; [ 7.19642857 18.80357143],0
p8,1,0.571326,0.320469,[30 53] ; [11 15],[31.22018349 51.77981651] ; [ 9.77981651 16.22018349],0
a4,1,0.582508,0.302198,[24 60] ; [ 6 20],[22.90909091 61.09090909] ; [ 7.09090909 18.90909091],0
d5,1,0.58547,0.297475,[36 50] ; [12 13],[37.18918919 48.81081081] ; [10.81081081 14.18918919],0
p4,1,0.621306,0.244036,[35 51] ; [12 14],[36.08928571 49.91071429] ; [10.91071429 15.08928571],0
n6,1,0.62602,0.237497,[62 24] ; [20  6],[62.96428571 23.03571429] ; [19.03571429  6.96428571],0
b5,1,0.679594,0.170583,[49 37] ; [16 10],[49.91071429 36.08928571] ; [15.08928571 10.91071429],0
n2,1,0.701883,0.14652,[19 11] ; [7 3],[19.5 10.5] ; [6.5 3.5],0
p6,1,0.735051,0.114524,[19 66] ; [ 5 21],[18.37837838 66.62162162] ; [ 5.62162162 20.37837838],0
a5,1,0.754904,0.097456,[40 46] ; [13 13],[40.69642857 45.30357143] ; [12.30357143 13.69642857],0
a7,1,0.780702,0.077509,[42 44] ; [13 12],[42.61261261 43.38738739] ; [12.38738739 12.61261261],0
u2,1,0.790379,0.070659,[15 32] ; [5 9],[15.40983607 31.59016393] ; [4.59016393 9.40983607],0
a2,1,0.800828,0.063643,[ 8 78] ; [ 2 24],[ 7.67857143 78.32142857] ; [ 2.32142857 23.67857143],0
r2,1,0.806523,0.059983,[71 15] ; [22  4],[71.41071429 14.58928571] ; [21.58928571  4.41071429],0
a6,1,0.810372,0.057574,[44 42] ; [14 12],[44.53571429 41.46428571] ; [13.46428571 12.53571429],0
d1,1,0.861733,0.030335,[ 4 82] ; [ 1 25],[ 3.83928571 82.16071429] ; [ 1.16071429 24.83928571],0
v1,1,0.874086,0.025113,[28 57] ; [ 9 17],[28.33333333 56.66666667] ; [ 8.66666667 17.33333333],0
p3,1,0.874086,0.025113,[28 57] ; [ 9 17],[28.33333333 56.66666667] ; [ 8.66666667 17.33333333],0
b4,1,0.89176,0.018517,[41 45] ; [12 14],[40.69642857 45.30357143] ; [12.30357143 13.69642857],0
p9,1,0.918635,0.010435,[52 31] ; [16 10],[51.77981651 31.22018349] ; [16.22018349  9.77981651],0
n3,1,0.931859,0.007311,[20  8] ; [7 3],[19.89473684  8.10526316] ; [7.10526316 2.89473684],0
r4,1,0.951872,0.003643,[59 27] ; [18  8],[59.125 26.875] ; [17.875  8.125],0
v4,1,0.955414,0.003126,[71 14] ; [21  4],[71.09090909 13.90909091] ; [20.90909091  4.09090909],0
a3,1,0.980416,0.000603,[39 45] ; [12 14],[38.94545455 45.05454545] ; [12.05454545 13.94545455],0
s8,1,0.989118,0.000186,[23 62] ; [ 7 19],[22.97297297 62.02702703] ; [ 7.02702703 18.97297297],0
p1,1,0.991054,0.000126,[13 72] ; [ 4 22],[13.01801802 71.98198198] ; [ 3.98198198 22.01801802],0
p11,1,0.993443,6.8e-05,[53 33] ; [16 10],[52.98214286 33.01785714] ; [16.01785714  9.98214286],0
