Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,8e-06,19.861616,[39 16] ; [ 1 14],[31.42857143 23.57142857] ; [8.57142857 6.42857143],1
d3,1,0.007164,7.231405,[42 13] ; [6 9],[37.71428571 17.28571429] ; [10.28571429  4.71428571],0
d4,1,0.036378,4.379277,[51  4] ; [11  4],[48.71428571  6.28571429] ; [13.28571429  1.71428571],0
a4,1,0.074462,3.181818,[25 30] ; [ 3 12],[22. 33.] ; [6. 9.],0
p11,1,0.088547,2.900597,[35 20] ; [13  2],[37.71428571 17.28571429] ; [10.28571429  4.71428571],0
b1,1,0.112037,2.525253,[19 36] ; [ 2 13],[16.5 38.5] ; [ 4.5 10.5],0
p6,1,0.131474,2.275014,[19 35] ; [ 2 12],[16.67647059 37.32352941] ; [4.32352941 9.67647059],0
s7,1,0.136272,2.219554,[26 25] ; [ 4 10],[23.53846154 27.46153846] ; [6.46153846 7.53846154],0
n5,1,0.153247,2.039627,[12 43] ; [6 9],[14.14285714 40.85714286] ; [ 3.85714286 11.14285714],0
r2,1,0.157993,1.993333,[52  2] ; [13  2],[50.86956522  3.13043478] ; [14.13043478  0.86956522],0
p2,1,0.191439,1.70651,[37 16] ; [13  2],[38.97058824 14.02941176] ; [11.02941176  3.97058824],0
s2,1,0.198922,1.650268,[39 16] ; [8 7],[36.92857143 18.07142857] ; [10.07142857  4.92857143],0
p9,1,0.206379,1.596646,[42 11] ; [14  1],[43.64705882  9.35294118] ; [12.35294118  2.64705882],0
a5,1,0.254422,1.298858,[38 17] ; [8 7],[36.14285714 18.85714286] ; [9.85714286 5.14285714],0
n3,1,0.261253,1.262107,[11 10] ; [4 1],[12.11538462  8.88461538] ; [2.88461538 2.11538462],0
s8,1,0.277514,1.179226,[27 28] ; [ 5 10],[25.14285714 29.85714286] ; [6.85714286 8.14285714],0
s4,1,0.285249,1.14191,[23 32] ; [ 4 11],[21.21428571 33.78571429] ; [5.78571429 9.21428571],0
