Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,9e-06,19.723926,[201  80] ; [14 25],[188.796875  92.203125] ; [26.203125 12.796875],1
p8,1,4.8e-05,16.531109,[176 100] ; [12 28],[164.20253165 111.79746835] ; [23.79746835 16.20253165],1
a3,1,0.000697,11.498096,[223  58] ; [22 18],[214.47040498  66.52959502] ; [30.52959502  9.47040498],1
p7,1,0.00244,9.185091,[203  72] ; [19 19],[195.04792332  79.95207668] ; [26.95207668 11.04792332],0
p9,1,0.002679,9.014101,[252  26] ; [29 10],[246.42902208  31.57097792] ; [34.57097792  4.42902208],0
p10,1,0.002773,8.950792,[243  35] ; [27 12],[236.78233438  41.21766562] ; [33.21766562  5.78233438],0
a2,1,0.010705,6.513597,[ 82 200] ; [ 4 36],[ 75.31677019 206.68322981] ; [10.68322981 29.31677019],0
d5,1,0.013289,6.130278,[245  37] ; [28 11],[239.8317757  42.1682243] ; [33.1682243  5.8317757],0
n4,1,0.013729,6.072689,[235  46] ; [27 13],[229.35202492  51.64797508] ; [32.64797508  7.35202492],0
p3,1,0.023541,5.128159,[173 109] ; [16 22],[166.55625 115.44375] ; [22.44375 15.55625],0
p11,1,0.024567,5.054162,[238  44] ; [28 12],[232.95652174  49.04347826] ; [33.04347826  6.95652174],0
a5,1,0.0254,4.996432,[227  55] ; [26 14],[221.57142857  60.42857143] ; [31.42857143  8.57142857],0
r2,1,0.032073,4.594587,[265  12] ; [35  5],[262.14511041  14.85488959] ; [37.85488959  2.14511041],0
a6,1,0.032125,4.591793,[199  82] ; [21 18],[193.1875  87.8125] ; [26.8125 12.1875],0
n6,1,0.034793,4.455285,[248  31] ; [30  9],[243.90566038  35.09433962] ; [34.09433962  4.90566038],0
r1,1,0.038146,4.29851,[240  41] ; [29 11],[235.47975078  45.52024922] ; [33.52024922  6.47975078],0
s4,1,0.041713,4.146805,[ 32 248] ; [ 9 30],[ 35.98746082 244.01253918] ; [ 5.01253918 33.98746082],0
n3,1,0.045761,3.990382,[37 10] ; [6 6],[34.25423729 12.74576271] ; [8.74576271 3.25423729],0
v3,1,0.055668,3.661949,[171 104] ; [18 21],[165.52547771 109.47452229] ; [23.47452229 15.52547771],0
d1,1,0.057331,3.612972,[191  91] ; [21 19],[185.66459627  96.33540373] ; [26.33540373 13.66459627],0
s1,1,0.082329,3.018324,[  7 272] ; [ 3 36],[  8.77358491 270.22641509] ; [ 1.22641509 37.77358491],0
r4,1,0.085809,2.951287,[262  20] ; [34  6],[259.22981366  22.77018634] ; [36.77018634  3.22981366],0
u3,1,0.096183,2.767726,[33 26] ; [14  4],[36.01298701 22.98701299] ; [10.98701299  7.01298701],0
n5,1,0.102291,2.669449,[232  47] ; [29 11],[228.27272727  50.72727273] ; [32.72727273  7.27272727],0
