Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.4e-05,18.868181,[159   9] ; [97 28],[146.78498294  21.21501706] ; [109.21501706  15.78498294],1
p5,1,1.8e-05,18.367078,[ 53 115] ; [ 13 112],[ 37.84300341 130.15699659] ; [28.15699659 96.84300341],1
s5,1,0.000413,12.470475,[82 76] ; [38 85],[67.47330961 90.52669039] ; [52.52669039 70.47330961],1
s2,1,0.000878,11.068734,[103  63] ; [53 72],[88.98969072 77.01030928] ; [67.01030928 57.98969072],1
s7,1,0.001107,10.638847,[104  54] ; [54 63],[90.77818182 67.22181818] ; [67.22181818 49.77818182],0
p7,1,0.001682,9.86722,[156  11] ; [101  23],[147.48797251  19.51202749] ; [109.51202749  14.48797251],0
p12,1,0.0017,9.848368,[ 32 135] ; [  8 117],[ 22.87671233 144.12328767] ; [ 17.12328767 107.87671233],0
a1,1,0.003403,8.577581,[ 17 151] ; [  2 123],[ 10.89419795 157.10580205] ; [  8.10580205 116.89419795],0
s4,1,0.006051,7.53515,[ 41 124] ; [ 15 110],[ 31.86206897 133.13793103] ; [ 24.13793103 100.86206897],0
n4,1,0.010395,6.565863,[148  20] ; [96 29],[139.90443686  28.09556314] ; [104.09556314  20.90443686],0
s6,1,0.011136,6.443521,[125  35] ; [80 44],[115.49295775  44.50704225] ; [89.50704225 34.49295775],0
s8,1,0.024317,5.071892,[99 68] ; [57 67],[89.5257732 77.4742268] ; [66.4742268 57.5257732],0
u4,1,0.050923,3.810811,[  8 159] ; [  1 124],[  5.14726027 161.85273973] ; [  3.85273973 121.14726027],0
n5,1,0.054692,3.691446,[144  23] ; [97 28],[137.83219178  29.16780822] ; [103.16780822  21.83219178],0
v1,1,0.064569,3.415951,[109  57] ; [67 55],[101.44444444  64.55555556] ; [74.55555556 47.44444444],0
b1,1,0.070511,3.271074,[74 94] ; [42 83],[ 66.51194539 101.48805461] ; [49.48805461 75.51194539],0
n2,1,0.071355,3.251563,[18  4] ; [10  8],[15.4  6.6] ; [12.6  5.4],0
a3,1,0.082484,3.015257,[128  38] ; [85 40],[121.50515464  44.49484536] ; [91.49484536 33.50515464],0
r3,1,0.092286,2.834038,[161   4] ; [117   8],[158.17241379   6.82758621] ; [119.82758621   5.17241379],0
p1,1,0.098567,2.728575,[ 29 138] ; [ 13 111],[ 24.10309278 142.89690722] ; [ 17.89690722 106.10309278],0
n6,1,0.100224,2.70198,[154  13] ; [107  17],[149.78350515  17.21649485] ; [111.21649485  12.78350515],0
p2,1,0.10068,2.694731,[158  10] ; [110  14],[154.19178082  13.80821918] ; [113.80821918  10.19178082],0
u1,1,0.114966,2.484589,[ 41 127] ; [ 21 104],[ 35.54948805 132.45051195] ; [26.45051195 98.54948805],0
a4,1,0.142738,2.14819,[85 83] ; [52 72],[78.82191781 89.17808219] ; [58.17808219 65.82191781],0
p9,1,0.161516,1.959975,[158  10] ; [112  13],[154.81228669  13.18771331] ; [115.18771331   9.81228669],0
b3,1,0.174545,1.843467,[48 63] ; [25 50],[43.56451613 67.43548387] ; [29.43548387 45.56451613],0
b2,1,0.174545,1.843467,[48 63] ; [25 50],[43.56451613 67.43548387] ; [29.43548387 45.56451613],0
u2,1,0.256142,1.289491,[21 19] ; [26 14],[23.5 16.5] ; [23.5 16.5],0
