Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,33.119651,[ 8 20] ; [71 12],[19.92792793  8.07207207] ; [59.07207207 23.92792793],1
v1,1,0.052129,3.771631,[ 9 18] ; [45 37],[13.37614679 13.62385321] ; [40.62385321 41.37614679],0
a5,1,0.114653,2.488889,[14 14] ; [56 28],[17.5 10.5] ; [52.5 31.5],0
p9,1,0.122565,2.384236,[19  8] ; [68 13],[21.75  5.25] ; [65.25 15.75],0
a4,1,0.123229,2.375793,[ 4 24] ; [24 59],[ 7.06306306 20.93693694] ; [20.93693694 62.06306306],0
p3,1,0.155935,2.013212,[10 18] ; [42 40],[13.23636364 14.76363636] ; [38.76363636 43.23636364],0
v2,1,0.156906,2.003794,[10 18] ; [40 38],[13.20754717 14.79245283] ; [36.79245283 41.20754717],0
b3,1,0.184907,1.757735,[ 2 15] ; [13 34],[ 3.984375 13.015625] ; [11.015625 35.984375],0
b2,1,0.184907,1.757735,[ 2 15] ; [13 34],[ 3.984375 13.015625] ; [11.015625 35.984375],0
p11,1,0.188057,1.732771,[17 11] ; [62 22],[19.75  8.25] ; [59.25 24.75],0
n1,1,0.189225,1.723644,[2 6] ; [9 8],[3.52 4.48] ; [7.48 9.52],0
r3,1,0.194248,1.685104,[27  1] ; [73 10],[25.22522523  2.77477477] ; [74.77477477  8.22522523],0
b5,1,0.217238,1.522526,[20  8] ; [49 35],[17.25 10.75] ; [51.75 32.25],0
a3,1,0.219535,1.507408,[13 15] ; [49 33],[15.78181818 12.21818182] ; [46.21818182 35.78181818],0
a8,1,0.225907,1.46645,[ 1 26] ; [ 9 68],[ 2.59615385 24.40384615] ; [ 7.40384615 69.59615385],0
d5,1,0.229393,1.444622,[12 16] ; [47 37],[14.75 13.25] ; [44.25 39.75],0
v3,1,0.233451,1.419714,[ 7 20] ; [32 51],[ 9.57272727 17.42727273] ; [29.42727273 53.57272727],0
d2,1,0.238347,1.390345,[ 4 24] ; [21 63],[ 6.25 21.75] ; [18.75 65.25],0
p10,1,0.241329,1.372815,[18  8] ; [65 16],[20.1682243  5.8317757] ; [62.8317757 18.1682243],0
r1,1,0.245375,1.349448,[18 10] ; [62 20],[20.36363636  7.63636364] ; [59.63636364 22.36363636],0
p5,1,0.250153,1.322449,[ 1 26] ; [ 9 72],[ 2.5 24.5] ; [ 7.5 73.5],0
s3,1,0.275492,1.189197,[11 17] ; [41 39],[13.48148148 14.51851852] ; [38.51851852 41.48148148],0
p6,1,0.285171,1.142282,[ 6 22] ; [26 55],[ 8.22018349 19.77981651] ; [23.77981651 57.22018349],0
n6,1,0.327877,0.957265,[21  7] ; [70 14],[22.75  5.25] ; [68.25 15.75],0
n2,1,0.399765,0.709034,[6 2] ; [15  2],[6.72 1.28] ; [14.28  2.72],0
p4,1,0.409579,0.680024,[13 15] ; [46 37],[14.88288288 13.11711712] ; [44.11711712 38.88288288],0
s5,1,0.435587,0.60788,[ 5 22] ; [21 60],[ 6.5 20.5] ; [19.5 61.5],0
s7,1,0.43607,0.606602,[ 9 19] ; [30 44],[10.70588235 17.29411765] ; [28.29411765 45.70588235],0
s2,1,0.442108,0.590804,[ 8 19] ; [31 51],[ 9.66055046 17.33944954] ; [29.33944954 52.66055046],0
p8,1,0.444288,0.585183,[16 12] ; [38 40],[14.26415094 13.73584906] ; [39.73584906 38.26415094],0
p12,1,0.444734,0.584038,[ 2 26] ; [ 3 79],[ 1.27272727 26.72727273] ; [ 3.72727273 78.27272727],0
d1,1,0.498962,0.457143,[ 1 27] ; [ 6 78],[ 1.75 26.25] ; [ 5.25 78.75],0
s4,1,0.500446,0.453989,[ 6 22] ; [13 69],[ 4.83636364 23.16363636] ; [14.16363636 67.83636364],0
b4,1,0.512422,0.429119,[15 13] ; [39 45],[13.5 14.5] ; [40.5 43.5],0
u2,1,0.528733,0.396825,[ 5 10] ; [15 20],[6. 9.] ; [14. 21.],0
r4,1,0.532884,0.388889,[23  5] ; [73 11],[24.  4.] ; [72. 12.],0
a2,1,0.582363,0.30243,[ 2 26] ; [ 9 75],[ 2.75 25.25] ; [ 8.25 75.75],0
a6,1,0.648807,0.207407,[17 11] ; [55 29],[18. 10.] ; [54. 30.],0
s6,1,0.654721,0.2,[14 13] ; [46 35],[15. 12.] ; [45. 36.],0
s1,1,0.659265,0.194417,[ 2 26] ; [ 4 77],[ 1.5412844 26.4587156] ; [ 4.4587156 76.5412844],0
r2,1,0.701995,0.146405,[25  3] ; [77  7],[25.5  2.5] ; [76.5  7.5],0
b1,1,0.734051,0.115424,[11 17] ; [30 54],[10.25 17.75] ; [30.75 53.25],0
p7,1,0.764557,0.089701,[16 11] ; [50 30],[16.65420561 10.34579439] ; [49.34579439 30.65420561],0
p1,1,0.802247,0.06272,[ 4 23] ; [14 69],[ 4.41818182 22.58181818] ; [13.58181818 69.41818182],0
s8,1,0.846384,0.037533,[ 9 19] ; [28 54],[ 9.41818182 18.58181818] ; [27.58181818 54.41818182],0
d3,1,0.848624,0.036433,[10 18] ; [28 55],[ 9.58558559 18.41441441] ; [28.41441441 54.58558559],0
u3,1,0.901678,0.015263,[8 7] ; [18 17],[7.8 7.2] ; [18.2 16.8],0
p2,1,0.953335,0.003425,[21  6] ; [65 18],[21.10909091  5.89090909] ; [64.89090909 18.10909091],0
v4,1,0.953935,0.003337,[24  3] ; [75  9],[24.08108108  2.91891892] ; [74.91891892  9.08108108],0
n3,1,0.957911,0.002785,[7 1] ; [15  2],[7.04 0.96] ; [14.96  2.04],0
