Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000139,14.512259,[14 17] ; [63 14],[22.10185185  8.89814815] ; [54.89814815 22.10185185],1
p2,1,0.000566,11.883274,[17 16] ; [64 13],[24.3  8.7] ; [56.7 20.3],1
p9,1,0.000579,11.843722,[17 14] ; [66 11],[23.82407407  7.17592593] ; [59.17592593 17.82407407],1
p7,1,0.00264,9.041057,[11 21] ; [50 26],[18.07407407 13.92592593] ; [42.92592593 33.07407407],0
n2,1,0.004169,8.2086,[5 8] ; [21  4],[8.89473684 4.10526316] ; [17.10526316  7.89473684],0
n6,1,0.034649,4.462396,[17 16] ; [55 21],[21.79816514 11.20183486] ; [50.20183486 25.79816514],0
n5,1,0.040934,4.178748,[ 7 26] ; [32 45],[11.7 21.3] ; [27.3 49.7],0
d2,1,0.058463,3.58045,[16 18] ; [22 55],[11.63963964 22.36036036] ; [26.36036036 50.63963964],0
p8,1,0.06305,3.455276,[11 21] ; [41 35],[15.40740741 16.59259259] ; [36.59259259 39.40740741],0
n3,1,0.117122,2.455385,[6 7] ; [18  7],[8.21052632 4.78947368] ; [15.78947368  9.21052632],0
a2,1,0.123637,2.370627,[ 9 25] ; [11 66],[ 6.12612613 27.87387387] ; [13.87387387 63.12612613],0
p1,1,0.134056,2.244898,[ 3 30] ; [ 2 75],[ 1.5 31.5] ; [ 3.5 73.5],0
d5,1,0.157176,2.001188,[30  4] ; [59 18],[27.26126126  6.73873874] ; [61.73873874 15.26126126],0
s1,1,0.159973,1.974484,[ 2 31] ; [ 1 76],[ 0.9 32.1] ; [ 2.1 74.9],0
d3,1,0.192643,1.697285,[21 13] ; [57 20],[23.89189189 10.10810811] ; [54.10810811 22.89189189],0
a4,1,0.2441,1.356761,[14 20] ; [23 54],[11.33333333 22.66666667] ; [25.66666667 51.33333333],0
a7,1,0.248255,1.333096,[24 10] ; [62 15],[26.34234234  7.65765766] ; [59.65765766 17.34234234],0
