Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,52.356876,[18 45] ; [107  24],[40.59278351 22.40721649] ; [84.40721649 46.59278351],1
a4,1,0.0,47.407269,[ 6 59] ; [80 51],[28.52040816 36.47959184] ; [57.47959184 73.52040816],1
d2,1,8e-06,19.882031,[19 46] ; [82 48],[33.66666667 31.33333333] ; [67.33333333 62.66666667],1
d1,1,9.6e-05,15.21338,[22 43] ; [83 48],[34.82142857 30.17857143] ; [70.17857143 60.82142857],1
d5,1,0.000501,12.111824,[42 22] ; [113  17],[51.13402062 12.86597938] ; [103.86597938  26.13402062],1
a6,1,0.000593,11.7975,[29 36] ; [91 39],[40. 25.] ; [80. 50.],1
u1,1,0.000914,10.994594,[ 3 62] ; [ 31 100],[11.2755102 53.7244898] ; [ 22.7244898 108.2755102],1
r1,1,0.001021,10.789775,[40 25] ; [107  22],[49.25257732 15.74742268] ; [97.74742268 31.25257732],0
v2,1,0.00107,10.701949,[20 41] ; [74 53],[30.5 30.5] ; [63.5 63.5],0
n4,1,0.00559,7.678072,[31 34] ; [88 41],[39.87113402 25.12886598] ; [79.12886598 49.87113402],0
r2,1,0.011454,6.393443,[57  8] ; [126   4],[61.  4.] ; [122.   8.],0
s6,1,0.01556,5.851926,[34 29] ; [91 36],[41.44736842 21.55263158] ; [83.55263158 43.44736842],0
r4,1,0.01616,5.78536,[51 14] ; [119  12],[56.37755102  8.62244898] ; [113.62244898  17.37755102],0
d3,1,0.026224,4.941189,[36 27] ; [95 35],[42.76165803 20.23834197] ; [88.23834197 41.76165803],0
s5,1,0.02719,4.878699,[14 48] ; [47 74],[20.66666667 41.33333333] ; [40.33333333 80.66666667],0
d4,1,0.028472,4.799262,[45 19] ; [109  21],[50.80412371 13.19587629] ; [103.19587629  26.80412371],0
a7,1,0.032413,4.576498,[40 24] ; [101  30],[46.27692308 17.72307692] ; [94.72307692 36.27692308],0
p9,1,0.038114,4.299931,[33 28] ; [89 39],[39.37566138 21.62433862] ; [82.62433862 45.37566138],0
s7,1,0.042651,4.109178,[21 38] ; [62 58],[27.3575419 31.6424581] ; [55.6424581 64.3575419],0
p5,1,0.05174,3.784149,[ 8 57] ; [  6 123],[ 4.69072165 60.30927835] ; [  9.30927835 119.69072165],0
a8,1,0.092393,2.832184,[ 4 56] ; [18 98],[ 7.5 52.5] ; [ 14.5 101.5],0
u2,1,0.093988,2.804714,[24 20] ; [ 8 16],[20.70588235 23.29411765] ; [11.29411765 12.70588235],0
n1,1,0.101786,2.67734,[ 5 16] ; [21 26],[ 8.02941176 12.97058824] ; [17.97058824 29.02941176],0
p7,1,0.127303,2.325084,[28 37] ; [70 58],[33.00518135 31.99481865] ; [64.99481865 63.00518135],0
p6,1,0.146001,2.113547,[16 49] ; [44 82],[20.41884817 44.58115183] ; [39.58115183 86.41884817],0
n3,1,0.153098,2.041112,[12  9] ; [35 12],[14.51470588  6.48529412] ; [32.48529412 14.51470588],0
n2,1,0.17753,1.818182,[12  9] ; [36 13],[14.4  6.6] ; [33.6 15.4],0
b2,1,0.186266,1.74691,[ 7 27] ; [21 42],[ 9.81443299 24.18556701] ; [18.18556701 44.81443299],0
b3,1,0.186266,1.74691,[ 7 27] ; [21 42],[ 9.81443299 24.18556701] ; [18.18556701 44.81443299],0
p2,1,0.225302,1.470277,[49 16] ; [87 43],[45.33333333 19.66666667] ; [90.66666667 39.33333333],0
b5,1,0.245304,1.349851,[48 17] ; [86 45],[44.43877551 20.56122449] ; [89.56122449 41.43877551],0
v1,1,0.316004,1.005415,[25 38] ; [62 69],[28.25257732 34.74742268] ; [58.74742268 72.25257732],0
s8,1,0.32536,0.967279,[21 44] ; [51 78],[24.12371134 40.87628866] ; [47.87628866 81.12371134],0
n5,1,0.326626,0.96223,[34 31] ; [77 52],[37.19072165 27.80927835] ; [73.80927835 55.19072165],0
p10,1,0.331767,0.941987,[31 31] ; [73 54],[34.11640212 27.88359788] ; [69.88359788 57.11640212],0
s2,1,0.361538,0.832543,[31 34] ; [71 59],[34. 31.] ; [68. 62.],0
p3,1,0.3842,0.757219,[23 42] ; [54 75],[25.79896907 39.20103093] ; [51.20103093 77.79896907],0
p8,1,0.408589,0.682902,[19 46] ; [45 83],[21.55440415 43.44559585] ; [42.44559585 85.55440415],0
p4,1,0.417975,0.656003,[29 36] ; [65 63],[31.65803109 33.34196891] ; [62.34196891 65.65803109],0
v3,1,0.418246,0.65524,[18 43] ; [44 80],[20.44324324 40.55675676] ; [41.55675676 82.44324324],0
b1,1,0.448099,0.575455,[35 30] ; [63 68],[32.5 32.5] ; [65.5 65.5],0
n6,1,0.472667,0.515734,[44 21] ; [93 35],[46.13989637 18.86010363] ; [90.86010363 37.13989637],0
u3,1,0.494733,0.466216,[26 20] ; [11 12],[24.66666667 21.33333333] ; [12.33333333 10.66666667],0
p1,1,0.568618,0.325,[ 6 59] ; [  9 121],[ 5. 60.] ; [ 10. 120.],0
s4,1,0.615942,0.251613,[12 53] ; [ 28 102],[13.33333333 51.66666667] ; [ 26.66666667 103.33333333],0
a1,1,0.616546,0.250751,[ 2 63] ; [  6 125],[ 2.65306122 62.34693878] ; [  5.34693878 125.65306122],0
b4,1,0.71806,0.130359,[37 28] ; [71 60],[35.81632653 29.18367347] ; [72.18367347 58.81632653],0
