Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1e-06,23.46118,[47 66] ; [ 24 133],[29.71481481 83.28518519] ; [ 41.28518519 115.71481481],1
r3,1,1.6e-05,18.638619,[108   5] ; [122  38],[95.2014652 17.7985348] ; [134.7985348  25.2014652],1
v1,1,3.5e-05,17.116145,[58 56] ; [ 42 117],[41.75824176 72.24175824] ; [ 58.24175824 100.75824176],1
r1,1,0.000204,13.796334,[89 27] ; [88 72],[74.39130435 41.60869565] ; [102.60869565  57.39130435],1
d4,1,0.001091,10.665674,[97 18] ; [107  53],[85.30909091 29.69090909] ; [118.69090909  41.30909091],0
p11,1,0.002598,9.070149,[86 30] ; [91 70],[74.12274368 41.87725632] ; [102.87725632  58.12274368],0
d1,1,0.00308,8.75938,[61 55] ; [ 56 105],[48.99638989 67.00361011] ; [68.00361011 92.99638989],0
d5,1,0.005936,7.569567,[89 27] ; [97 62],[78.45818182 37.54181818] ; [107.54181818  51.45818182],0
p10,1,0.009517,6.723134,[78 37] ; [83 76],[67.5729927 47.4270073] ; [93.4270073 65.5729927],0
v4,1,0.010343,6.574915,[104  10] ; [127  32],[96.46153846 17.53846154] ; [134.53846154  24.46153846],0
d3,1,0.012359,6.25864,[77 39] ; [81 77],[66.89051095 49.10948905] ; [91.10948905 66.89051095],0
p7,1,0.013349,6.122235,[55 59] ; [ 52 104],[45.17777778 68.82222222] ; [61.82222222 94.17777778],0
a5,1,0.013712,6.074856,[77 39] ; [83 78],[67.00361011 48.99638989] ; [92.99638989 68.00361011],0
a7,1,0.019002,5.501316,[84 31] ; [95 65],[74.85454545 40.14545455] ; [104.14545455  55.85454545],0
r4,1,0.037962,4.306736,[91 25] ; [108  53],[83.33574007 32.66425993] ; [115.66425993  45.33574007],0
n6,1,0.040066,4.215094,[88 27] ; [104  56],[80.29090909 34.70909091] ; [111.70909091  48.29090909],0
p3,1,0.056259,3.644374,[26 89] ; [ 22 138],[20.07272727 94.92727273] ; [ 27.92727273 132.07272727],0
a3,1,0.069266,3.300328,[80 36] ; [92 66],[72.81751825 43.18248175] ; [99.18248175 58.81751825],0
n3,1,0.07669,3.1337,[25  8] ; [35 26],[21.06382979 11.93617021] ; [38.93617021 22.06382979],0
p9,1,0.076856,3.130163,[81 32] ; [95 60],[74.20895522 38.79104478] ; [101.79104478  53.20895522],0
s6,1,0.082587,3.013243,[51 63] ; [ 55 105],[44.10218978 69.89781022] ; [61.89781022 98.10218978],0
a4,1,0.127997,2.31663,[46 70] ; [ 49 110],[40.07272727 75.92727273] ; [ 54.92727273 104.07272727],0
p2,1,0.130553,2.28592,[81 35] ; [97 62],[75.08363636 40.91636364] ; [102.91636364  56.08363636],0
a6,1,0.138106,2.198932,[79 37] ; [95 65],[73.13043478 42.86956522] ; [100.86956522  59.13043478],0
r2,1,0.162137,1.954177,[103  10] ; [136  23],[99.29044118 13.70955882] ; [139.70955882  19.29044118],0
s1,1,0.164918,1.928545,[  3 111] ; [ 10 150],[  5.40875912 108.59124088] ; [  7.59124088 152.40875912],0
s5,1,0.30519,1.051379,[24 89] ; [ 26 133],[20.77205882 92.22794118] ; [ 29.22794118 129.77205882],0
p5,1,0.317946,0.997378,[  2 114] ; [  6 153],[  3.37454545 112.62545455] ; [  4.62545455 154.37454545],0
s7,1,0.343444,0.897534,[24 87] ; [ 26 127],[21.02272727 89.97727273] ; [ 28.97727273 124.02272727],0
b1,1,0.348254,0.879809,[39 77] ; [63 98],[42.71480144 73.28519856] ; [ 59.28519856 101.71480144],0
n5,1,0.350434,0.871885,[65 50] ; [100  61],[68.75 46.25] ; [96.25 64.75],0
p1,1,0.35503,0.855398,[  5 111] ; [ 11 147],[  6.77372263 109.22627737] ; [  9.22627737 148.77372263],0
s2,1,0.359042,0.84124,[36 79] ; [ 42 118],[32.61818182 82.38181818] ; [ 45.38181818 114.61818182],0
a1,1,0.374733,0.787911,[  5 111] ; [ 11 150],[  6.70036101 109.29963899] ; [  9.29963899 151.70036101],0
u1,1,0.377819,0.777787,[ 13 103] ; [ 13 148],[ 10.88808664 105.11191336] ; [ 15.11191336 145.88808664],0
u4,1,0.381551,0.7657,[  2 114] ; [  1 160],[  1.25631769 114.74368231] ; [  1.74368231 159.25631769],0
n1,1,0.414558,0.665691,[ 8 25] ; [20 42],[ 9.72631579 23.27368421] ; [18.27368421 43.72631579],0
n2,1,0.448327,0.574879,[23 10] ; [39 24],[21.3125 11.6875] ; [40.6875 22.3125],0
p12,1,0.460135,0.545566,[  2 114] ; [  5 154],[  2.95272727 113.04727273] ; [  4.04727273 154.95272727],0
p8,1,0.466425,0.530433,[34 79] ; [ 42 119],[31.34306569 81.65693431] ; [ 44.65693431 116.34306569],0
a2,1,0.476727,0.506342,[21 95] ; [ 24 137],[18.84476534 97.15523466] ; [ 26.15523466 134.84476534],0
