Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,9.1e-05,15.317916,[17  8] ; [17 53],[ 8.94736842 16.05263158] ; [25.05263158 44.94736842],1
p4,1,0.000674,11.56034,[15 10] ; [16 54],[ 8.15789474 16.84210526] ; [22.84210526 47.15789474],1
p6,1,0.001403,10.201457,[ 9 16] ; [ 6 63],[ 3.9893617 21.0106383] ; [11.0106383 57.9893617],0
r3,1,0.015182,5.895205,[23  3] ; [44 26],[18.14583333  7.85416667] ; [48.85416667 21.14583333],0
s2,1,0.017354,5.660165,[11 14] ; [14 57],[ 6.51041667 18.48958333] ; [18.48958333 52.51041667],0
p3,1,0.023732,5.114101,[13 13] ; [18 52],[ 8.39583333 17.60416667] ; [22.60416667 47.39583333],0
p2,1,0.028241,4.813309,[16 10] ; [26 45],[11.25773196 14.74226804] ; [30.74226804 40.25773196],0
s3,1,0.03099,4.653518,[14 12] ; [21 49],[ 9.47916667 16.52083333] ; [25.52083333 44.47916667],0
v4,1,0.033645,4.512656,[23  3] ; [46 23],[18.88421053  7.11578947] ; [50.11578947 18.88421053],0
s6,1,0.034759,4.456981,[15 10] ; [25 45],[10.52631579 14.47368421] ; [29.47368421 40.52631579],0
n1,1,0.035456,4.423056,[5 2] ; [11 26],[2.54545455 4.45454545] ; [13.45454545 23.54545455],0
p10,1,0.03682,4.358724,[ 7 19] ; [ 7 63],[ 3.79166667 22.20833333] ; [10.20833333 59.79166667],0
r4,1,0.048865,3.879968,[19  7] ; [36 35],[14.74226804 11.25773196] ; [40.25773196 30.74226804],0
b1,1,0.073255,3.208543,[12 14] ; [47 24],[15.81443299 10.18556701] ; [43.18556701 27.81443299],0
r2,1,0.098211,2.734357,[23  2] ; [53 16],[20.21276596  4.78723404] ; [55.78723404 13.21276596],0
d3,1,0.103755,2.646854,[18  8] ; [36 35],[14.4742268 11.5257732] ; [39.5257732 31.4742268],0
a5,1,0.198305,1.654817,[17  9] ; [36 35],[14.20618557 11.79381443] ; [38.79381443 32.20618557],0
a1,1,0.205237,1.604708,[ 1 25] ; [ 9 62],[ 2.68041237 23.31958763] ; [ 7.31958763 63.68041237],0
n6,1,0.221718,1.493217,[17  9] ; [36 34],[14.35416667 11.64583333] ; [38.64583333 31.35416667],0
v3,1,0.223232,1.483475,[10 15] ; [18 49],[ 7.60869565 17.39130435] ; [20.39130435 46.60869565],0
s7,1,0.228301,1.451418,[ 7 17] ; [11 52],[ 4.96551724 19.03448276] ; [13.03448276 49.96551724],0
a4,1,0.236816,1.399445,[ 7 19] ; [28 42],[ 9.47916667 16.52083333] ; [25.52083333 44.47916667],0
v2,1,0.248105,1.333944,[12 14] ; [23 46],[ 9.57894737 16.42105263] ; [25.42105263 43.57894737],0
b3,1,0.25906,1.273771,[ 3 11] ; [17 28],[4.74576271 9.25423729] ; [15.25423729 29.74576271],0
b2,1,0.25906,1.273771,[ 3 11] ; [17 28],[4.74576271 9.25423729] ; [15.25423729 29.74576271],0
p5,1,0.284778,1.144148,[ 2 24] ; [ 2 69],[ 1.07216495 24.92783505] ; [ 2.92783505 68.07216495],0
d5,1,0.331319,0.943737,[16 10] ; [51 20],[17.95876289  8.04123711] ; [49.04123711 21.95876289],0
s1,1,0.332314,0.93986,[ 1 25] ; [ 7 63],[ 2.16666667 23.83333333] ; [ 5.83333333 64.16666667],0
r1,1,0.348818,0.877751,[19  7] ; [44 26],[17.0625  8.9375] ; [45.9375 24.0625],0
v1,1,0.405909,0.690752,[10 16] ; [21 50],[ 8.30927835 17.69072165] ; [22.69072165 48.30927835],0
n5,1,0.478475,0.502337,[12 14] ; [38 32],[13.54166667 12.45833333] ; [36.45833333 33.54166667],0
s5,1,0.501206,0.452381,[ 5 20] ; [10 60],[ 3.94736842 21.05263158] ; [11.05263158 58.94736842],0
n4,1,0.501446,0.451875,[14 12] ; [43 27],[15.4375 10.5625] ; [41.5625 28.4375],0
a6,1,0.541521,0.372728,[15 11] ; [36 35],[13.67010309 12.32989691] ; [37.32989691 33.67010309],0
u1,1,0.585419,0.297555,[ 4 22] ; [ 8 63],[ 3.21649485 22.78350515] ; [ 8.78350515 62.21649485],0
a8,1,0.635872,0.224182,[ 1 21] ; [ 5 62],[ 1.48314607 20.51685393] ; [ 4.51685393 62.48314607],0
a3,1,0.677458,0.173002,[14 12] ; [41 29],[14.89583333 11.10416667] ; [40.10416667 29.89583333],0
n3,1,0.678845,0.171429,[4 3] ; [17 18],[3.5 3.5] ; [17.5 17.5],0
b5,1,0.714732,0.133596,[15 11] ; [38 33],[14.20618557 11.79381443] ; [38.79381443 32.20618557],0
d1,1,0.7313,0.117922,[12 14] ; [30 41],[11.25773196 14.74226804] ; [30.74226804 40.25773196],0
d4,1,0.768185,0.086878,[19  7] ; [49 21],[18.41666667  7.58333333] ; [49.58333333 20.41666667],0
d2,1,0.803343,0.062012,[13 13] ; [33 37],[12.45833333 13.54166667] ; [33.54166667 36.45833333],0
s4,1,0.85229,0.03467,[ 5 20] ; [13 58],[ 4.6875 20.3125] ; [13.3125 57.6875],0
p1,1,0.904269,0.014465,[ 2 24] ; [ 6 65],[ 2.1443299 23.8556701] ; [ 5.8556701 65.1443299],0
a2,1,0.917693,0.010679,[ 5 21] ; [13 58],[ 4.82474227 21.17525773] ; [13.17525773 57.82474227],0
u3,1,0.921455,0.009722,[5 7] ; [13 17],[5.14285714 6.85714286] ; [12.85714286 17.14285714],0
a7,1,0.938113,0.006028,[15 11] ; [41 29],[15.16666667 10.83333333] ; [40.83333333 29.16666667],0
s8,1,0.973172,0.001131,[ 4 21] ; [11 59],[ 3.94736842 21.05263158] ; [11.05263158 58.94736842],0
b4,1,0.977317,0.000808,[14 12] ; [38 33],[13.93814433 12.06185567] ; [38.06185567 32.93814433],0
u2,1,0.986442,0.000289,[5 7] ; [12 17],[4.97560976 7.02439024] ; [12.02439024 16.97560976],0
