Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,36.225,[56 14] ; [ 59 101],[35. 35.] ; [80. 80.],1
p12,1,0.000193,13.901397,[11 60] ; [  4 158],[ 4.57081545 66.42918455] ; [ 10.42918455 151.57081545],1
v1,1,0.000482,12.185147,[46 23] ; [66 93],[33.89473684 35.10526316] ; [78.10526316 80.89473684],1
s8,1,0.00502,7.872125,[32 37] ; [ 45 119],[22.80257511 46.19742489] ; [ 54.19742489 109.80257511],0
d1,1,0.01752,5.643565,[47 24] ; [81 83],[38.67234043 32.32765957] ; [89.32765957 74.67234043],0
n4,1,0.020221,5.392697,[60 11] ; [115  49],[52.87234043 18.12765957] ; [122.12765957  41.87234043],0
a2,1,0.025359,4.999202,[18 53] ; [ 22 142],[12.08510638 58.91489362] ; [ 27.91489362 136.08510638],0
r1,1,0.028171,4.817552,[59 12] ; [113  50],[52.18803419 18.81196581] ; [119.81196581  43.18803419],0
s4,1,0.03479,4.455442,[ 5 65] ; [ 29 134],[10.21459227 59.78540773] ; [ 23.78540773 139.21459227],0
d2,1,0.046422,3.966211,[38 31] ; [67 97],[31.0944206 37.9055794] ; [73.9055794 90.0944206],0
b4,1,0.048237,3.901708,[52 19] ; [98 66],[45.31914894 25.68085106] ; [104.68085106  59.31914894],0
n3,1,0.05664,3.633143,[14  2] ; [31 19],[10.90909091  5.09090909] ; [34.09090909 15.90909091],0
s2,1,0.065191,3.400143,[38 30] ; [69 93],[31.63478261 36.36521739] ; [75.36521739 86.63478261],0
s3,1,0.092555,2.829367,[41 27] ; [79 85],[35.17241379 32.82758621] ; [84.82758621 79.17241379],0
s6,1,0.097197,2.750952,[47 22] ; [92 71],[41.34051724 27.65948276] ; [97.65948276 65.34051724],0
a7,1,0.105649,2.618126,[57 13] ; [117  47],[52.05128205 17.94871795] ; [121.94871795  42.05128205],0
r4,1,0.122537,2.384589,[63  8] ; [132  32],[58.91489362 12.08510638] ; [136.08510638  27.91489362],0
r3,1,0.144455,2.129846,[68  2] ; [150  13],[65.49356223  4.50643777] ; [152.50643777  10.49356223],0
n5,1,0.146837,2.104803,[55 16] ; [111  52],[50.36752137 20.63247863] ; [115.63247863  47.36752137],0
u4,1,0.166383,1.915238,[ 2 69] ; [  1 163],[ 0.90638298 70.09361702] ; [  2.09361702 161.90638298],0
a1,1,0.166383,1.915238,[ 2 69] ; [  1 163],[ 0.90638298 70.09361702] ; [  2.09361702 161.90638298],0
u1,1,0.167545,1.904773,[13 58] ; [ 19 145],[ 9.66808511 61.33191489] ; [ 22.33191489 141.66808511],0
p10,1,0.177827,1.815693,[57 13] ; [120  44],[52.94871795 17.05128205] ; [124.05128205  39.94871795],0
a4,1,0.205768,1.600952,[34 37] ; [ 64 100],[29.60851064 41.39148936] ; [68.39148936 95.60851064],0
d4,1,0.234978,1.410473,[59 11] ; [127  37],[55.64102564 14.35897436] ; [130.35897436  33.64102564],0
v4,1,0.237093,1.397797,[68  3] ; [149  14],[65.84188034  5.15811966] ; [151.15811966  11.84188034],0
r2,1,0.292808,1.106667,[67  4] ; [147  16],[64.93162393  6.06837607] ; [149.06837607  13.93162393],0
n1,1,0.372627,0.794885,[7 8] ; [17 33],[5.53846154 9.46153846] ; [18.46153846 31.53846154],0
s7,1,0.374626,0.788263,[28 37] ; [ 58 100],[25.06726457 39.93273543] ; [60.93273543 97.06726457],0
d5,1,0.377941,0.777387,[59 12] ; [128  36],[56.49787234 14.50212766] ; [130.50212766  33.49787234],0
p8,1,0.407229,0.686875,[24 47] ; [ 46 116],[21.3304721 49.6695279] ; [ 48.6695279 113.3304721],0
a3,1,0.408267,0.683842,[49 22] ; [104  60],[46.22553191 24.77446809] ; [106.77446809  57.22553191],0
p4,1,0.416173,0.661098,[37 34] ; [76 88],[34.14042553 36.85957447] ; [78.85957447 85.14042553],0
a6,1,0.438865,0.599247,[50 21] ; [107  57],[47.43404255 23.56595745] ; [109.56595745  54.43404255],0
d3,1,0.459895,0.54615,[49 22] ; [105  59],[46.52765957 24.47234043] ; [107.47234043  56.52765957],0
a5,1,0.47088,0.519909,[51 20] ; [110  54],[48.64255319 22.35744681] ; [112.35744681  51.64255319],0
b3,1,0.481127,0.496307,[15 23] ; [29 59],[13.26984127 24.73015873] ; [30.73015873 57.26984127],0
b2,1,0.481127,0.496307,[15 23] ; [29 59],[13.26984127 24.73015873] ; [30.73015873 57.26984127],0
b5,1,0.493215,0.469506,[50 21] ; [108  56],[47.73617021 23.26382979] ; [110.26382979  53.73617021],0
