Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000282,13.188492,[70 10] ; [20 15],[62.60869565 17.39130435] ; [27.39130435  7.60869565],1
p8,1,0.00094,10.942535,[46 33] ; [ 9 27],[37.7826087 41.2173913] ; [17.2173913 18.7826087],1
p9,1,0.001161,10.551403,[71  9] ; [22 13],[64.69565217 15.30434783] ; [28.30434783  6.69565217],0
n4,1,0.003636,8.457221,[57 23] ; [16 21],[49.91452991 30.08547009] ; [23.08547009 13.91452991],0
n5,1,0.004376,8.120608,[62 18] ; [19 18],[55.38461538 24.61538462] ; [25.61538462 11.38461538],0
p7,1,0.039488,4.239749,[50 27] ; [16 20],[44.97345133 32.02654867] ; [21.02654867 14.97345133],0
r3,1,0.051427,3.794306,[74  6] ; [28  7],[70.95652174  9.04347826] ; [31.04347826  3.95652174],0
b1,1,0.06991,3.285136,[27 53] ; [19 18],[31.45299145 48.54700855] ; [14.54700855 22.45299145],0
p4,1,0.092348,2.832967,[50 30] ; [17 20],[45.81196581 34.18803419] ; [21.18803419 15.81196581],0
n6,1,0.093135,2.819329,[67 13] ; [26 11],[63.58974359 16.41025641] ; [29.41025641  7.58974359],0
d5,1,0.108521,2.575632,[58 22] ; [31  5],[61.37931034 18.62068966] ; [27.62068966  8.37931034],0
p6,1,0.112331,2.521112,[37 43] ; [11 25],[33.10344828 46.89655172] ; [14.89655172 21.10344828],0
a7,1,0.133696,2.249052,[51 29] ; [28  8],[54.48275862 25.51724138] ; [24.51724138 11.48275862],0
b4,1,0.154853,2.023784,[48 32] ; [17 20],[44.44444444 35.55555556] ; [20.55555556 16.44444444],0
n2,1,0.200618,1.637868,[14  3] ; [10  6],[12.36363636  4.63636364] ; [11.63636364  4.36363636],0
p3,1,0.219782,1.505792,[40 40] ; [14 23],[36.92307692 43.07692308] ; [17.07692308 19.92307692],0
p2,1,0.24542,1.349189,[64 16] ; [26 11],[61.53846154 18.46153846] ; [28.46153846  8.53846154],0
a3,1,0.299873,1.074758,[46 34] ; [25 12],[48.54700855 31.45299145] ; [22.45299145 14.54700855],0
