Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.034035,4.492965,[1 3] ; [ 1 41],[0.17391304 3.82608696] ; [ 1.82608696 40.17391304],0
v2,1,0.046989,3.945782,[3 1] ; [11 30],[1.24444444 2.75555556] ; [12.75555556 28.24444444],0
p7,1,0.058392,3.582488,[3 1] ; [12 30],[1.30434783 2.69565217] ; [13.69565217 28.30434783],0
d4,1,0.058392,3.582488,[1 3] ; [30 12],[2.69565217 1.30434783] ; [28.30434783 13.69565217],0
s8,1,0.071752,3.242481,[2 2] ; [ 6 36],[0.69565217 3.30434783] ; [ 7.30434783 34.69565217],0
r4,1,0.071752,3.242481,[2 2] ; [ 6 36],[0.69565217 3.30434783] ; [ 7.30434783 34.69565217],0
p4,1,0.099009,2.721433,[3 1] ; [14 28],[1.47826087 2.52173913] ; [15.52173913 26.47826087],0
a6,1,0.152036,2.051703,[3 1] ; [16 26],[1.65217391 2.34782609] ; [17.34782609 24.65217391],0
a4,1,0.200519,1.63859,[2 2] ; [ 9 33],[0.95652174 3.04347826] ; [10.04347826 31.95652174],0
b1,1,0.254863,1.296447,[1 3] ; [23 19],[2.08695652 1.91304348] ; [21.91304348 20.08695652],0
a7,1,0.254863,1.296447,[3 1] ; [19 23],[1.91304348 2.08695652] ; [20.08695652 21.91304348],0
a3,1,0.273746,1.197882,[1 3] ; [22 19],[2.04444444 1.95555556] ; [20.95555556 20.04444444],0
v1,1,0.312234,1.021201,[2 2] ; [11 31],[1.13043478 2.86956522] ; [11.86956522 30.13043478],0
v4,1,0.338851,0.914773,[3 1] ; [21 21],[2.08695652 1.91304348] ; [21.91304348 20.08695652],0
p11,1,0.338851,0.914773,[3 1] ; [21 21],[2.08695652 1.91304348] ; [21.91304348 20.08695652],0
d3,1,0.385494,0.753107,[1 3] ; [20 22],[1.82608696 2.17391304] ; [19.17391304 22.82608696],0
p9,1,0.388861,0.7425,[3 1] ; [21 19],[2.18181818 1.81818182] ; [21.81818182 18.18181818],0
r1,1,0.437447,0.60297,[2 2] ; [13 29],[1.30434783 2.69565217] ; [13.69565217 28.30434783],0
a8,1,0.503178,0.448227,[1 3] ; [ 5 34],[0.55813953 3.44186047] ; [ 5.44186047 33.55813953],0
r3,1,0.521166,0.411585,[3 1] ; [24 17],[2.4 1.6] ; [24.6 16.4],0
n6,1,0.521166,0.411585,[3 1] ; [24 17],[2.4 1.6] ; [24.6 16.4],0
s5,1,0.568642,0.324961,[1 3] ; [ 6 36],[0.60869565 3.39130435] ; [ 6.39130435 35.60869565],0
s7,1,0.620788,0.244761,[1 2] ; [ 8 30],[0.65853659 2.34146341] ; [ 8.34146341 29.65853659],0
s6,1,0.641098,0.217309,[2 2] ; [16 26],[1.56521739 2.43478261] ; [16.43478261 25.56521739],0
b4,1,0.667262,0.184821,[3 1] ; [27 15],[2.60869565 1.39130435] ; [27.39130435 14.60869565],0
v3,1,0.674368,0.176535,[1 3] ; [ 7 35],[0.69565217 3.30434783] ; [ 7.30434783 34.69565217],0
a5,1,0.711647,0.136638,[2 2] ; [17 25],[1.65217391 2.34782609] ; [17.34782609 24.65217391],0
u3,1,0.759209,0.093954,[1 2] ; [ 5 15],[0.7826087 2.2173913] ; [ 5.2173913 14.7826087],0
p3,1,0.774304,0.082225,[1 3] ; [ 8 34],[0.7826087 3.2173913] ; [ 8.2173913 33.7826087],0
d2,1,0.879517,0.022977,[1 3] ; [12 30],[1.13043478 2.86956522] ; [11.86956522 30.13043478],0
p10,1,0.888662,0.019599,[2 2] ; [19 22],[1.86666667 2.13333333] ; [19.13333333 21.86666667],0
b3,1,0.894349,0.017637,[1 2] ; [ 8 19],[0.9 2.1] ; [ 8.1 18.9],0
b2,1,0.894349,0.017637,[1 2] ; [ 8 19],[0.9 2.1] ; [ 8.1 18.9],0
n3,1,0.943494,0.005024,[1 1] ; [10  9],[1.04761905 0.95238095] ; [9.95238095 9.04761905],0
