Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.5e-05,18.75794,[ 65 105] ; [28  8],[76.74757282 93.25242718] ; [16.25242718 19.74757282],1
s2,1,0.000414,12.467377,[ 43 125] ; [20 16],[ 51.88235294 116.11764706] ; [11.11764706 24.88235294],1
s4,1,0.003088,8.754953,[ 19 149] ; [11 25],[ 24.70588235 143.29411765] ; [ 5.29411765 30.70588235],0
s7,1,0.003369,8.596074,[ 38 121] ; [17 18],[ 45.07731959 113.92268041] ; [ 9.92268041 25.07731959],0
s3,1,0.004357,8.128885,[ 61 105] ; [22 13],[68.54726368 97.45273632] ; [14.45273632 20.54726368],0
a8,1,0.005423,7.732772,[ 13 141] ; [ 8 23],[ 17.48108108 136.51891892] ; [ 3.51891892 27.48108108],0
d4,1,0.018724,5.527098,[116  52] ; [31  4],[121.65517241  46.34482759] ; [25.34482759  9.65517241],0
v2,1,0.045676,3.993489,[ 64 101] ; [20 15],[69.3 95.7] ; [14.7 20.3],0
d2,1,0.057745,3.600998,[76 92] ; [22 13],[81.10344828 86.89655172] ; [16.89655172 18.10344828],0
n2,1,0.089781,2.878297,[42 28] ; [11  2],[44.69879518 25.30120482] ; [8.30120482 4.69879518],0
p4,1,0.093914,2.805973,[ 55 114] ; [17 19],[ 59.35609756 109.64390244] ; [12.64390244 23.35609756],0
d5,1,0.120248,2.414091,[114  55] ; [29  7],[117.88780488  51.11219512] ; [25.11219512 10.88780488],0
b4,1,0.169519,1.887188,[97 73] ; [25 11],[100.67961165  69.32038835] ; [21.32038835 14.67961165],0
p11,1,0.174361,1.845044,[78 92] ; [21 15],[81.69902913 88.30097087] ; [17.30097087 18.69902913],0
p1,1,0.178491,1.810144,[  9 160] ; [ 4 31],[ 10.76960784 158.23039216] ; [ 2.23039216 32.76960784],0
s8,1,0.192685,1.696968,[ 31 139] ; [10 26],[ 33.83495146 136.16504854] ; [ 7.16504854 28.83495146],0
r2,1,0.202007,1.627807,[139  28] ; [33  3],[141.49753695  25.50246305] ; [30.50246305  5.49753695],0
n6,1,0.243051,1.36281,[103  66] ; [25 10],[106.03921569  62.96078431] ; [21.96078431 13.03921569],0
p3,1,0.251358,1.315743,[ 45 124] ; [13 23],[ 47.81463415 121.18536585] ; [10.18536585 25.81463415],0
r3,1,0.257779,1.280644,[136  33] ; [31  4],[138.34803922  30.65196078] ; [28.65196078  6.34803922],0
p9,1,0.263576,1.249874,[ 54 113] ; [14 19],[ 56.78 110.22] ; [11.22 21.78],0
p6,1,0.284741,1.14432,[ 36 129] ; [ 5 31],[ 33.65671642 131.34328358] ; [ 7.34328358 28.65671642],0
p2,1,0.287449,1.13153,[97 73] ; [24 12],[99.85436893 70.14563107] ; [21.14563107 14.85436893],0
