Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,9.2e-05,15.291005,[ 4 32] ; [14 10],[10.8 25.2] ; [ 7.2 16.8],1
b2,1,9.2e-05,15.291005,[ 4 32] ; [14 10],[10.8 25.2] ; [ 7.2 16.8],1
s1,1,0.074138,3.188948,[ 1 55] ; [ 4 36],[ 2.91666667 53.08333333] ; [ 2.08333333 37.91666667],0
r4,1,0.116897,2.458413,[50  6] ; [31  9],[47.25  8.75] ; [33.75  6.25],0
v2,1,0.188253,1.731238,[23 31] ; [22 17],[26.12903226 27.87096774] ; [18.87096774 20.12903226],0
d4,1,0.199543,1.645714,[45 11] ; [36  4],[47.25  8.75] ; [33.75  6.25],0
n1,1,0.225709,1.4677,[ 4 13] ; [3 3],[ 5.17391304 11.82608696] ; [1.82608696 4.17391304],0
n3,1,0.230785,1.436017,[15  2] ; [4 2],[14.04347826  2.95652174] ; [4.95652174 1.04347826],0
d2,1,0.262813,1.253878,[26 30] ; [14 26],[23.33333333 32.66666667] ; [16.66666667 23.33333333],0
p6,1,0.265296,1.240909,[21 34] ; [18 18],[23.57142857 31.42857143] ; [15.42857143 20.57142857],0
a3,1,0.305507,1.05,[35 21] ; [29 11],[37.33333333 18.66666667] ; [26.66666667 13.33333333],0
p7,1,0.31281,1.018776,[43 13] ; [27 13],[40.83333333 15.16666667] ; [29.16666667 10.83333333],0
p1,1,0.312838,1.018657,[ 6 50] ; [ 7 32],[ 7.66315789 48.33684211] ; [ 5.33684211 33.66315789],0
p5,1,0.31794,0.997403,[ 6 50] ; [ 2 38],[ 4.66666667 51.33333333] ; [ 3.33333333 36.66666667],0
v3,1,0.328663,0.954161,[14 39] ; [14 25],[16.13043478 36.86956522] ; [11.86956522 27.13043478],0
a8,1,0.337596,0.91954,[ 1 53] ; [ 2 34],[ 1.8 52.2] ; [ 1.2 34.8],0
u2,1,0.352724,0.863635,[11 10] ; [7 3],[12.19354839  8.80645161] ; [5.80645161 4.19354839],0
v4,1,0.388367,0.74405,[53  3] ; [36  4],[51.91666667  4.08333333] ; [37.08333333  2.91666667],0
n2,1,0.393921,0.726803,[11  6] ; [5 1],[11.82608696  5.17391304] ; [4.17391304 1.82608696],0
b1,1,0.407626,0.685714,[26 30] ; [22 18],[28. 28.] ; [20. 20.],0
s5,1,0.427512,0.629573,[16 35] ; [15 23],[17.76404494 33.23595506] ; [13.23595506 24.76404494],0
b5,1,0.437689,0.602333,[32 24] ; [26 14],[33.83333333 22.16666667] ; [24.16666667 15.83333333],0
p11,1,0.445601,0.581818,[35 21] ; [28 12],[36.75 19.25] ; [26.25 13.75],0
p4,1,0.464214,0.535714,[39 17] ; [25 15],[37.33333333 18.66666667] ; [26.66666667 13.33333333],0
r2,1,0.470884,0.519902,[50  5] ; [37  2],[50.90425532  4.09574468] ; [36.09574468  2.90425532],0
s6,1,0.495862,0.463781,[34 22] ; [27 13],[35.58333333 20.41666667] ; [25.41666667 14.58333333],0
a4,1,0.500638,0.453583,[20 36] ; [17 23],[21.58333333 34.41666667] ; [15.41666667 24.58333333],0
p9,1,0.564916,0.331263,[39 17] ; [30 10],[40.25 15.75] ; [28.75 11.25],0
s4,1,0.565529,0.330221,[14 42] ; [ 8 32],[12.83333333 43.16666667] ; [ 9.16666667 30.83333333],0
a2,1,0.57351,0.316844,[10 46] ; [ 9 31],[11.08333333 44.91666667] ; [ 7.91666667 32.08333333],0
b4,1,0.585866,0.296846,[38 18] ; [25 15],[36.75 19.25] ; [26.25 13.75],0
s3,1,0.614874,0.253138,[29 26] ; [19 21],[27.78947368 27.21052632] ; [20.21052632 19.78947368],0
r3,1,0.617533,0.249351,[52  4] ; [36  4],[51.33333333  4.66666667] ; [36.66666667  3.33333333],0
s8,1,0.621389,0.24392,[21 35] ; [17 23],[22.16666667 33.83333333] ; [15.83333333 24.16666667],0
a5,1,0.632585,0.228571,[41 15] ; [31  9],[42. 14.] ; [30. 10.],0
d5,1,0.632585,0.228571,[41 15] ; [31  9],[42. 14.] ; [30. 10.],0
p12,1,0.668929,0.182857,[ 4 52] ; [ 2 38],[ 3.5 52.5] ; [ 2.5 37.5],0
a1,1,0.668929,0.182857,[ 4 52] ; [ 2 38],[ 3.5 52.5] ; [ 2.5 37.5],0
s7,1,0.679688,0.170477,[21 31] ; [17 21],[21.95555556 30.04444444] ; [16.04444444 21.95555556],0
a7,1,0.684859,0.164708,[37 19] ; [28 12],[37.91666667 18.08333333] ; [27.08333333 12.91666667],0
n4,1,0.755696,0.096807,[27 29] ; [18 22],[26.25 29.75] ; [18.75 21.25],0
d3,1,0.761403,0.092197,[39 17] ; [29 11],[39.66666667 16.33333333] ; [28.33333333 11.66666667],0
u1,1,0.786537,0.073338,[ 6 50] ; [ 5 35],[ 6.41666667 49.58333333] ; [ 4.58333333 35.41666667],0
n6,1,0.806797,0.05981,[33 23] ; [22 17],[32.42105263 23.57894737] ; [22.57894737 16.42105263],0
s2,1,0.834717,0.043537,[24 32] ; [18 22],[24.5 31.5] ; [17.5 22.5],0
p10,1,0.842836,0.03931,[37 19] ; [25 14],[36.54736842 19.45263158] ; [25.45263158 13.54736842],0
a6,1,0.859325,0.031412,[34 22] ; [25 15],[34.41666667 21.58333333] ; [24.58333333 15.41666667],0
r1,1,0.865215,0.028811,[39 16] ; [29 11],[39.36842105 15.63157895] ; [28.63157895 11.36842105],0
p8,1,0.889849,0.019181,[30 26] ; [22 18],[30.33333333 25.66666667] ; [21.66666667 18.33333333],0
d1,1,0.917397,0.010756,[30 26] ; [21 19],[29.75 26.25] ; [21.25 18.75],0
p2,1,0.963954,0.002042,[46 10] ; [33  7],[46.08333333  9.91666667] ; [32.91666667  7.08333333],0
